time,open,high,low,close,volume
2025-10-13 02:30:00,0.3319,0.3374,0.3318,0.3369,170714.39
2025-10-13 03:00:00,0.3369,0.3414,0.3364,0.3404,371631.26
2025-10-13 03:30:00,0.3403,0.3407,0.3349,0.3376,288598.14
2025-10-13 04:00:00,0.3376,0.3387,0.3334,0.3343,195950.64
2025-10-13 04:30:00,0.3342,0.3386,0.3337,0.3376,192498.52
2025-10-13 05:00:00,0.3376,0.3383,0.3345,0.3363,188211.4
2025-10-13 05:30:00,0.3362,0.3367,0.3331,0.3346,168234.65
2025-10-13 06:00:00,0.3346,0.3384,0.3319,0.3382,253703.62
2025-10-13 06:30:00,0.3382,0.341,0.3353,0.3384,165491.88
2025-10-13 07:00:00,0.3381,0.342,0.3367,0.3414,199055.07
2025-10-13 07:30:00,0.3415,0.3428,0.3364,0.3372,335309.62
2025-10-13 08:00:00,0.3369,0.3414,0.3362,0.3413,255428.78
2025-10-13 08:30:00,0.3412,0.3561,0.3412,0.3502,1166465.07
2025-10-13 09:00:00,0.3502,0.369,0.3501,0.3665,3028972.07
2025-10-13 09:30:00,0.3666,0.3782,0.3533,0.3774,1938770.97
2025-10-13 10:00:00,0.3773,0.381,0.3624,0.3689,4041269.91
2025-10-13 10:30:00,0.3689,0.3722,0.3604,0.3631,1534653.21
2025-10-13 11:00:00,0.363,0.3738,0.3572,0.3572,1778547.66
2025-10-13 11:30:00,0.3573,0.3745,0.3561,0.3603,1570421.65
2025-10-13 12:00:00,0.3604,0.3761,0.3589,0.3673,1406241.81
2025-10-13 12:30:00,0.3671,0.3688,0.3561,0.3593,1024961.39
2025-10-13 13:00:00,0.359,0.3631,0.3563,0.3588,749200.76
2025-10-13 13:30:00,0.3589,0.3696,0.3572,0.3636,1093209.02
2025-10-13 14:00:00,0.3636,0.3664,0.3585,0.361,667652.75
2025-10-13 14:30:00,0.361,0.3629,0.3522,0.3577,874774.68
2025-10-13 15:00:00,0.3575,0.3662,0.3573,0.3623,507486.88
2025-10-13 15:30:00,0.3624,0.3679,0.3624,0.364,431326.76
2025-10-13 16:00:00,0.3639,0.3653,0.3533,0.3564,705733.29
2025-10-13 16:30:00,0.3564,0.3622,0.3557,0.361,354418.82
2025-10-13 17:00:00,0.3609,0.3643,0.3556,0.3562,442382.6
2025-10-13 17:30:00,0.3563,0.3583,0.3495,0.358,677372.73
2025-10-13 18:00:00,0.358,0.3609,0.356,0.359,406640.17
2025-10-13 18:30:00,0.3593,0.3616,0.3574,0.3591,256291.14
2025-10-13 19:00:00,0.3592,0.3623,0.358,0.3606,207480.96
2025-10-13 19:30:00,0.3605,0.3637,0.3587,0.3602,323203.92
2025-10-13 20:00:00,0.3602,0.363,0.3596,0.3626,245959.38
2025-10-13 20:30:00,0.3627,0.3659,0.3623,0.3649,231084.58
2025-10-13 21:00:00,0.3647,0.3665,0.3617,0.3638,323166.45
2025-10-13 21:30:00,0.364,0.3645,0.3623,0.3628,73682.07
2025-10-13 22:00:00,0.3627,0.3639,0.3609,0.361,79759.25
2025-10-13 22:30:00,0.3608,0.3644,0.3589,0.3633,139820.05
2025-10-13 23:00:00,0.3629,0.3651,0.3616,0.3638,139363.68
2025-10-13 23:30:00,0.3639,0.3651,0.3619,0.3634,137961.36
2025-10-14 00:00:00,0.3634,0.3659,0.3626,0.3636,127811.08
2025-10-14 00:30:00,0.3633,0.3633,0.3572,0.3584,305664.08
2025-10-14 01:00:00,0.3587,0.3594,0.3549,0.3573,203071.45
2025-10-14 01:30:00,0.357,0.3594,0.3563,0.3583,115506.79
2025-10-14 02:00:00,0.3583,0.3587,0.3534,0.3564,167934.71
2025-10-14 02:30:00,0.3564,0.3582,0.3545,0.3555,160350.73
2025-10-14 03:00:00,0.3554,0.356,0.3496,0.3519,402665.73
2025-10-14 03:30:00,0.3518,0.3549,0.3508,0.3521,153143.54
2025-10-14 04:00:00,0.3523,0.3546,0.3486,0.3524,219739.41
2025-10-14 04:30:00,0.3525,0.3613,0.3495,0.3546,2298427.2
2025-10-14 05:00:00,0.3545,0.3638,0.3541,0.3598,1833518.16
2025-10-14 05:30:00,0.3598,0.3616,0.3449,0.3513,1521497.64
2025-10-14 06:00:00,0.3511,0.3517,0.3384,0.34,761636.98
2025-10-14 06:30:00,0.3402,0.342,0.325,0.3341,1800622.33
2025-10-14 07:00:00,0.334,0.338,0.3312,0.3356,671771.03
2025-10-14 07:30:00,0.3356,0.3356,0.3302,0.3314,523350.77
2025-10-14 08:00:00,0.3316,0.3325,0.3274,0.3314,428982.84
2025-10-14 08:30:00,0.3314,0.3359,0.3305,0.3326,289939.73
2025-10-14 09:00:00,0.3326,0.3363,0.3321,0.3352,331111.16
2025-10-14 09:30:00,0.3353,0.3368,0.3325,0.3343,202444.03
2025-10-14 10:00:00,0.3342,0.3342,0.3262,0.3295,320942.27
2025-10-14 10:30:00,0.3292,0.3309,0.3235,0.3284,525713.93
2025-10-14 11:00:00,0.3284,0.3346,0.3279,0.3329,321906.57
2025-10-14 11:30:00,0.3333,0.3367,0.333,0.3334,213019.65
2025-10-14 12:00:00,0.3337,0.3341,0.3285,0.3298,249065.44
2025-10-14 12:30:00,0.3298,0.3305,0.3261,0.3273,245703.14
2025-10-14 13:00:00,0.3274,0.3307,0.325,0.3303,260927.14
2025-10-14 13:30:00,0.3301,0.3365,0.3238,0.333,493394.63
2025-10-14 14:00:00,0.3328,0.3406,0.3317,0.3372,466537.11
2025-10-14 14:30:00,0.3373,0.3424,0.3336,0.3367,336083.04
2025-10-14 15:00:00,0.3374,0.3397,0.333,0.3361,211463.54
2025-10-14 15:30:00,0.3361,0.3447,0.3361,0.3434,418613.69
2025-10-14 16:00:00,0.3434,0.3492,0.3403,0.3447,407019.16
2025-10-14 16:30:00,0.3447,0.3459,0.3392,0.3405,346796.47
2025-10-14 17:00:00,0.3405,0.3461,0.3356,0.3449,389854.92
2025-10-14 17:30:00,0.3449,0.3515,0.3437,0.347,560104.71
2025-10-14 18:00:00,0.347,0.3489,0.3439,0.3443,285477.74
2025-10-14 18:30:00,0.3443,0.3455,0.3421,0.3432,164932.19
2025-10-14 19:00:00,0.3433,0.3468,0.3428,0.3452,132640.97
2025-10-14 19:30:00,0.3451,0.3454,0.336,0.3425,384127.38
2025-10-14 20:00:00,0.342,0.3431,0.3395,0.3421,174337.11
2025-10-14 20:30:00,0.3421,0.3431,0.3405,0.3428,91359.23
2025-10-14 21:00:00,0.3427,0.3434,0.3397,0.3419,91655.28
2025-10-14 21:30:00,0.3418,0.3441,0.3408,0.3436,89062.92
2025-10-14 22:00:00,0.3436,0.3453,0.3433,0.3433,105376.92
2025-10-14 22:30:00,0.3433,0.3434,0.3402,0.3422,76859.48
2025-10-14 23:00:00,0.3421,0.3448,0.3417,0.3442,85662.72
2025-10-14 23:30:00,0.3442,0.3461,0.3439,0.3453,154631.8
