time,open,high,low,close,volume
2025-10-13 02:30:00,0.0824,0.0839,0.0824,0.0831,777324.7
2025-10-13 03:00:00,0.0831,0.0842,0.083,0.0836,674337.2
2025-10-13 03:30:00,0.0837,0.0838,0.0829,0.0834,448851.3
2025-10-13 04:00:00,0.0834,0.0837,0.0825,0.0831,648747.2
2025-10-13 04:30:00,0.0831,0.0839,0.0829,0.0836,288544.0
2025-10-13 05:00:00,0.0836,0.0842,0.0834,0.0836,630630.2
2025-10-13 05:30:00,0.0837,0.0845,0.0833,0.0833,672087.5
2025-10-13 06:00:00,0.0834,0.0844,0.0829,0.0844,476401.8
2025-10-13 06:30:00,0.0845,0.0852,0.0838,0.0847,382406.8
2025-10-13 07:00:00,0.0846,0.0858,0.0844,0.0857,433553.8
2025-10-13 07:30:00,0.0857,0.0862,0.0846,0.0849,435086.8
2025-10-13 08:00:00,0.0849,0.0854,0.0848,0.0853,416073.6
2025-10-13 08:30:00,0.0854,0.0862,0.0853,0.0857,302719.6
2025-10-13 09:00:00,0.0857,0.086,0.0848,0.0851,491461.3
2025-10-13 09:30:00,0.0851,0.0862,0.085,0.086,411028.6
2025-10-13 10:00:00,0.0861,0.0864,0.0852,0.0858,523235.5
2025-10-13 10:30:00,0.0857,0.0869,0.0854,0.0865,575321.6
2025-10-13 11:00:00,0.0865,0.0866,0.0829,0.0829,1473597.4
2025-10-13 11:30:00,0.0829,0.0856,0.0829,0.085,1380982.3
2025-10-13 12:00:00,0.0849,0.0849,0.0818,0.0838,4184025.4
2025-10-13 12:30:00,0.0838,0.0847,0.0827,0.083,598011.7
2025-10-13 13:00:00,0.0828,0.0834,0.0824,0.0825,859628.2
2025-10-13 13:30:00,0.0826,0.0856,0.0825,0.0853,3219537.7
2025-10-13 14:00:00,0.0852,0.0855,0.083,0.0835,1360047.9
2025-10-13 14:30:00,0.0836,0.0847,0.0827,0.0835,931744.9
2025-10-13 15:00:00,0.0836,0.0854,0.0835,0.0845,563071.0
2025-10-13 15:30:00,0.0845,0.0855,0.0844,0.0849,383220.7
2025-10-13 16:00:00,0.0849,0.0855,0.0839,0.0847,846814.3
2025-10-13 16:30:00,0.0848,0.0854,0.0842,0.0851,478611.7
2025-10-13 17:00:00,0.0852,0.0865,0.0851,0.0858,757924.2
2025-10-13 17:30:00,0.0859,0.0878,0.0856,0.0877,437001.1
2025-10-13 18:00:00,0.0877,0.0877,0.0862,0.087,869298.3
2025-10-13 18:30:00,0.0869,0.0876,0.0866,0.0868,607107.9
2025-10-13 19:00:00,0.0869,0.0875,0.0867,0.0871,258957.3
2025-10-13 19:30:00,0.087,0.0878,0.0867,0.0872,603735.1
2025-10-13 20:00:00,0.0873,0.0875,0.0866,0.0871,506679.1
2025-10-13 20:30:00,0.0872,0.0882,0.0871,0.0881,266868.6
