time,open,high,low,close,volume
2025-10-02 17:00:00,0.8584,0.8642,0.8557,0.8607,23274195.0
2025-10-02 18:00:00,0.8607,0.8729,0.8607,0.8709,34421074.0
2025-10-02 19:00:00,0.8709,0.8773,0.8699,0.874,27347611.0
2025-10-02 20:00:00,0.8741,0.8749,0.8658,0.8706,21810635.0
2025-10-02 21:00:00,0.8706,0.8747,0.8672,0.8685,16998424.0
2025-10-02 22:00:00,0.8684,0.8709,0.8642,0.8653,13688862.0
2025-10-02 23:00:00,0.8653,0.8712,0.8652,0.8703,15354037.0
2025-10-03 00:00:00,0.8703,0.8709,0.8609,0.8624,18940977.0
2025-10-03 01:00:00,0.8624,0.865,0.8543,0.8561,20656101.0
2025-10-03 02:00:00,0.856,0.8628,0.8553,0.8622,14941658.0
2025-10-03 03:00:00,0.8621,0.8684,0.8606,0.8615,16576154.0
2025-10-03 04:00:00,0.8615,0.867,0.8603,0.8639,10355635.0
2025-10-03 05:00:00,0.8639,0.8644,0.8573,0.8603,14993613.0
2025-10-03 06:00:00,0.8602,0.8631,0.8544,0.8577,14985082.0
2025-10-03 07:00:00,0.8576,0.8584,0.8535,0.8568,15927916.0
2025-10-03 08:00:00,0.8567,0.8596,0.851,0.8593,16173326.0
2025-10-03 09:00:00,0.8593,0.8599,0.8549,0.8581,11745047.0
2025-10-03 10:00:00,0.8582,0.8592,0.8565,0.8575,9847508.0
2025-10-03 11:00:00,0.8575,0.8581,0.8517,0.8539,11936974.0
2025-10-03 12:00:00,0.854,0.8564,0.8519,0.8537,12598321.0
2025-10-03 13:00:00,0.8537,0.8597,0.8478,0.8552,30355199.0
2025-10-03 14:00:00,0.8552,0.8618,0.8484,0.8591,27817472.0
2025-10-03 15:00:00,0.8592,0.8737,0.8569,0.8729,35450639.0
2025-10-03 16:00:00,0.8729,0.8921,0.8729,0.8772,90759987.0
2025-10-03 17:00:00,0.8771,0.8774,0.8565,0.8617,98911710.0
2025-10-03 18:00:00,0.8618,0.8728,0.8571,0.872,27828697.0
2025-10-03 19:00:00,0.872,0.8762,0.8691,0.87,23821531.0
2025-10-03 20:00:00,0.87,0.8725,0.8656,0.8716,13725753.0
2025-10-03 21:00:00,0.8716,0.8729,0.8669,0.8688,8258446.0
2025-10-03 22:00:00,0.8688,0.8737,0.8688,0.8702,9356459.0
2025-10-03 23:00:00,0.8703,0.8705,0.8645,0.8653,10670474.0
2025-10-04 00:00:00,0.8654,0.8687,0.8608,0.8627,15962010.0
2025-10-04 01:00:00,0.8626,0.8628,0.8554,0.8566,17451548.0
2025-10-04 02:00:00,0.8566,0.8592,0.8522,0.854,16868331.0
2025-10-04 03:00:00,0.854,0.8548,0.8493,0.8544,14026607.0
2025-10-04 04:00:00,0.8543,0.8561,0.8526,0.8549,9813019.0
2025-10-04 05:00:00,0.855,0.8573,0.8532,0.8561,9536123.0
2025-10-04 06:00:00,0.8561,0.8586,0.855,0.856,8897889.0
2025-10-04 07:00:00,0.8561,0.8564,0.8515,0.8522,8931203.0
2025-10-04 08:00:00,0.8522,0.8533,0.8454,0.8465,25042882.0
2025-10-04 09:00:00,0.8465,0.8492,0.8439,0.8445,14916109.0
2025-10-04 10:00:00,0.8446,0.8481,0.8419,0.8426,13496374.0
2025-10-04 11:00:00,0.8425,0.8447,0.8405,0.8428,11707929.0
2025-10-04 12:00:00,0.8428,0.8448,0.841,0.8418,8292312.0
2025-10-04 13:00:00,0.8419,0.8494,0.8414,0.8454,18568587.0
2025-10-04 14:00:00,0.8454,0.8492,0.8378,0.8381,24453857.0
2025-10-04 15:00:00,0.838,0.8409,0.8327,0.8352,42246583.0
2025-10-04 16:00:00,0.8351,0.8423,0.8343,0.8374,34428293.0
2025-10-04 17:00:00,0.8374,0.839,0.8342,0.8367,12630114.0
2025-10-04 18:00:00,0.8367,0.8378,0.835,0.8356,5719124.0
2025-10-04 19:00:00,0.8356,0.8387,0.8356,0.8378,5627198.0
2025-10-04 20:00:00,0.8378,0.841,0.8374,0.838,9466332.0
2025-10-04 21:00:00,0.838,0.8437,0.8376,0.8402,10137579.0
2025-10-04 22:00:00,0.8402,0.8433,0.8388,0.8413,8130829.0
2025-10-04 23:00:00,0.8413,0.8415,0.8388,0.8391,8173842.0
2025-10-05 00:00:00,0.8391,0.8424,0.8346,0.8353,16191585.0
2025-10-05 01:00:00,0.8353,0.8414,0.8351,0.8404,11144052.0
2025-10-05 02:00:00,0.8403,0.8599,0.839,0.8591,47845103.0
2025-10-05 03:00:00,0.8591,0.8632,0.8537,0.8546,33531055.0
2025-10-05 04:00:00,0.8546,0.8714,0.8545,0.8675,53811835.0
2025-10-05 05:00:00,0.8675,0.8744,0.8669,0.8727,41291458.0
2025-10-05 06:00:00,0.8727,0.8753,0.8663,0.8671,21267178.0
2025-10-05 07:00:00,0.8672,0.8781,0.8669,0.878,31164807.0
2025-10-05 08:00:00,0.878,0.8825,0.8754,0.8774,29906609.0
2025-10-05 09:00:00,0.8774,0.879,0.8642,0.8662,61014325.0
2025-10-05 10:00:00,0.8662,0.8675,0.8594,0.8625,32687108.0
2025-10-05 11:00:00,0.8625,0.8641,0.8573,0.8628,25489815.0
2025-10-05 12:00:00,0.8628,0.8628,0.8553,0.8561,19720023.0
2025-10-05 13:00:00,0.8561,0.86,0.8557,0.8577,11808125.0
2025-10-05 14:00:00,0.8578,0.8609,0.8507,0.8541,24385617.0
