time,open,high,low,close,volume
2025-10-18 07:30:00,1.566,1.57,1.562,1.566,64651.0
2025-10-18 07:45:00,1.566,1.57,1.556,1.56,80911.0
2025-10-18 08:00:00,1.56,1.566,1.558,1.566,48634.0
2025-10-18 08:15:00,1.565,1.566,1.559,1.562,40445.0
2025-10-18 08:30:00,1.561,1.562,1.556,1.557,46514.0
2025-10-18 08:45:00,1.558,1.559,1.553,1.553,44573.0
2025-10-18 09:00:00,1.554,1.558,1.552,1.554,26246.0
2025-10-18 09:15:00,1.554,1.566,1.55,1.563,38836.0
2025-10-18 09:30:00,1.563,1.564,1.558,1.564,50644.0
2025-10-18 09:45:00,1.564,1.567,1.558,1.562,83827.0
2025-10-18 10:00:00,1.563,1.565,1.559,1.562,55734.0
2025-10-18 10:15:00,1.561,1.563,1.556,1.56,30759.0
2025-10-18 10:30:00,1.56,1.567,1.559,1.566,49756.0
2025-10-18 10:45:00,1.566,1.567,1.557,1.566,72230.0
2025-10-18 11:00:00,1.565,1.568,1.562,1.567,124064.0
2025-10-18 11:15:00,1.568,1.57,1.557,1.558,75128.0
2025-10-18 11:30:00,1.557,1.563,1.555,1.563,48895.0
2025-10-18 11:45:00,1.563,1.567,1.56,1.566,40261.0
2025-10-18 12:00:00,1.567,1.568,1.562,1.566,36461.0
2025-10-18 12:15:00,1.567,1.571,1.561,1.563,21025.0
2025-10-18 12:30:00,1.564,1.565,1.559,1.562,31200.0
2025-10-18 12:45:00,1.563,1.563,1.56,1.56,11476.0
2025-10-18 13:00:00,1.561,1.561,1.548,1.555,97447.0
2025-10-18 13:15:00,1.555,1.555,1.544,1.55,64623.0
2025-10-18 13:30:00,1.549,1.549,1.541,1.544,67322.0
2025-10-18 13:45:00,1.545,1.55,1.543,1.543,44669.0
2025-10-18 14:00:00,1.543,1.55,1.534,1.541,305806.0
2025-10-18 14:15:00,1.541,1.549,1.541,1.549,56809.0
2025-10-18 14:30:00,1.548,1.557,1.548,1.553,69605.0
2025-10-18 14:45:00,1.553,1.557,1.551,1.554,34077.0
2025-10-18 15:00:00,1.554,1.558,1.552,1.553,70434.0
2025-10-18 15:15:00,1.554,1.557,1.548,1.55,31407.0
2025-10-18 15:30:00,1.549,1.552,1.545,1.551,98862.0
2025-10-18 15:45:00,1.552,1.554,1.55,1.553,13818.0
2025-10-18 16:00:00,1.554,1.557,1.547,1.548,56180.0
2025-10-18 16:15:00,1.549,1.549,1.54,1.544,50375.0
2025-10-18 16:30:00,1.543,1.544,1.538,1.542,90993.0
2025-10-18 16:45:00,1.542,1.549,1.541,1.547,36135.0
2025-10-18 17:00:00,1.548,1.551,1.544,1.55,32723.0
2025-10-18 17:15:00,1.549,1.562,1.549,1.559,79278.0
2025-10-18 17:30:00,1.56,1.561,1.554,1.554,29835.0
2025-10-18 17:45:00,1.554,1.564,1.553,1.562,31156.0
2025-10-18 18:00:00,1.562,1.566,1.557,1.557,47453.0
2025-10-18 18:15:00,1.558,1.56,1.557,1.56,49415.0
2025-10-18 18:30:00,1.561,1.566,1.56,1.562,49599.0
2025-10-18 18:45:00,1.561,1.563,1.559,1.56,17590.0
2025-10-18 19:00:00,1.561,1.564,1.557,1.559,35692.0
2025-10-18 19:15:00,1.56,1.566,1.559,1.564,58970.0
2025-10-18 19:30:00,1.563,1.564,1.561,1.562,18660.0
2025-10-18 19:45:00,1.563,1.566,1.561,1.565,25689.0
2025-10-18 20:00:00,1.564,1.569,1.562,1.563,42835.0
2025-10-18 20:15:00,1.563,1.569,1.561,1.569,27071.0
2025-10-18 20:30:00,1.569,1.574,1.566,1.568,34073.0
2025-10-18 20:45:00,1.568,1.571,1.564,1.564,18647.0
2025-10-18 21:00:00,1.564,1.566,1.556,1.558,45949.0
2025-10-18 21:15:00,1.559,1.565,1.555,1.565,21757.0
2025-10-18 21:30:00,1.565,1.569,1.564,1.566,36494.0
2025-10-18 21:45:00,1.565,1.57,1.564,1.568,18193.0
2025-10-18 22:00:00,1.568,1.572,1.567,1.569,44754.0
2025-10-18 22:15:00,1.569,1.572,1.567,1.571,24364.0
2025-10-18 22:30:00,1.57,1.571,1.565,1.565,34534.0
2025-10-18 22:45:00,1.565,1.565,1.562,1.564,14792.0
2025-10-18 23:00:00,1.564,1.566,1.56,1.561,40183.0
2025-10-18 23:15:00,1.562,1.564,1.559,1.563,28275.0
2025-10-18 23:30:00,1.564,1.565,1.562,1.562,10625.0
2025-10-18 23:45:00,1.563,1.566,1.562,1.565,26231.0
2025-10-19 00:00:00,1.566,1.568,1.561,1.562,83665.0
2025-10-19 00:15:00,1.563,1.565,1.561,1.561,32704.0
2025-10-19 00:30:00,1.561,1.562,1.554,1.555,43610.0
2025-10-19 00:45:00,1.555,1.559,1.552,1.558,21226.0
2025-10-19 01:00:00,1.559,1.559,1.552,1.555,28741.0
2025-10-19 01:15:00,1.556,1.563,1.554,1.562,35882.0
2025-10-19 01:30:00,1.563,1.563,1.558,1.56,16178.0
2025-10-19 01:45:00,1.561,1.565,1.561,1.563,32908.0
2025-10-19 02:00:00,1.563,1.564,1.559,1.56,25265.0
2025-10-19 02:15:00,1.56,1.566,1.559,1.561,22323.0
2025-10-19 02:30:00,1.562,1.563,1.556,1.557,36729.0
2025-10-19 02:45:00,1.558,1.561,1.555,1.559,17046.0
2025-10-19 03:00:00,1.56,1.56,1.556,1.558,12519.0
2025-10-19 03:15:00,1.558,1.567,1.557,1.567,34452.0
2025-10-19 03:30:00,1.568,1.574,1.566,1.572,84508.0
2025-10-19 03:45:00,1.573,1.575,1.568,1.573,23156.0
2025-10-19 04:00:00,1.573,1.573,1.565,1.566,18520.0
2025-10-19 04:15:00,1.566,1.567,1.563,1.564,15294.0
2025-10-19 04:30:00,1.565,1.568,1.564,1.564,22627.0
2025-10-19 04:45:00,1.564,1.566,1.562,1.563,29748.0
2025-10-19 05:00:00,1.563,1.568,1.563,1.564,21482.0
2025-10-19 05:15:00,1.564,1.571,1.562,1.564,31744.0
2025-10-19 05:30:00,1.564,1.566,1.56,1.562,13719.0
2025-10-19 05:45:00,1.561,1.561,1.556,1.558,33905.0
2025-10-19 06:00:00,1.559,1.56,1.553,1.553,18447.0
2025-10-19 06:15:00,1.553,1.555,1.551,1.552,30532.0
2025-10-19 06:30:00,1.553,1.553,1.545,1.55,44316.0
2025-10-19 06:45:00,1.549,1.552,1.547,1.551,26111.0
2025-10-19 07:00:00,1.552,1.555,1.55,1.554,28633.0
2025-10-19 07:15:00,1.553,1.558,1.552,1.552,22939.0
2025-10-19 07:30:00,1.553,1.558,1.549,1.55,25315.0
2025-10-19 07:45:00,1.55,1.556,1.549,1.556,31391.0
2025-10-19 08:00:00,1.556,1.56,1.552,1.552,43537.0
2025-10-19 08:15:00,1.553,1.574,1.54,1.555,454615.0
2025-10-19 08:30:00,1.554,1.555,1.546,1.547,72527.0
2025-10-19 08:45:00,1.547,1.552,1.544,1.547,38912.0
2025-10-19 09:00:00,1.546,1.546,1.535,1.543,84582.0
2025-10-19 09:15:00,1.543,1.547,1.534,1.536,48590.0
2025-10-19 09:30:00,1.536,1.558,1.535,1.557,108950.0
2025-10-19 09:45:00,1.556,1.582,1.555,1.572,456691.0
2025-10-19 10:00:00,1.571,1.579,1.564,1.569,138696.0
2025-10-19 10:15:00,1.569,1.598,1.566,1.591,245704.0
2025-10-19 10:30:00,1.591,1.594,1.584,1.593,179557.0
2025-10-19 10:45:00,1.593,1.597,1.586,1.596,63572.0
2025-10-19 11:00:00,1.596,1.608,1.596,1.603,260267.0
2025-10-19 11:15:00,1.603,1.608,1.594,1.597,72057.0
2025-10-19 11:30:00,1.598,1.601,1.592,1.592,26334.0
2025-10-19 11:45:00,1.592,1.594,1.588,1.591,52703.0
2025-10-19 12:00:00,1.591,1.594,1.581,1.584,94217.0
2025-10-19 12:15:00,1.584,1.588,1.58,1.584,71905.0
2025-10-19 12:30:00,1.583,1.59,1.581,1.581,64840.0
2025-10-19 12:45:00,1.582,1.584,1.578,1.583,26473.0
2025-10-19 13:00:00,1.584,1.589,1.581,1.585,55607.0
2025-10-19 13:15:00,1.586,1.591,1.584,1.59,81326.0
2025-10-19 13:30:00,1.589,1.605,1.588,1.602,139040.0
2025-10-19 13:45:00,1.602,1.613,1.597,1.608,214501.0
2025-10-19 14:00:00,1.609,1.61,1.596,1.6,169158.0
2025-10-19 14:15:00,1.601,1.611,1.596,1.608,138098.0
2025-10-19 14:30:00,1.608,1.61,1.6,1.604,134201.0
2025-10-19 14:45:00,1.605,1.611,1.601,1.609,63506.0
2025-10-19 15:00:00,1.609,1.61,1.599,1.602,108791.0
2025-10-19 15:15:00,1.602,1.608,1.599,1.602,60729.0
2025-10-19 15:30:00,1.603,1.604,1.597,1.598,97755.0
2025-10-19 15:45:00,1.599,1.601,1.595,1.598,37313.0
2025-10-19 16:00:00,1.598,1.598,1.594,1.595,33353.0
2025-10-19 16:15:00,1.595,1.596,1.589,1.596,48459.0
2025-10-19 16:30:00,1.595,1.608,1.589,1.607,277080.0
2025-10-19 16:45:00,1.607,1.608,1.597,1.601,56397.0
2025-10-19 17:00:00,1.6,1.614,1.596,1.61,213264.0
2025-10-19 17:15:00,1.61,1.612,1.602,1.602,101894.0
2025-10-19 17:30:00,1.602,1.603,1.596,1.598,81978.0
2025-10-19 17:45:00,1.599,1.6,1.593,1.594,41555.0
2025-10-19 18:00:00,1.595,1.601,1.595,1.599,97970.0
2025-10-19 18:15:00,1.598,1.602,1.595,1.601,49053.0
2025-10-19 18:30:00,1.601,1.605,1.597,1.605,47079.0
2025-10-19 18:45:00,1.605,1.605,1.6,1.602,49395.0
2025-10-19 19:00:00,1.601,1.602,1.594,1.597,65993.0
2025-10-19 19:15:00,1.598,1.604,1.595,1.603,50354.0
2025-10-19 19:30:00,1.603,1.604,1.599,1.601,44428.0
