time,open,high,low,close,volume
2025-10-02 18:00:00,2.7703,2.8155,2.7668,2.8058,1482722.0
2025-10-02 19:00:00,2.8057,2.9799,2.8048,2.9792,4793977.0
2025-10-02 20:00:00,2.9793,3.1023,2.9762,3.094,5817371.0
2025-10-02 21:00:00,3.0934,3.1293,3.0414,3.0676,3467016.0
2025-10-02 22:00:00,3.0675,3.2155,3.0675,3.1806,4300669.0
2025-10-02 23:00:00,3.1806,3.2425,3.0723,3.0975,5193971.0
2025-10-03 00:00:00,3.0975,3.1328,3.0074,3.0107,3423636.0
2025-10-03 01:00:00,3.0107,3.08,3.0076,3.0255,3177089.0
2025-10-03 02:00:00,3.0247,3.137,2.9693,3.1328,3897875.0
2025-10-03 03:00:00,3.1329,3.4061,3.1214,3.357,10435213.0
2025-10-03 04:00:00,3.3574,3.3975,3.2953,3.3901,7554371.0
2025-10-03 05:00:00,3.3884,3.47,3.3129,3.3317,9608355.0
2025-10-03 06:00:00,3.3311,3.5798,3.3272,3.3932,16272235.0
2025-10-03 07:00:00,3.3921,3.4119,3.2452,3.2745,11664192.0
2025-10-03 08:00:00,3.2737,3.3778,3.2085,3.3736,9674484.0
2025-10-03 09:00:00,3.3731,3.4565,3.3558,3.3724,8596034.0
2025-10-03 10:00:00,3.3724,3.3976,3.2662,3.3113,5763366.0
2025-10-03 11:00:00,3.3108,3.3325,3.2711,3.3203,3354375.0
2025-10-03 12:00:00,3.3207,3.4587,3.317,3.3816,6858531.0
2025-10-03 13:00:00,3.3822,3.5606,3.3443,3.5295,11131043.0
2025-10-03 14:00:00,3.5295,3.6574,3.4179,3.6034,10670017.0
2025-10-03 15:00:00,3.6035,3.7,3.5173,3.6359,12686111.0
2025-10-03 16:00:00,3.6345,3.6646,3.5487,3.608,7399967.0
2025-10-03 17:00:00,3.608,3.6162,3.48,3.5387,8406235.0
2025-10-03 18:00:00,3.5387,3.6382,3.4935,3.608,5009151.0
2025-10-03 19:00:00,3.6086,3.632,3.5676,3.6132,3099724.0
2025-10-03 20:00:00,3.6129,3.6232,3.5651,3.6018,2409841.0
2025-10-03 21:00:00,3.6017,3.6978,3.6017,3.6461,3702140.0
2025-10-03 22:00:00,3.646,3.75,3.5725,3.6398,5646372.0
2025-10-03 23:00:00,3.6395,3.6607,3.6068,3.6294,2029697.0
2025-10-04 00:00:00,3.6294,3.6782,3.5773,3.6618,3204626.0
2025-10-04 01:00:00,3.6619,3.7076,3.6325,3.6676,3224965.0
2025-10-04 02:00:00,3.6673,3.7226,3.6051,3.6595,3885515.0
2025-10-04 03:00:00,3.6594,3.6942,3.5755,3.603,3395721.0
2025-10-04 04:00:00,3.6027,3.6443,3.5502,3.6107,4209776.0
2025-10-04 05:00:00,3.6108,3.6459,3.5254,3.544,3352610.0
2025-10-04 06:00:00,3.5441,3.5577,3.4906,3.536,2980322.0
2025-10-04 07:00:00,3.5361,3.5439,3.505,3.5249,1225129.0
2025-10-04 08:00:00,3.5252,3.5277,3.4447,3.4634,2795424.0
2025-10-04 09:00:00,3.4636,3.4978,3.4122,3.4144,1942590.0
2025-10-04 10:00:00,3.4142,3.4665,3.4123,3.4248,1719652.0
2025-10-04 11:00:00,3.4247,3.4387,3.3876,3.4006,1355591.0
2025-10-04 12:00:00,3.4008,3.414,3.33,3.3967,2930639.0
2025-10-04 13:00:00,3.3978,3.4611,3.3792,3.4089,3115651.0
2025-10-04 14:00:00,3.409,3.4321,3.3775,3.3782,1322269.0
2025-10-04 15:00:00,3.3782,3.4139,3.3446,3.3695,2510822.0
2025-10-04 16:00:00,3.3707,3.406,3.3561,3.3942,1552070.0
2025-10-04 17:00:00,3.3939,3.5025,3.388,3.4905,2627611.0
2025-10-04 18:00:00,3.4905,3.5266,3.4386,3.4482,2849885.0
2025-10-04 19:00:00,3.4468,3.4892,3.4228,3.4538,1146983.0
2025-10-04 20:00:00,3.4539,3.4588,3.4386,3.4496,527980.0
2025-10-04 21:00:00,3.4494,3.471,3.4409,3.4424,633901.0
2025-10-04 22:00:00,3.4422,3.4665,3.424,3.4302,698241.0
2025-10-04 23:00:00,3.4299,3.4382,3.4118,3.4212,690986.0
2025-10-05 00:00:00,3.421,3.4889,3.4196,3.4406,1505817.0
2025-10-05 01:00:00,3.4405,3.5037,3.4339,3.4921,1249427.0
2025-10-05 02:00:00,3.4916,3.5355,3.465,3.5348,1502018.0
2025-10-05 03:00:00,3.5343,3.5624,3.5015,3.5235,1692042.0
2025-10-05 04:00:00,3.5233,3.6161,3.5209,3.6034,2104301.0
2025-10-05 05:00:00,3.6042,3.6265,3.5183,3.5342,1942074.0
2025-10-05 06:00:00,3.5341,3.5469,3.4962,3.5072,1160256.0
2025-10-05 07:00:00,3.5074,3.5127,3.4603,3.4894,1121502.0
2025-10-05 08:00:00,3.4892,3.4939,3.436,3.4389,1011373.0
2025-10-05 09:00:00,3.439,3.44,3.3816,3.3974,2203526.0
2025-10-05 10:00:00,3.3975,3.4027,3.3511,3.3587,1969929.0
2025-10-05 11:00:00,3.3593,3.3791,3.3371,3.3771,1234926.0
2025-10-05 12:00:00,3.3773,3.3784,3.3054,3.308,1605364.0
2025-10-05 13:00:00,3.3095,3.3342,3.3087,3.3144,1237122.0
2025-10-05 14:00:00,3.3144,3.3417,3.2827,3.2921,1680670.0
2025-10-05 15:00:00,3.292,3.3145,3.256,3.2707,1396593.0
2025-10-05 16:00:00,3.2702,3.2935,3.2519,3.2818,1343325.0
2025-10-05 17:00:00,3.2819,3.3099,3.2501,3.255,1072967.0
2025-10-05 18:00:00,3.2551,3.2652,3.2328,3.2452,1324756.0
2025-10-05 19:00:00,3.2454,3.2468,3.1758,3.181,1854379.0
2025-10-05 20:00:00,3.1811,3.2158,3.1765,3.1885,901497.0
2025-10-05 21:00:00,3.1884,3.2029,3.1684,3.1807,931215.0
2025-10-05 22:00:00,3.1805,3.205,3.1773,3.1996,844202.0
2025-10-05 23:00:00,3.1994,3.2436,3.1773,3.2306,1141104.0
2025-10-06 00:00:00,3.2304,3.3233,3.1826,3.269,2853979.0
2025-10-06 01:00:00,3.2689,3.3984,3.2518,3.3628,2879616.0
2025-10-06 02:00:00,3.3627,3.4324,3.3352,3.4058,2173240.0
2025-10-06 03:00:00,3.4059,3.4756,3.3549,3.4673,2224642.0
2025-10-06 04:00:00,3.4674,3.48,3.3989,3.4219,2397811.0
2025-10-06 05:00:00,3.4222,3.51,3.4051,3.4346,2175472.0
2025-10-06 06:00:00,3.4349,3.6466,3.4254,3.6283,6864472.0
2025-10-06 07:00:00,3.628,3.8046,3.55,3.5712,15014355.0
2025-10-06 08:00:00,3.5717,3.6703,3.5436,3.6702,3775223.0
2025-10-06 09:00:00,3.6702,3.6856,3.5622,3.617,3556970.0
2025-10-06 10:00:00,3.6169,3.664,3.5868,3.6414,2036754.0
2025-10-06 11:00:00,3.6412,3.6823,3.6183,3.6666,1853557.0
