time,open,high,low,close,volume
2025-10-13 04:00:00,9.757,10.567,9.41,10.498,4007806.0
2025-10-13 04:30:00,10.494,11.757,10.224,11.089,5033211.0
2025-10-13 05:00:00,11.09,11.963,9.6,9.728,5963265.0
2025-10-13 05:30:00,9.728,10.079,9.16,9.39,4036791.0
2025-10-13 06:00:00,9.39,9.554,8.7,9.548,3881053.0
2025-10-13 06:30:00,9.547,9.566,8.858,8.862,2400757.0
2025-10-13 07:00:00,8.863,9.206,8.755,9.03,2124491.0
2025-10-13 07:30:00,9.027,9.247,8.7,9.136,2278840.0
2025-10-13 08:00:00,9.138,9.505,8.093,8.524,5152885.0
2025-10-13 08:30:00,8.525,9.21,8.432,8.965,2285646.0
2025-10-13 09:00:00,8.966,9.139,8.555,8.953,2146044.0
2025-10-13 09:30:00,8.953,9.7,8.835,9.584,2429532.0
2025-10-13 10:00:00,9.587,9.598,9.018,9.111,2276620.0
2025-10-13 10:30:00,9.107,9.245,8.845,9.049,1687159.0
2025-10-13 11:00:00,9.049,9.051,8.611,8.639,1802202.0
2025-10-13 11:30:00,8.638,8.979,8.6,8.711,1525632.0
2025-10-13 12:00:00,8.71,9.082,8.063,8.458,2962459.0
2025-10-13 12:30:00,8.457,8.586,7.76,8.029,2374620.0
2025-10-13 13:00:00,8.029,8.153,7.2,7.504,3497389.0
2025-10-13 13:30:00,7.503,8.14,7.259,8.026,3564026.0
2025-10-13 14:00:00,8.025,8.431,7.702,8.06,4207785.0
2025-10-13 14:30:00,8.061,8.118,7.573,7.676,2321885.0
2025-10-13 15:00:00,7.677,8.08,7.605,7.792,2038820.0
2025-10-13 15:30:00,7.794,7.85,7.346,7.37,2199561.0
2025-10-13 16:00:00,7.367,7.589,7.01,7.208,3228122.0
2025-10-13 16:30:00,7.206,7.213,6.642,6.804,2808231.0
2025-10-13 17:00:00,6.804,7.4,6.737,7.044,3375400.0
2025-10-13 17:30:00,7.045,7.817,6.921,7.799,2206836.0
2025-10-13 18:00:00,7.799,7.806,7.131,7.245,2414435.0
2025-10-13 18:30:00,7.246,7.34,6.885,7.013,1760943.0
2025-10-13 19:00:00,7.013,7.098,6.791,6.957,1752624.0
2025-10-13 19:30:00,6.956,6.993,6.75,6.785,1120993.0
2025-10-13 20:00:00,6.785,6.872,6.139,6.463,3395594.0
2025-10-13 20:30:00,6.462,6.628,6.364,6.483,1538879.0
2025-10-13 21:00:00,6.483,6.632,6.35,6.404,1467656.0
2025-10-13 21:30:00,6.404,6.405,5.908,5.977,1985519.0
2025-10-13 22:00:00,5.977,6.072,5.623,5.65,2884256.0
2025-10-13 22:30:00,5.649,6.068,5.36,5.794,4047669.0
2025-10-13 23:00:00,5.794,6.17,5.567,5.94,2723453.0
2025-10-13 23:30:00,5.938,5.944,5.603,5.736,1537165.0
2025-10-14 00:00:00,5.736,5.887,5.456,5.786,2565348.0
2025-10-14 00:30:00,5.784,6.323,5.674,6.287,3817815.0
2025-10-14 01:00:00,6.288,6.85,6.082,6.767,4494445.0
2025-10-14 01:30:00,6.767,7.22,6.65,6.925,4204661.0
2025-10-14 02:00:00,6.924,7.8,6.581,7.692,5239256.0
2025-10-14 02:30:00,7.695,8.192,7.08,7.4,5849069.0
2025-10-14 03:00:00,7.399,7.503,6.013,6.239,8291492.0
2025-10-14 03:30:00,6.24,6.326,5.762,5.813,5905427.0
2025-10-14 04:00:00,5.815,6.165,5.774,6.045,3936564.0
2025-10-14 04:30:00,6.045,6.103,5.77,5.987,2921349.0
2025-10-14 05:00:00,5.988,6.111,5.873,6.045,1837243.0
2025-10-14 05:30:00,6.044,6.272,5.9,6.035,2296690.0
2025-10-14 06:00:00,6.037,6.5,5.962,6.252,2845756.0
2025-10-14 06:30:00,6.252,6.833,6.208,6.598,5771726.0
2025-10-14 07:00:00,6.603,7.113,6.54,6.966,4385753.0
2025-10-14 07:30:00,6.967,7.17,6.787,7.102,3417791.0
2025-10-14 08:00:00,7.102,7.489,6.914,7.273,4097735.0
2025-10-14 08:30:00,7.277,7.425,7.095,7.293,2147746.0
2025-10-14 09:00:00,7.293,7.777,7.241,7.511,3158604.0
2025-10-14 09:30:00,7.511,7.546,6.94,7.297,2746875.0
2025-10-14 10:00:00,7.297,7.73,7.27,7.483,2691309.0
2025-10-14 10:30:00,7.483,7.928,7.425,7.786,2259811.0
2025-10-14 11:00:00,7.786,7.877,7.52,7.731,2114848.0
2025-10-14 11:30:00,7.732,8.364,7.68,8.189,2990848.0
2025-10-14 12:00:00,8.187,8.68,7.843,8.554,3843187.0
2025-10-14 12:30:00,8.553,8.934,8.052,8.834,3665425.0
2025-10-14 13:00:00,8.836,9.084,8.524,8.884,3404787.0
2025-10-14 13:30:00,8.885,8.91,7.87,8.642,4095505.0
2025-10-14 14:00:00,8.644,8.88,8.238,8.329,2835050.0
2025-10-14 14:30:00,8.328,8.667,8.03,8.531,2040943.0
2025-10-14 15:00:00,8.532,8.81,8.32,8.694,2007563.0
2025-10-14 15:30:00,8.695,8.95,8.555,8.939,1720650.0
2025-10-14 16:00:00,8.942,9.759,8.648,9.406,3405742.0
2025-10-14 16:30:00,9.404,9.57,8.842,8.924,2038147.0
2025-10-14 17:00:00,8.924,9.248,8.441,8.76,1979125.0
2025-10-14 17:30:00,8.762,9.25,8.527,9.058,1658574.0
2025-10-14 18:00:00,9.058,9.481,9.048,9.147,1236417.0
2025-10-14 18:30:00,9.147,9.175,8.82,8.88,1271421.0
2025-10-14 19:00:00,8.881,8.963,8.704,8.725,928026.0
2025-10-14 19:30:00,8.723,8.99,8.577,8.654,1096967.0
2025-10-14 20:00:00,8.657,8.839,8.473,8.679,1006322.0
2025-10-14 20:30:00,8.679,8.978,8.45,8.954,1088424.0
2025-10-14 21:00:00,8.956,9.276,8.757,8.924,1485433.0
2025-10-14 21:30:00,8.924,9.236,8.78,9.164,827097.0
2025-10-14 22:00:00,9.164,9.87,9.112,9.543,2429149.0
2025-10-14 22:30:00,9.543,9.56,9.152,9.25,1406290.0
2025-10-14 23:00:00,9.249,9.428,9.081,9.222,929597.0
2025-10-14 23:30:00,9.221,9.362,9.091,9.129,825909.0
2025-10-15 00:00:00,9.128,9.248,8.782,9.133,1389401.0
2025-10-15 00:30:00,9.133,10.638,9.08,10.467,3681690.0
2025-10-15 01:00:00,10.471,10.876,10.068,10.608,2784059.0
2025-10-15 01:30:00,10.609,11.478,10.36,11.265,2969357.0
2025-10-15 02:00:00,11.268,11.684,10.906,11.446,3135235.0
2025-10-15 02:30:00,11.446,13.477,11.43,13.252,4739385.0
2025-10-15 03:00:00,13.247,14.396,12.702,13.982,4336438.0
2025-10-15 03:30:00,13.98,14.543,13.588,13.952,2569725.0
2025-10-15 04:00:00,13.953,14.458,13.1,13.617,3360026.0
2025-10-15 04:30:00,13.613,14.095,13.566,13.998,1439902.0
2025-10-15 05:00:00,13.998,14.076,13.625,13.794,1356793.0
2025-10-15 05:30:00,13.795,14.3,13.4,14.005,1648642.0
