time,open,high,low,close,volume
2025-10-18 08:45:00,2.329,2.334,2.319,2.32,9185.1
2025-10-18 09:00:00,2.319,2.33,2.318,2.327,5855.0
2025-10-18 09:15:00,2.326,2.349,2.319,2.337,5748.3
2025-10-18 09:30:00,2.337,2.342,2.332,2.342,3269.1
2025-10-18 09:45:00,2.342,2.343,2.33,2.336,8836.3
2025-10-18 10:00:00,2.336,2.34,2.329,2.332,4372.1
2025-10-18 10:15:00,2.332,2.34,2.328,2.336,4906.1
2025-10-18 10:30:00,2.335,2.35,2.335,2.347,5581.6
2025-10-18 10:45:00,2.346,2.352,2.332,2.343,12658.8
2025-10-18 11:00:00,2.344,2.347,2.336,2.346,15800.7
2025-10-18 11:15:00,2.346,2.353,2.342,2.342,11283.3
2025-10-18 11:30:00,2.343,2.357,2.343,2.354,12167.2
2025-10-18 11:45:00,2.353,2.363,2.349,2.36,6103.0
2025-10-18 12:00:00,2.36,2.36,2.341,2.35,4236.5
2025-10-18 12:15:00,2.35,2.36,2.334,2.338,5364.0
2025-10-18 12:30:00,2.338,2.346,2.331,2.335,17623.4
2025-10-18 12:45:00,2.335,2.337,2.328,2.336,4583.8
2025-10-18 13:00:00,2.336,2.337,2.316,2.326,25693.7
2025-10-18 13:15:00,2.326,2.327,2.309,2.322,11716.3
2025-10-18 13:30:00,2.322,2.322,2.306,2.31,5664.2
2025-10-18 13:45:00,2.31,2.321,2.307,2.31,6827.9
2025-10-18 14:00:00,2.31,2.316,2.292,2.302,19393.3
2025-10-18 14:15:00,2.3,2.314,2.3,2.313,4249.0
2025-10-18 14:30:00,2.314,2.335,2.314,2.324,4956.0
2025-10-18 14:45:00,2.325,2.335,2.322,2.327,2782.2
2025-10-18 15:00:00,2.327,2.33,2.317,2.319,5152.7
2025-10-18 15:15:00,2.319,2.326,2.309,2.312,5593.6
2025-10-18 15:30:00,2.311,2.313,2.301,2.312,6079.7
2025-10-18 15:45:00,2.313,2.317,2.31,2.314,2844.7
2025-10-18 16:00:00,2.315,2.318,2.301,2.304,5162.4
2025-10-18 16:15:00,2.303,2.305,2.286,2.293,7332.3
2025-10-18 16:30:00,2.295,2.295,2.282,2.287,6465.2
2025-10-18 16:45:00,2.287,2.3,2.286,2.297,3377.1
2025-10-18 17:00:00,2.297,2.3,2.287,2.299,5776.9
2025-10-18 17:15:00,2.3,2.325,2.3,2.322,3104.9
2025-10-18 17:30:00,2.323,2.329,2.316,2.316,4085.2
2025-10-18 17:45:00,2.315,2.339,2.314,2.335,12295.6
2025-10-18 18:00:00,2.336,2.347,2.326,2.327,7062.4
2025-10-18 18:15:00,2.327,2.338,2.326,2.337,6055.8
2025-10-18 18:30:00,2.336,2.342,2.331,2.332,1977.4
2025-10-18 18:45:00,2.331,2.335,2.328,2.333,2016.8
2025-10-18 19:00:00,2.333,2.336,2.325,2.328,3985.2
2025-10-18 19:15:00,2.328,2.338,2.326,2.33,6028.1
2025-10-18 19:30:00,2.33,2.33,2.313,2.318,28349.1
2025-10-18 19:45:00,2.319,2.324,2.317,2.323,7004.1
2025-10-18 20:00:00,2.324,2.336,2.322,2.322,5938.3
2025-10-18 20:15:00,2.323,2.338,2.32,2.337,2837.8
2025-10-18 20:30:00,2.337,2.345,2.332,2.336,2358.4
2025-10-18 20:45:00,2.337,2.342,2.328,2.329,1703.8
2025-10-18 21:00:00,2.327,2.333,2.316,2.32,3819.3
2025-10-18 21:15:00,2.32,2.331,2.314,2.331,1532.2
2025-10-18 21:30:00,2.332,2.336,2.329,2.331,1378.3
2025-10-18 21:45:00,2.331,2.338,2.328,2.335,1239.0
2025-10-18 22:00:00,2.336,2.344,2.334,2.336,3861.7
2025-10-18 22:15:00,2.335,2.343,2.335,2.343,4221.0
2025-10-18 22:30:00,2.341,2.342,2.329,2.329,810.3
2025-10-18 22:45:00,2.329,2.329,2.323,2.326,353.6
2025-10-18 23:00:00,2.326,2.33,2.321,2.325,2655.4
2025-10-18 23:15:00,2.325,2.329,2.322,2.329,2664.3
2025-10-18 23:30:00,2.329,2.33,2.326,2.328,462.4
2025-10-18 23:45:00,2.327,2.328,2.322,2.328,830.1
2025-10-19 00:00:00,2.329,2.331,2.313,2.314,3876.8
