time,open,high,low,close,volume
2025-10-13 04:00:00,3.22,3.232,3.197,3.205,839169.2
2025-10-13 04:30:00,3.205,3.24,3.204,3.236,784283.0
2025-10-13 05:00:00,3.236,3.24,3.213,3.227,888125.9
2025-10-13 05:30:00,3.226,3.236,3.22,3.229,568281.9
2025-10-13 06:00:00,3.228,3.258,3.208,3.256,1184852.9
2025-10-13 06:30:00,3.256,3.284,3.245,3.273,1391727.9
2025-10-13 07:00:00,3.273,3.316,3.268,3.31,1724889.4
2025-10-13 07:30:00,3.31,3.324,3.275,3.291,2851450.8
2025-10-13 08:00:00,3.291,3.326,3.282,3.322,1541173.3
2025-10-13 08:30:00,3.322,3.349,3.317,3.337,1779427.0
2025-10-13 09:00:00,3.336,3.342,3.308,3.317,2347370.1
2025-10-13 09:30:00,3.316,3.354,3.316,3.353,1705972.3
2025-10-13 10:00:00,3.353,3.363,3.32,3.339,1589826.2
2025-10-13 10:30:00,3.338,3.342,3.32,3.339,927729.7
2025-10-13 11:00:00,3.338,3.355,3.214,3.219,8771537.0
2025-10-13 11:30:00,3.219,3.291,3.218,3.268,3232720.5
2025-10-13 12:00:00,3.269,3.305,3.243,3.261,2895413.3
2025-10-13 12:30:00,3.26,3.297,3.246,3.253,1702292.0
2025-10-13 13:00:00,3.253,3.273,3.236,3.248,1767921.0
2025-10-13 13:30:00,3.249,3.348,3.246,3.334,10706485.8
2025-10-13 14:00:00,3.333,3.345,3.264,3.292,3928600.6
2025-10-13 14:30:00,3.291,3.325,3.255,3.271,2793430.8
2025-10-13 15:00:00,3.272,3.334,3.27,3.303,1760093.2
2025-10-13 15:30:00,3.304,3.331,3.296,3.318,966469.4
2025-10-13 16:00:00,3.317,3.338,3.283,3.308,2225524.5
2025-10-13 16:30:00,3.308,3.325,3.283,3.318,1340553.4
2025-10-13 17:00:00,3.317,3.348,3.304,3.317,1455730.7
2025-10-13 17:30:00,3.317,3.376,3.306,3.369,2016425.5
2025-10-13 18:00:00,3.368,3.391,3.349,3.387,2470202.3
2025-10-13 18:30:00,3.387,3.398,3.35,3.36,1584863.1
2025-10-13 19:00:00,3.36,3.407,3.355,3.39,2151586.8
2025-10-13 19:30:00,3.389,3.408,3.378,3.395,1795799.9
2025-10-13 20:00:00,3.395,3.398,3.375,3.385,909594.8
2025-10-13 20:30:00,3.385,3.42,3.377,3.418,1497882.9
2025-10-13 21:00:00,3.417,3.442,3.405,3.421,1945825.2
2025-10-13 21:30:00,3.42,3.426,3.398,3.404,904468.9
2025-10-13 22:00:00,3.403,3.422,3.401,3.403,686242.7
2025-10-13 22:30:00,3.402,3.413,3.392,3.403,1083160.0
2025-10-13 23:00:00,3.403,3.407,3.377,3.38,1729048.3
2025-10-13 23:30:00,3.379,3.389,3.364,3.373,954704.4
2025-10-14 00:00:00,3.373,3.396,3.37,3.381,1151747.1
2025-10-14 00:30:00,3.381,3.393,3.355,3.383,792873.2
2025-10-14 01:00:00,3.382,3.383,3.346,3.365,1092107.6
2025-10-14 01:30:00,3.364,3.375,3.35,3.357,692558.4
2025-10-14 02:00:00,3.357,3.358,3.317,3.331,1325816.0
2025-10-14 02:30:00,3.332,3.34,3.31,3.314,686353.5
2025-10-14 03:00:00,3.314,3.316,3.287,3.29,1915695.3
2025-10-14 03:30:00,3.29,3.313,3.288,3.298,717190.9
2025-10-14 04:00:00,3.298,3.31,3.265,3.292,1719358.2
2025-10-14 04:30:00,3.291,3.292,3.234,3.251,2782343.3
2025-10-14 05:00:00,3.251,3.278,3.245,3.247,1489755.7
2025-10-14 05:30:00,3.247,3.249,3.191,3.215,3930668.8
2025-10-14 06:00:00,3.215,3.237,3.18,3.183,2225711.7
2025-10-14 06:30:00,3.184,3.198,3.067,3.133,10057187.2
2025-10-14 07:00:00,3.133,3.157,3.112,3.139,3508603.4
2025-10-14 07:30:00,3.139,3.139,3.092,3.113,2998167.8
2025-10-14 08:00:00,3.113,3.138,3.09,3.137,2901803.5
2025-10-14 08:30:00,3.137,3.165,3.132,3.143,2441886.9
2025-10-14 09:00:00,3.142,3.168,3.139,3.156,1090495.0
2025-10-14 09:30:00,3.156,3.171,3.139,3.153,1420936.9
2025-10-14 10:00:00,3.152,3.152,3.094,3.105,2380279.1
2025-10-14 10:30:00,3.104,3.126,3.071,3.114,2925835.4
2025-10-14 11:00:00,3.115,3.152,3.112,3.144,1880200.3
2025-10-14 11:30:00,3.144,3.162,3.134,3.136,873390.3
2025-10-14 12:00:00,3.136,3.14,3.103,3.115,1232456.7
2025-10-14 12:30:00,3.114,3.121,3.088,3.095,1789170.5
2025-10-14 13:00:00,3.096,3.123,3.083,3.119,1974344.3
2025-10-14 13:30:00,3.118,3.149,3.063,3.13,5396864.2
2025-10-14 14:00:00,3.13,3.189,3.116,3.162,3998384.5
2025-10-14 14:30:00,3.162,3.192,3.135,3.157,1765859.4
2025-10-14 15:00:00,3.158,3.184,3.14,3.164,1310387.2
2025-10-14 15:30:00,3.164,3.237,3.162,3.235,2801387.5
2025-10-14 16:00:00,3.235,3.281,3.209,3.247,3657002.4
2025-10-14 16:30:00,3.247,3.257,3.215,3.225,2080124.3
2025-10-14 17:00:00,3.224,3.262,3.181,3.245,2863244.3
2025-10-14 17:30:00,3.246,3.254,3.225,3.236,1118675.3
2025-10-14 18:00:00,3.237,3.275,3.236,3.251,1003797.4
2025-10-14 18:30:00,3.251,3.263,3.237,3.251,752884.8
2025-10-14 19:00:00,3.251,3.278,3.244,3.27,763703.4
2025-10-14 19:30:00,3.271,3.271,3.186,3.233,5357810.4
2025-10-14 20:00:00,3.232,3.247,3.208,3.233,1430052.7
2025-10-14 20:30:00,3.233,3.243,3.224,3.24,567044.6
2025-10-14 21:00:00,3.24,3.245,3.213,3.231,610084.8
2025-10-14 21:30:00,3.231,3.247,3.224,3.243,190081.2
2025-10-14 22:00:00,3.243,3.264,3.243,3.247,550984.5
2025-10-14 22:30:00,3.248,3.249,3.231,3.242,294018.2
2025-10-14 23:00:00,3.242,3.258,3.24,3.253,425948.6
2025-10-14 23:30:00,3.252,3.257,3.243,3.246,248152.4
2025-10-15 00:00:00,3.245,3.252,3.218,3.227,694221.6
2025-10-15 00:30:00,3.227,3.24,3.215,3.238,500969.3
2025-10-15 01:00:00,3.237,3.241,3.209,3.21,615675.9
2025-10-15 01:30:00,3.211,3.23,3.206,3.226,424270.8
2025-10-15 02:00:00,3.226,3.26,3.22,3.259,780325.5
2025-10-15 02:30:00,3.258,3.263,3.239,3.24,583871.1
