time,open,high,low,close,volume
2025-10-13 04:00:00,2.674,2.679,2.652,2.654,19156.7
2025-10-13 04:30:00,2.657,2.677,2.655,2.674,17198.6
2025-10-13 05:00:00,2.673,2.675,2.654,2.662,15509.8
2025-10-13 05:30:00,2.661,2.664,2.654,2.656,11300.5
2025-10-13 06:00:00,2.656,2.685,2.646,2.685,24982.7
2025-10-13 06:30:00,2.685,2.705,2.673,2.692,19319.7
2025-10-13 07:00:00,2.692,2.717,2.684,2.713,16708.0
2025-10-13 07:30:00,2.715,2.721,2.689,2.694,21852.0
2025-10-13 08:00:00,2.692,2.712,2.689,2.711,16696.5
2025-10-13 08:30:00,2.711,2.729,2.711,2.722,11961.8
2025-10-13 09:00:00,2.721,2.726,2.702,2.704,25042.4
2025-10-13 09:30:00,2.706,2.728,2.706,2.727,15517.5
2025-10-13 10:00:00,2.728,2.735,2.703,2.719,35024.3
2025-10-13 10:30:00,2.719,2.733,2.71,2.73,24810.1
2025-10-13 11:00:00,2.729,2.731,2.63,2.634,123316.4
2025-10-13 11:30:00,2.635,2.703,2.634,2.691,64994.4
2025-10-13 12:00:00,2.69,2.717,2.668,2.707,41551.7
2025-10-13 12:30:00,2.706,2.732,2.696,2.7,26512.3
2025-10-13 13:00:00,2.699,2.72,2.699,2.704,35156.8
2025-10-13 13:30:00,2.705,2.773,2.704,2.763,167497.2
2025-10-13 14:00:00,2.762,2.771,2.703,2.72,48091.3
2025-10-13 14:30:00,2.719,2.754,2.692,2.705,78490.8
2025-10-13 15:00:00,2.705,2.759,2.704,2.745,35760.2
2025-10-13 15:30:00,2.745,2.768,2.736,2.748,18744.9
2025-10-13 16:00:00,2.747,2.755,2.719,2.742,51248.7
2025-10-13 16:30:00,2.742,2.766,2.731,2.759,18971.1
2025-10-13 17:00:00,2.759,2.784,2.749,2.769,28098.5
2025-10-13 17:30:00,2.771,2.806,2.755,2.803,28234.1
2025-10-13 18:00:00,2.804,2.811,2.778,2.808,23376.0
2025-10-13 18:30:00,2.809,2.819,2.794,2.803,18295.6
2025-10-13 19:00:00,2.803,2.821,2.8,2.809,16151.2
2025-10-13 19:30:00,2.809,2.823,2.805,2.817,14619.9
2025-10-13 20:00:00,2.817,2.822,2.808,2.814,14347.3
2025-10-13 20:30:00,2.813,2.83,2.81,2.829,11199.4
2025-10-13 21:00:00,2.829,2.834,2.818,2.818,12064.1
2025-10-13 21:30:00,2.817,2.826,2.813,2.818,5717.6
2025-10-13 22:00:00,2.816,2.824,2.811,2.811,8185.4
2025-10-13 22:30:00,2.812,2.829,2.812,2.825,7816.3
2025-10-13 23:00:00,2.825,2.835,2.818,2.83,25783.2
2025-10-13 23:30:00,2.83,2.837,2.824,2.827,9947.2
2025-10-14 00:00:00,2.828,2.846,2.827,2.827,24358.8
2025-10-14 00:30:00,2.827,2.833,2.813,2.821,15479.3
2025-10-14 01:00:00,2.82,2.82,2.797,2.809,47135.1
2025-10-14 01:30:00,2.81,2.811,2.793,2.799,9941.9
2025-10-14 02:00:00,2.797,2.799,2.772,2.785,22513.9
2025-10-14 02:30:00,2.785,2.793,2.773,2.775,19971.8
2025-10-14 03:00:00,2.775,2.775,2.751,2.752,23273.0
2025-10-14 03:30:00,2.752,2.776,2.75,2.762,14434.6
2025-10-14 04:00:00,2.762,2.767,2.742,2.757,16152.8
2025-10-14 04:30:00,2.756,2.756,2.706,2.722,45509.2
2025-10-14 05:00:00,2.721,2.753,2.719,2.724,34971.9
2025-10-14 05:30:00,2.725,2.727,2.683,2.694,32068.6
2025-10-14 06:00:00,2.695,2.718,2.679,2.68,25075.7
2025-10-14 06:30:00,2.682,2.694,2.589,2.645,131796.0
2025-10-14 07:00:00,2.644,2.663,2.625,2.654,46668.5
2025-10-14 07:30:00,2.651,2.653,2.616,2.627,59239.1
2025-10-14 08:00:00,2.628,2.636,2.606,2.635,28292.7
2025-10-14 08:30:00,2.637,2.661,2.633,2.64,20233.9
2025-10-14 09:00:00,2.639,2.655,2.637,2.648,19122.8
2025-10-14 09:30:00,2.646,2.658,2.627,2.644,20145.4
2025-10-14 10:00:00,2.643,2.643,2.592,2.602,32425.6
2025-10-14 10:30:00,2.601,2.618,2.568,2.615,49539.4
2025-10-14 11:00:00,2.615,2.65,2.614,2.643,41386.5
2025-10-14 11:30:00,2.642,2.66,2.641,2.643,19642.3
2025-10-14 12:00:00,2.643,2.645,2.612,2.619,28614.4
2025-10-14 12:30:00,2.62,2.627,2.601,2.606,24539.3
2025-10-14 13:00:00,2.607,2.625,2.599,2.625,17945.2
2025-10-14 13:30:00,2.624,2.657,2.582,2.638,62590.9
2025-10-14 14:00:00,2.639,2.684,2.628,2.664,42128.9
2025-10-14 14:30:00,2.663,2.697,2.639,2.661,18749.3
2025-10-14 15:00:00,2.662,2.68,2.649,2.673,18930.9
2025-10-14 15:30:00,2.675,2.737,2.671,2.735,42407.9
2025-10-14 16:00:00,2.735,2.774,2.711,2.745,67348.4
2025-10-14 16:30:00,2.747,2.753,2.705,2.722,47194.1
2025-10-14 17:00:00,2.721,2.758,2.687,2.745,41024.7
2025-10-14 17:30:00,2.747,2.753,2.727,2.731,18976.0
2025-10-14 18:00:00,2.732,2.754,2.73,2.74,19716.0
2025-10-14 18:30:00,2.739,2.748,2.727,2.737,11478.0
2025-10-14 19:00:00,2.738,2.755,2.732,2.747,15988.3
2025-10-14 19:30:00,2.747,2.747,2.685,2.724,50887.8
2025-10-14 20:00:00,2.725,2.736,2.707,2.719,31390.9
2025-10-14 20:30:00,2.719,2.725,2.71,2.723,11269.8
2025-10-14 21:00:00,2.722,2.724,2.701,2.71,10958.0
2025-10-14 21:30:00,2.71,2.725,2.707,2.725,5691.8
2025-10-14 22:00:00,2.725,2.74,2.725,2.73,9816.2
2025-10-14 22:30:00,2.728,2.73,2.716,2.725,7189.0
2025-10-14 23:00:00,2.724,2.74,2.724,2.733,7128.5
2025-10-14 23:30:00,2.733,2.738,2.729,2.731,3479.1
2025-10-15 00:00:00,2.731,2.743,2.716,2.722,19947.3
2025-10-15 00:30:00,2.721,2.73,2.708,2.729,10909.7
2025-10-15 01:00:00,2.728,2.731,2.705,2.705,18941.4
2025-10-15 01:30:00,2.703,2.72,2.701,2.712,21416.1
2025-10-15 02:00:00,2.712,2.737,2.706,2.737,21846.6
2025-10-15 02:30:00,2.736,2.739,2.713,2.714,7679.8
