time,open,high,low,close,volume
2025-10-02 18:00:00,0.283,0.291,0.283,0.285,606657.2
2025-10-02 19:00:00,0.285,0.289,0.285,0.288,486705.5
2025-10-02 20:00:00,0.288,0.289,0.285,0.286,338757.6
2025-10-02 21:00:00,0.286,0.287,0.284,0.284,265316.3
2025-10-02 22:00:00,0.285,0.286,0.282,0.286,497106.1
2025-10-02 23:00:00,0.285,0.287,0.284,0.287,186436.6
2025-10-03 00:00:00,0.286,0.287,0.281,0.282,424592.4
2025-10-03 01:00:00,0.283,0.285,0.279,0.282,716181.7
2025-10-03 02:00:00,0.281,0.284,0.28,0.283,437086.1
2025-10-03 03:00:00,0.284,0.286,0.281,0.282,484943.3
2025-10-03 04:00:00,0.282,0.285,0.281,0.284,386046.7
2025-10-03 05:00:00,0.283,0.284,0.282,0.283,247403.7
2025-10-03 06:00:00,0.283,0.284,0.279,0.281,288045.9
2025-10-03 07:00:00,0.282,0.283,0.28,0.281,292700.4
2025-10-03 08:00:00,0.282,0.282,0.28,0.28,481975.0
2025-10-03 09:00:00,0.281,0.282,0.279,0.281,434837.9
2025-10-03 10:00:00,0.281,0.282,0.28,0.281,288633.0
2025-10-03 11:00:00,0.28,0.281,0.278,0.279,274958.9
2025-10-03 12:00:00,0.279,0.281,0.278,0.28,322961.9
2025-10-03 13:00:00,0.28,0.282,0.276,0.279,769045.2
2025-10-03 14:00:00,0.279,0.281,0.276,0.28,699282.0
2025-10-03 15:00:00,0.279,0.286,0.278,0.286,813582.7
2025-10-03 16:00:00,0.285,0.292,0.285,0.289,898122.5
2025-10-03 17:00:00,0.289,0.29,0.282,0.285,1455219.7
2025-10-03 18:00:00,0.284,0.291,0.282,0.289,476062.5
2025-10-03 19:00:00,0.29,0.291,0.286,0.288,351184.4
2025-10-03 20:00:00,0.289,0.29,0.287,0.289,361454.1
2025-10-03 21:00:00,0.289,0.29,0.286,0.288,277097.5
2025-10-03 22:00:00,0.288,0.289,0.287,0.289,178821.1
2025-10-03 23:00:00,0.288,0.289,0.287,0.288,110488.4
2025-10-04 00:00:00,0.287,0.289,0.283,0.285,334837.3
2025-10-04 01:00:00,0.285,0.287,0.283,0.285,553670.0
2025-10-04 02:00:00,0.285,0.288,0.283,0.286,756526.6
2025-10-04 03:00:00,0.286,0.286,0.282,0.284,378350.3
2025-10-04 04:00:00,0.285,0.286,0.282,0.284,453228.8
2025-10-04 05:00:00,0.285,0.286,0.283,0.286,347853.1
2025-10-04 06:00:00,0.285,0.288,0.285,0.287,323969.5
2025-10-04 07:00:00,0.287,0.291,0.286,0.289,618983.3
2025-10-04 08:00:00,0.288,0.289,0.285,0.286,397309.3
2025-10-04 09:00:00,0.286,0.288,0.283,0.284,581339.4
2025-10-04 10:00:00,0.283,0.285,0.28,0.282,458360.3
2025-10-04 11:00:00,0.283,0.289,0.282,0.288,880190.6
2025-10-04 12:00:00,0.288,0.289,0.282,0.282,455041.5
2025-10-04 13:00:00,0.283,0.286,0.283,0.283,239684.3
2025-10-04 14:00:00,0.284,0.285,0.282,0.282,550457.4
2025-10-04 15:00:00,0.283,0.284,0.276,0.279,809755.7
2025-10-04 16:00:00,0.279,0.282,0.277,0.279,799571.0
2025-10-04 17:00:00,0.279,0.281,0.278,0.28,349185.8
2025-10-04 18:00:00,0.279,0.281,0.277,0.279,352714.4
2025-10-04 19:00:00,0.278,0.28,0.278,0.279,104092.0
2025-10-04 20:00:00,0.278,0.283,0.278,0.281,579635.2
2025-10-04 21:00:00,0.282,0.283,0.28,0.281,200887.4
2025-10-04 22:00:00,0.281,0.284,0.28,0.282,374467.1
2025-10-04 23:00:00,0.282,0.285,0.282,0.283,154594.6
2025-10-05 00:00:00,0.283,0.284,0.28,0.28,261797.9
2025-10-05 01:00:00,0.281,0.284,0.28,0.283,211821.6
2025-10-05 02:00:00,0.284,0.288,0.281,0.288,715425.6
2025-10-05 03:00:00,0.287,0.289,0.286,0.286,564653.4
2025-10-05 04:00:00,0.287,0.291,0.286,0.289,507812.9
2025-10-05 05:00:00,0.29,0.291,0.288,0.289,746452.1
2025-10-05 06:00:00,0.288,0.29,0.287,0.288,305965.7
2025-10-05 07:00:00,0.288,0.291,0.288,0.291,523905.9
2025-10-05 08:00:00,0.291,0.293,0.289,0.29,387498.3
2025-10-05 09:00:00,0.29,0.29,0.286,0.286,575131.6
2025-10-05 10:00:00,0.287,0.287,0.284,0.285,421609.6
2025-10-05 11:00:00,0.285,0.286,0.282,0.285,558233.9
2025-10-05 12:00:00,0.286,0.286,0.283,0.285,350836.6
2025-10-05 13:00:00,0.285,0.285,0.283,0.284,323571.4
2025-10-05 14:00:00,0.284,0.286,0.282,0.283,329301.6
2025-10-05 15:00:00,0.284,0.285,0.282,0.285,251963.1
2025-10-05 16:00:00,0.284,0.284,0.281,0.284,333708.7
2025-10-05 17:00:00,0.284,0.285,0.28,0.281,233129.5
2025-10-05 18:00:00,0.281,0.282,0.278,0.28,467677.5
2025-10-05 19:00:00,0.279,0.28,0.276,0.277,479868.2
2025-10-05 20:00:00,0.277,0.279,0.276,0.276,310219.4
2025-10-05 21:00:00,0.277,0.277,0.276,0.277,93563.6
2025-10-05 22:00:00,0.276,0.279,0.276,0.278,426851.2
2025-10-05 23:00:00,0.279,0.279,0.277,0.277,298030.7
2025-10-06 00:00:00,0.278,0.281,0.275,0.277,720883.0
2025-10-06 01:00:00,0.276,0.281,0.275,0.279,541892.5
2025-10-06 02:00:00,0.278,0.282,0.277,0.28,411048.5
2025-10-06 03:00:00,0.28,0.281,0.279,0.281,123304.4
2025-10-06 04:00:00,0.28,0.281,0.278,0.278,310064.8
2025-10-06 05:00:00,0.278,0.281,0.277,0.28,294872.9
2025-10-06 06:00:00,0.281,0.284,0.279,0.282,233022.7
2025-10-06 07:00:00,0.283,0.284,0.279,0.28,236515.4
2025-10-06 08:00:00,0.281,0.283,0.281,0.283,198075.9
2025-10-06 09:00:00,0.282,0.284,0.282,0.283,244101.6
2025-10-06 10:00:00,0.284,0.285,0.282,0.284,276341.1
2025-10-06 11:00:00,0.283,0.285,0.282,0.283,346692.8
2025-10-06 12:00:00,0.284,0.285,0.283,0.284,86525.9
2025-10-06 13:00:00,0.284,0.287,0.283,0.286,572104.9
2025-10-06 14:00:00,0.287,0.287,0.284,0.285,405450.1
2025-10-06 15:00:00,0.284,0.289,0.284,0.287,234586.4
2025-10-06 16:00:00,0.287,0.289,0.285,0.287,574376.0
2025-10-06 17:00:00,0.287,0.289,0.286,0.288,232898.2
2025-10-06 18:00:00,0.287,0.29,0.287,0.289,435239.3
2025-10-06 19:00:00,0.289,0.289,0.287,0.288,218614.2
2025-10-06 20:00:00,0.289,0.289,0.286,0.286,262569.4
2025-10-06 21:00:00,0.286,0.288,0.286,0.287,386594.7
2025-10-06 22:00:00,0.287,0.287,0.285,0.285,64489.1
2025-10-06 23:00:00,0.286,0.286,0.284,0.286,216942.2
2025-10-07 00:00:00,0.285,0.286,0.282,0.285,324957.8
2025-10-07 01:00:00,0.285,0.286,0.282,0.284,286668.4
2025-10-07 02:00:00,0.283,0.285,0.283,0.284,211097.7
2025-10-07 03:00:00,0.284,0.285,0.282,0.283,333232.8
2025-10-07 04:00:00,0.283,0.286,0.281,0.284,208199.2
2025-10-07 05:00:00,0.284,0.286,0.283,0.284,315730.2
2025-10-07 06:00:00,0.283,0.284,0.279,0.28,404664.3
2025-10-07 07:00:00,0.28,0.282,0.278,0.28,588849.3
2025-10-07 08:00:00,0.279,0.279,0.274,0.277,807131.6
2025-10-07 09:00:00,0.277,0.279,0.276,0.278,321325.8
2025-10-07 10:00:00,0.279,0.282,0.277,0.28,500443.6
2025-10-07 11:00:00,0.28,0.283,0.28,0.283,411352.5
2025-10-07 12:00:00,0.282,0.285,0.281,0.283,428330.3
2025-10-07 13:00:00,0.284,0.286,0.278,0.281,933082.2
