time,open,high,low,close,volume
2025-10-13 04:00:00,0.1714,0.1769,0.1704,0.1718,3585187.0
2025-10-13 04:30:00,0.1716,0.1743,0.1691,0.1732,1653487.0
2025-10-13 05:00:00,0.1732,0.1738,0.1709,0.1727,1318615.0
2025-10-13 05:30:00,0.1726,0.1736,0.171,0.1714,997479.0
2025-10-13 06:00:00,0.1714,0.1714,0.1678,0.1701,3046047.0
2025-10-13 06:30:00,0.1701,0.1749,0.1696,0.1726,3037972.0
2025-10-13 07:00:00,0.1725,0.1735,0.1711,0.1716,1272700.0
2025-10-13 07:30:00,0.1717,0.1722,0.1635,0.1702,4831549.0
2025-10-13 08:00:00,0.1701,0.1702,0.1666,0.169,1777130.0
2025-10-13 08:30:00,0.1689,0.1702,0.1683,0.1694,1291426.0
2025-10-13 09:00:00,0.1695,0.1706,0.1675,0.1681,1567208.0
2025-10-13 09:30:00,0.1682,0.1705,0.1679,0.1698,878487.0
2025-10-13 10:00:00,0.1698,0.1704,0.1658,0.1664,2341132.0
2025-10-13 10:30:00,0.1663,0.1672,0.1646,0.1658,2620729.0
2025-10-13 11:00:00,0.1659,0.1662,0.1572,0.158,5841351.0
2025-10-13 11:30:00,0.1579,0.1627,0.1575,0.1602,4218264.0
2025-10-13 12:00:00,0.1601,0.1636,0.1586,0.1633,3531617.0
2025-10-13 12:30:00,0.1631,0.1692,0.1629,0.1655,3449019.0
2025-10-13 13:00:00,0.1655,0.1671,0.1646,0.165,1379825.0
2025-10-13 13:30:00,0.1651,0.1705,0.165,0.1701,3679340.0
2025-10-13 14:00:00,0.17,0.1706,0.1671,0.1686,1286687.0
2025-10-13 14:30:00,0.1686,0.171,0.1669,0.1682,1654191.0
2025-10-13 15:00:00,0.1683,0.1788,0.1682,0.1771,6627233.0
2025-10-13 15:30:00,0.1771,0.1796,0.1742,0.1746,7837698.0
2025-10-13 16:00:00,0.1745,0.1753,0.1714,0.1733,1922654.0
2025-10-13 16:30:00,0.1735,0.1758,0.1731,0.1754,1395965.0
2025-10-13 17:00:00,0.1756,0.1777,0.1754,0.1762,1130472.0
2025-10-13 17:30:00,0.1762,0.1793,0.1752,0.1792,940848.0
2025-10-13 18:00:00,0.1791,0.1795,0.1771,0.1791,830715.0
2025-10-13 18:30:00,0.179,0.1817,0.1783,0.1805,2174822.0
2025-10-13 19:00:00,0.1807,0.1858,0.1795,0.1852,2255361.0
2025-10-13 19:30:00,0.1851,0.1857,0.182,0.1832,1646162.0
2025-10-13 20:00:00,0.1832,0.1833,0.1797,0.1799,1352326.0
2025-10-13 20:30:00,0.1798,0.1815,0.1796,0.1809,712806.0
2025-10-13 21:00:00,0.1809,0.1813,0.1796,0.1799,828235.0
2025-10-13 21:30:00,0.18,0.1801,0.1792,0.1797,452605.0
2025-10-13 22:00:00,0.1795,0.18,0.1777,0.1779,1195285.0
2025-10-13 22:30:00,0.1779,0.1789,0.1771,0.1783,832409.0
2025-10-13 23:00:00,0.1783,0.1789,0.1771,0.1779,906407.0
2025-10-13 23:30:00,0.1779,0.1787,0.1767,0.178,1041836.0
2025-10-14 00:00:00,0.178,0.1794,0.1778,0.179,993923.0
2025-10-14 00:30:00,0.179,0.1793,0.1762,0.177,805237.0
2025-10-14 01:00:00,0.1769,0.1832,0.1758,0.1832,4840695.0
2025-10-14 01:30:00,0.1831,0.1884,0.1831,0.186,4193280.0
2025-10-14 02:00:00,0.186,0.1879,0.1825,0.1832,3040653.0
2025-10-14 02:30:00,0.1833,0.1878,0.1832,0.1848,2500545.0
2025-10-14 03:00:00,0.1849,0.1852,0.1817,0.1828,2023240.0
2025-10-14 03:30:00,0.1828,0.1869,0.1827,0.184,1174391.0
2025-10-14 04:00:00,0.1839,0.1864,0.1835,0.1848,1744041.0
2025-10-14 04:30:00,0.1848,0.1848,0.18,0.1807,2968403.0
2025-10-14 05:00:00,0.1808,0.1861,0.1805,0.181,2472814.0
2025-10-14 05:30:00,0.1811,0.1855,0.1781,0.1798,4400923.0
2025-10-14 06:00:00,0.1797,0.1819,0.1732,0.1753,4322524.0
2025-10-14 06:30:00,0.1754,0.1763,0.1682,0.1731,5814189.0
2025-10-14 07:00:00,0.1731,0.1773,0.1729,0.1761,2422438.0
2025-10-14 07:30:00,0.1761,0.1761,0.1711,0.173,3146895.0
2025-10-14 08:00:00,0.173,0.1737,0.1693,0.171,1771491.0
2025-10-14 08:30:00,0.1711,0.1727,0.17,0.1717,1835448.0
2025-10-14 09:00:00,0.1717,0.1746,0.17,0.174,5051279.0
2025-10-14 09:30:00,0.1739,0.1788,0.1733,0.1777,4710294.0
2025-10-14 10:00:00,0.1778,0.1805,0.1686,0.1699,8340156.0
2025-10-14 10:30:00,0.1698,0.1704,0.1665,0.1692,2865269.0
2025-10-14 11:00:00,0.1692,0.1708,0.1684,0.1698,1593517.0
2025-10-14 11:30:00,0.1696,0.1714,0.1685,0.1687,1065942.0
2025-10-14 12:00:00,0.1688,0.1707,0.1675,0.169,2096615.0
2025-10-14 12:30:00,0.169,0.1692,0.1669,0.169,1065009.0
2025-10-14 13:00:00,0.1688,0.1715,0.1676,0.1714,1295511.0
2025-10-14 13:30:00,0.1714,0.1747,0.1683,0.1721,3534630.0
2025-10-14 14:00:00,0.1722,0.1752,0.1706,0.1727,1668228.0
2025-10-14 14:30:00,0.1726,0.1747,0.1707,0.1716,1335997.0
2025-10-14 15:00:00,0.1717,0.173,0.1697,0.1714,1943122.0
2025-10-14 15:30:00,0.1713,0.1769,0.171,0.176,1896603.0
2025-10-14 16:00:00,0.1761,0.1786,0.1732,0.176,2080951.0
2025-10-14 16:30:00,0.176,0.1765,0.1721,0.1729,2139336.0
2025-10-14 17:00:00,0.1729,0.1763,0.1708,0.1751,1614565.0
2025-10-14 17:30:00,0.1751,0.1762,0.1735,0.1745,750063.0
2025-10-14 18:00:00,0.1747,0.1768,0.1745,0.1751,585271.0
2025-10-14 18:30:00,0.1752,0.1755,0.1737,0.1746,464888.0
2025-10-14 19:00:00,0.1746,0.1769,0.1743,0.1758,465653.0
2025-10-14 19:30:00,0.1759,0.1759,0.1715,0.1738,1449377.0
2025-10-14 20:00:00,0.1738,0.1747,0.1727,0.1743,479887.0
2025-10-14 20:30:00,0.1741,0.1755,0.1734,0.1751,422021.0
2025-10-14 21:00:00,0.175,0.1769,0.175,0.1766,781002.0
2025-10-14 21:30:00,0.1766,0.1799,0.1764,0.1799,1723864.0
2025-10-14 22:00:00,0.1798,0.1815,0.1785,0.1787,1109845.0
2025-10-14 22:30:00,0.1788,0.1805,0.1782,0.1796,753903.0
2025-10-14 23:00:00,0.1794,0.1795,0.178,0.1785,474082.0
