time,open,high,low,close,volume
2025-10-02 18:00:00,0.3423,0.3446,0.3423,0.3446,129881.0
2025-10-02 19:00:00,0.3443,0.3458,0.3439,0.3449,193439.0
2025-10-02 20:00:00,0.3447,0.3456,0.342,0.3438,695729.0
2025-10-02 21:00:00,0.3438,0.3455,0.3426,0.3428,207585.0
2025-10-02 22:00:00,0.3428,0.344,0.3411,0.3412,243400.0
2025-10-02 23:00:00,0.3412,0.3423,0.3399,0.3423,443728.0
2025-10-03 00:00:00,0.3423,0.3429,0.3392,0.3402,304165.0
2025-10-03 01:00:00,0.3402,0.3411,0.338,0.3382,199326.0
2025-10-03 02:00:00,0.3382,0.3405,0.3379,0.3403,211728.0
2025-10-03 03:00:00,0.3402,0.3422,0.3386,0.3391,225042.0
2025-10-03 04:00:00,0.339,0.343,0.3389,0.3428,393242.0
2025-10-03 05:00:00,0.3429,0.3429,0.3413,0.342,208982.0
2025-10-03 06:00:00,0.342,0.3426,0.3396,0.3409,176439.0
2025-10-03 07:00:00,0.3409,0.3415,0.3396,0.341,249801.0
2025-10-03 08:00:00,0.3409,0.3422,0.339,0.3418,279755.0
2025-10-03 09:00:00,0.3418,0.3423,0.3405,0.3414,123776.0
2025-10-03 10:00:00,0.3415,0.342,0.3413,0.3414,128486.0
2025-10-03 11:00:00,0.3414,0.3414,0.3395,0.3401,109138.0
2025-10-03 12:00:00,0.34,0.3419,0.3389,0.3413,163104.0
2025-10-03 13:00:00,0.3412,0.3436,0.3391,0.3413,405752.0
2025-10-03 14:00:00,0.3412,0.343,0.3381,0.3421,293964.0
2025-10-03 15:00:00,0.342,0.3463,0.3406,0.3461,459106.0
2025-10-03 16:00:00,0.346,0.3516,0.346,0.3481,2044693.0
2025-10-03 17:00:00,0.348,0.3481,0.3414,0.3433,1238988.0
2025-10-03 18:00:00,0.3433,0.3474,0.3418,0.3472,492846.0
2025-10-03 19:00:00,0.3472,0.3478,0.3457,0.346,309221.0
2025-10-03 20:00:00,0.346,0.3478,0.3446,0.3473,329597.0
2025-10-03 21:00:00,0.3474,0.3478,0.3454,0.3459,184884.0
2025-10-03 22:00:00,0.3459,0.3476,0.3459,0.3468,353435.0
2025-10-03 23:00:00,0.3467,0.3467,0.345,0.3453,93050.0
2025-10-04 00:00:00,0.3453,0.3453,0.3422,0.3433,241445.0
2025-10-04 01:00:00,0.3434,0.3438,0.3401,0.341,331093.0
2025-10-04 02:00:00,0.3411,0.3425,0.3393,0.3409,242847.0
2025-10-04 03:00:00,0.3409,0.3414,0.3395,0.3407,224251.0
2025-10-04 04:00:00,0.3408,0.3418,0.3389,0.3402,218076.0
2025-10-04 05:00:00,0.3402,0.3412,0.3395,0.3405,176343.0
2025-10-04 06:00:00,0.3406,0.3417,0.3402,0.341,143308.0
2025-10-04 07:00:00,0.3408,0.3413,0.3397,0.3403,183291.0
2025-10-04 08:00:00,0.3403,0.3411,0.338,0.3385,223283.0
2025-10-04 09:00:00,0.3385,0.3399,0.3373,0.3374,183844.0
2025-10-04 10:00:00,0.3373,0.3387,0.3351,0.3356,211906.0
2025-10-04 11:00:00,0.3355,0.3364,0.3342,0.3353,242185.0
2025-10-04 12:00:00,0.3354,0.3363,0.3345,0.3347,204773.0
2025-10-04 13:00:00,0.3346,0.3381,0.3345,0.3363,254733.0
2025-10-04 14:00:00,0.3363,0.3378,0.3338,0.3339,251536.0
2025-10-04 15:00:00,0.3337,0.3348,0.3309,0.3318,502551.0
2025-10-04 16:00:00,0.3319,0.3348,0.3315,0.3338,652125.0
2025-10-04 17:00:00,0.3338,0.3348,0.3327,0.3336,208584.0
2025-10-04 18:00:00,0.3338,0.335,0.3332,0.3336,178295.0
2025-10-04 19:00:00,0.3337,0.3351,0.3337,0.3348,111785.0
2025-10-04 20:00:00,0.3349,0.3363,0.3348,0.3357,219013.0
2025-10-04 21:00:00,0.3356,0.3363,0.335,0.3354,87111.0
2025-10-04 22:00:00,0.3353,0.336,0.3346,0.3352,151179.0
2025-10-04 23:00:00,0.3353,0.336,0.3339,0.3354,376307.0
2025-10-05 00:00:00,0.3353,0.3364,0.3324,0.3328,265866.0
2025-10-05 01:00:00,0.3327,0.3355,0.3327,0.3352,169127.0
2025-10-05 02:00:00,0.3351,0.3415,0.3345,0.3409,548945.0
2025-10-05 03:00:00,0.341,0.342,0.339,0.3394,444601.0
2025-10-05 04:00:00,0.3393,0.3427,0.3388,0.3417,362711.0
2025-10-05 05:00:00,0.3418,0.3422,0.34,0.3407,345701.0
2025-10-05 06:00:00,0.3407,0.3408,0.3391,0.34,299625.0
2025-10-05 07:00:00,0.34,0.344,0.34,0.3438,377924.0
2025-10-05 08:00:00,0.3438,0.3449,0.3417,0.3421,245168.0
2025-10-05 09:00:00,0.342,0.3431,0.3383,0.3391,603048.0
2025-10-05 10:00:00,0.3392,0.3395,0.337,0.3385,362651.0
2025-10-05 11:00:00,0.3385,0.3389,0.3366,0.3386,191260.0
2025-10-05 12:00:00,0.3387,0.3393,0.3367,0.3372,435162.0
2025-10-05 13:00:00,0.3373,0.3392,0.3371,0.3383,220387.0
2025-10-05 14:00:00,0.3384,0.3397,0.3363,0.338,232502.0
2025-10-05 15:00:00,0.338,0.3394,0.3376,0.3388,201468.0
2025-10-05 16:00:00,0.3389,0.339,0.3354,0.3383,610364.0
2025-10-05 17:00:00,0.3382,0.339,0.3347,0.3353,243271.0
2025-10-05 18:00:00,0.3352,0.3369,0.3339,0.3359,209283.0
2025-10-05 19:00:00,0.3358,0.3358,0.332,0.3324,350916.0
2025-10-05 20:00:00,0.3324,0.3344,0.3318,0.3327,254849.0
2025-10-05 21:00:00,0.3326,0.3333,0.3321,0.3329,194264.0
2025-10-05 22:00:00,0.3329,0.3339,0.3315,0.3329,167224.0
2025-10-05 23:00:00,0.3328,0.3338,0.3323,0.3325,119923.0
2025-10-06 00:00:00,0.3325,0.336,0.331,0.3323,362056.0
2025-10-06 01:00:00,0.3322,0.3359,0.3304,0.3335,255996.0
2025-10-06 02:00:00,0.3335,0.3361,0.3316,0.3345,175731.0
2025-10-06 03:00:00,0.3345,0.3349,0.3334,0.3344,121264.0
2025-10-06 04:00:00,0.3343,0.3344,0.3326,0.333,114824.0
2025-10-06 05:00:00,0.3329,0.3353,0.332,0.3351,136926.0
2025-10-06 06:00:00,0.3352,0.3381,0.3349,0.338,379538.0
2025-10-06 07:00:00,0.3381,0.3385,0.3359,0.3368,250943.0
2025-10-06 08:00:00,0.3369,0.3397,0.3367,0.3396,377538.0
2025-10-06 09:00:00,0.3395,0.3403,0.3383,0.3387,544258.0
2025-10-06 10:00:00,0.3386,0.3391,0.3371,0.3382,360508.0
2025-10-06 11:00:00,0.3383,0.3404,0.3371,0.3383,172699.0
2025-10-06 12:00:00,0.3384,0.341,0.3384,0.3404,232388.0
2025-10-06 13:00:00,0.3405,0.3425,0.3391,0.3423,269327.0
2025-10-06 14:00:00,0.3423,0.3438,0.3409,0.3419,387206.0
2025-10-06 15:00:00,0.342,0.3453,0.342,0.3439,357892.0
2025-10-06 16:00:00,0.3439,0.3447,0.342,0.3436,333093.0
2025-10-06 17:00:00,0.3436,0.3449,0.3427,0.3438,242715.0
2025-10-06 18:00:00,0.3438,0.3453,0.3438,0.3451,184093.0
2025-10-06 19:00:00,0.345,0.3451,0.3437,0.3444,120467.0
2025-10-06 20:00:00,0.3444,0.345,0.3429,0.3434,115675.0
2025-10-06 21:00:00,0.3434,0.3444,0.3419,0.3438,114691.0
2025-10-06 22:00:00,0.3439,0.3451,0.3427,0.3435,115381.0
2025-10-06 23:00:00,0.3435,0.3437,0.3419,0.3426,220492.0
2025-10-07 00:00:00,0.3426,0.3439,0.3418,0.3436,200032.0
2025-10-07 01:00:00,0.3437,0.344,0.3413,0.344,236304.0
2025-10-07 02:00:00,0.3439,0.3447,0.3425,0.343,137171.0
2025-10-07 03:00:00,0.343,0.3435,0.3422,0.3428,154345.0
2025-10-07 04:00:00,0.3429,0.348,0.3416,0.3457,568335.0
2025-10-07 05:00:00,0.3457,0.3457,0.3425,0.3433,330885.0
2025-10-07 06:00:00,0.3432,0.3434,0.3384,0.3389,591290.0
2025-10-07 07:00:00,0.3388,0.3413,0.3385,0.3394,314279.0
2025-10-07 08:00:00,0.3394,0.3394,0.3367,0.3391,296521.0
2025-10-07 09:00:00,0.339,0.3401,0.3384,0.339,375789.0
2025-10-07 10:00:00,0.339,0.3415,0.3387,0.3411,313091.0
2025-10-07 11:00:00,0.3411,0.343,0.3399,0.3422,423467.0
2025-10-07 12:00:00,0.3423,0.3435,0.3413,0.3429,322224.0
2025-10-07 13:00:00,0.3429,0.3432,0.3363,0.3382,699567.0
2025-10-07 14:00:00,0.3382,0.3384,0.3294,0.3299,1795006.0
2025-10-07 15:00:00,0.33,0.3306,0.3247,0.3257,1399134.0
2025-10-07 16:00:00,0.3257,0.3301,0.3239,0.328,622466.0
2025-10-07 17:00:00,0.3281,0.3291,0.3259,0.326,229312.0
