time,open,high,low,close,volume
2025-10-13 04:00:00,0.2871,0.2874,0.2853,0.2857,221035.0
2025-10-13 04:30:00,0.2857,0.2893,0.2856,0.289,193998.0
2025-10-13 05:00:00,0.289,0.2893,0.2876,0.289,203914.0
2025-10-13 05:30:00,0.2889,0.2895,0.2883,0.2886,219309.0
2025-10-13 06:00:00,0.2885,0.2907,0.2866,0.2907,398946.0
2025-10-13 06:30:00,0.2907,0.2929,0.2894,0.2914,456376.0
2025-10-13 07:00:00,0.2915,0.2929,0.2904,0.2927,365561.0
2025-10-13 07:30:00,0.2928,0.2937,0.2901,0.2906,373463.0
2025-10-13 08:00:00,0.2906,0.2926,0.29,0.2926,201358.0
2025-10-13 08:30:00,0.2927,0.2949,0.2927,0.2943,220060.0
2025-10-13 09:00:00,0.2943,0.2949,0.2915,0.292,472177.0
2025-10-13 09:30:00,0.2922,0.2965,0.2922,0.2965,451038.0
2025-10-13 10:00:00,0.2963,0.2982,0.2938,0.2945,531517.0
2025-10-13 10:30:00,0.2945,0.2958,0.2929,0.2951,299223.0
2025-10-13 11:00:00,0.2951,0.2956,0.2852,0.2854,1355469.0
2025-10-13 11:30:00,0.2854,0.2923,0.2854,0.2903,926085.0
2025-10-13 12:00:00,0.2902,0.294,0.2883,0.292,527775.0
2025-10-13 12:30:00,0.292,0.2947,0.2898,0.2905,294782.0
2025-10-13 13:00:00,0.2904,0.2922,0.2897,0.2904,439204.0
2025-10-13 13:30:00,0.2905,0.2981,0.2901,0.2959,2059435.0
2025-10-13 14:00:00,0.2959,0.297,0.2901,0.2908,649897.0
2025-10-13 14:30:00,0.2908,0.2938,0.2883,0.2894,567866.0
2025-10-13 15:00:00,0.2895,0.2952,0.2892,0.2933,366211.0
2025-10-13 15:30:00,0.2933,0.2967,0.2932,0.2953,283109.0
2025-10-13 16:00:00,0.2953,0.2964,0.2921,0.295,463764.0
2025-10-13 16:30:00,0.2952,0.2978,0.2936,0.2969,329908.0
2025-10-13 17:00:00,0.2969,0.3004,0.2968,0.2991,455335.0
2025-10-13 17:30:00,0.2991,0.3031,0.2971,0.3029,397511.0
2025-10-13 18:00:00,0.3028,0.303,0.2997,0.3021,316887.0
2025-10-13 18:30:00,0.3021,0.3033,0.2994,0.3006,337693.0
2025-10-13 19:00:00,0.3006,0.302,0.3002,0.3006,219909.0
2025-10-13 19:30:00,0.3005,0.3025,0.3002,0.3015,189898.0
2025-10-13 20:00:00,0.3014,0.3022,0.3008,0.302,279511.0
2025-10-13 20:30:00,0.3021,0.3057,0.3016,0.3055,197571.0
2025-10-13 21:00:00,0.3054,0.3074,0.3043,0.3056,321552.0
2025-10-13 21:30:00,0.3055,0.3062,0.305,0.3052,110419.0
2025-10-13 22:00:00,0.3051,0.3054,0.304,0.3045,156508.0
2025-10-13 22:30:00,0.3044,0.3056,0.3039,0.3049,108188.0
2025-10-13 23:00:00,0.3049,0.3064,0.3041,0.3058,180970.0
2025-10-13 23:30:00,0.3057,0.307,0.3052,0.3063,173858.0
2025-10-14 00:00:00,0.3062,0.3066,0.3045,0.3048,260322.0
2025-10-14 00:30:00,0.3047,0.3059,0.3033,0.3056,265843.0
2025-10-14 01:00:00,0.3055,0.306,0.3031,0.3043,185351.0
2025-10-14 01:30:00,0.3043,0.305,0.3035,0.3042,92683.0
2025-10-14 02:00:00,0.3043,0.3043,0.2986,0.301,520034.0
2025-10-14 02:30:00,0.3009,0.302,0.2999,0.3002,165077.0
2025-10-14 03:00:00,0.3001,0.3003,0.297,0.2973,278019.0
2025-10-14 03:30:00,0.2972,0.2994,0.2967,0.2977,142735.0
2025-10-14 04:00:00,0.2976,0.2984,0.2949,0.2968,203192.0
2025-10-14 04:30:00,0.2969,0.2969,0.2908,0.2925,396056.0
2025-10-14 05:00:00,0.2923,0.2953,0.2921,0.2928,283913.0
2025-10-14 05:30:00,0.2928,0.2928,0.2883,0.2893,325016.0
2025-10-14 06:00:00,0.2894,0.2913,0.2871,0.2874,287580.0
2025-10-14 06:30:00,0.2875,0.2885,0.2764,0.2833,2069595.0
2025-10-14 07:00:00,0.2832,0.2857,0.2821,0.2847,727764.0
2025-10-14 07:30:00,0.2846,0.2846,0.2808,0.2822,501802.0
2025-10-14 08:00:00,0.2821,0.2836,0.2804,0.2827,488957.0
2025-10-14 08:30:00,0.2828,0.2853,0.2824,0.2833,238208.0
2025-10-14 09:00:00,0.2832,0.2855,0.2832,0.285,309899.0
2025-10-14 09:30:00,0.2848,0.2861,0.283,0.2845,320736.0
2025-10-14 10:00:00,0.2844,0.2844,0.2796,0.2809,575423.0
2025-10-14 10:30:00,0.2808,0.2823,0.2774,0.2816,420373.0
2025-10-14 11:00:00,0.2817,0.2861,0.2814,0.2851,307327.0
2025-10-14 11:30:00,0.2852,0.2872,0.2845,0.2852,305450.0
2025-10-14 12:00:00,0.285,0.2852,0.2821,0.2827,181114.0
2025-10-14 12:30:00,0.2827,0.2831,0.2797,0.2801,201598.0
2025-10-14 13:00:00,0.2801,0.2821,0.2793,0.2818,206338.0
2025-10-14 13:30:00,0.2819,0.2858,0.2771,0.2838,745026.0
2025-10-14 14:00:00,0.2837,0.2891,0.2826,0.2865,837450.0
2025-10-14 14:30:00,0.2866,0.2894,0.2835,0.2857,557918.0
2025-10-14 15:00:00,0.2858,0.2878,0.2835,0.2862,293375.0
2025-10-14 15:30:00,0.2862,0.292,0.2861,0.2918,449343.0
2025-10-14 16:00:00,0.2918,0.296,0.2893,0.2928,532838.0
2025-10-14 16:30:00,0.2929,0.294,0.2891,0.29,429751.0
2025-10-14 17:00:00,0.2899,0.294,0.2862,0.2924,343651.0
2025-10-14 17:30:00,0.2925,0.2934,0.2906,0.2913,228668.0
2025-10-14 18:00:00,0.2914,0.2945,0.2913,0.2922,242416.0
2025-10-14 18:30:00,0.2923,0.2931,0.2907,0.2917,114662.0
2025-10-14 19:00:00,0.2918,0.2945,0.2914,0.2936,156478.0
2025-10-14 19:30:00,0.2935,0.2938,0.2866,0.2901,556290.0
2025-10-14 20:00:00,0.2901,0.2913,0.2886,0.2905,134175.0
2025-10-14 20:30:00,0.2905,0.2917,0.2903,0.2915,76271.0
2025-10-14 21:00:00,0.2915,0.2916,0.2893,0.2903,80313.0
2025-10-14 21:30:00,0.2903,0.2916,0.29,0.2915,56786.0
2025-10-14 22:00:00,0.2915,0.2935,0.2915,0.2925,158260.0
2025-10-14 22:30:00,0.2924,0.2926,0.2913,0.292,61216.0
2025-10-14 23:00:00,0.2919,0.2936,0.2918,0.2929,57326.0
2025-10-14 23:30:00,0.2929,0.2931,0.2921,0.2924,50095.0
2025-10-15 00:00:00,0.2922,0.2927,0.2904,0.2911,96372.0
2025-10-15 00:30:00,0.2912,0.2925,0.2899,0.2923,116362.0
2025-10-15 01:00:00,0.2923,0.2924,0.2895,0.2897,96748.0
2025-10-15 01:30:00,0.2896,0.2916,0.2894,0.2908,82650.0
2025-10-15 02:00:00,0.2909,0.2944,0.2907,0.2943,137533.0
2025-10-15 02:30:00,0.2943,0.2946,0.2922,0.2922,115403.0
2025-10-15 03:00:00,0.2923,0.293,0.2904,0.2918,169062.0
2025-10-15 03:30:00,0.2918,0.2918,0.2891,0.2908,191365.0
2025-10-15 04:00:00,0.2908,0.2927,0.2901,0.2921,153647.0
2025-10-15 04:30:00,0.2921,0.2938,0.2912,0.2932,113009.0
2025-10-15 05:00:00,0.2932,0.2945,0.2924,0.2927,170120.0
