time,open,high,low,close,volume
2025-10-18 09:00:00,1.2238,1.2241,1.2001,1.2208,492070.0
2025-10-18 09:15:00,1.22,1.2455,1.214,1.2247,663134.0
2025-10-18 09:30:00,1.2249,1.2386,1.2112,1.2333,408228.0
2025-10-18 09:45:00,1.2333,1.25,1.2289,1.2367,512753.0
2025-10-18 10:00:00,1.2369,1.25,1.2244,1.2416,522030.0
2025-10-18 10:15:00,1.2413,1.2416,1.2238,1.234,288986.0
2025-10-18 10:30:00,1.2341,1.235,1.2221,1.2266,335170.0
2025-10-18 10:45:00,1.2266,1.2299,1.2138,1.2185,399181.0
2025-10-18 11:00:00,1.2183,1.227,1.2031,1.2244,627260.0
2025-10-18 11:15:00,1.2246,1.227,1.1778,1.1906,725121.0
2025-10-18 11:30:00,1.191,1.1976,1.1704,1.1845,789929.0
2025-10-18 11:45:00,1.185,1.1862,1.174,1.1784,300724.0
2025-10-18 12:00:00,1.1783,1.2046,1.1588,1.1829,878588.0
2025-10-18 12:15:00,1.1829,1.1976,1.1776,1.179,294904.0
2025-10-18 12:30:00,1.1787,1.193,1.1717,1.1925,308156.0
2025-10-18 12:45:00,1.1922,1.196,1.1851,1.1851,271090.0
2025-10-18 13:00:00,1.1851,1.1948,1.1732,1.1763,363969.0
2025-10-18 13:15:00,1.1766,1.1871,1.1715,1.1779,373707.0
2025-10-18 13:30:00,1.1782,1.2013,1.1741,1.1872,462195.0
2025-10-18 13:45:00,1.1871,1.1918,1.1773,1.18,171585.0
2025-10-18 14:00:00,1.1799,1.1941,1.1741,1.1906,387249.0
2025-10-18 14:15:00,1.1903,1.2136,1.1903,1.2069,552122.0
2025-10-18 14:30:00,1.2066,1.2364,1.2052,1.227,632601.0
2025-10-18 14:45:00,1.2268,1.2361,1.2123,1.2204,422908.0
2025-10-18 15:00:00,1.2199,1.2244,1.192,1.2007,511962.0
2025-10-18 15:15:00,1.2006,1.2043,1.17,1.1726,928991.0
2025-10-18 15:30:00,1.1727,1.2023,1.141,1.1888,1396634.0
2025-10-18 15:45:00,1.1885,1.2089,1.1884,1.1998,499667.0
2025-10-18 16:00:00,1.1986,1.2018,1.1816,1.199,380704.0
2025-10-18 16:15:00,1.1989,1.21,1.1868,1.1941,269438.0
2025-10-18 16:30:00,1.1935,1.1976,1.1831,1.1916,193341.0
2025-10-18 16:45:00,1.1914,1.1925,1.1785,1.1848,169690.0
2025-10-18 17:00:00,1.1849,1.1871,1.1656,1.1676,397295.0
2025-10-18 17:15:00,1.1676,1.1725,1.16,1.1651,328544.0
2025-10-18 17:30:00,1.1652,1.1655,1.1471,1.1531,477632.0
2025-10-18 17:45:00,1.1531,1.1629,1.1488,1.1581,219302.0
2025-10-18 18:00:00,1.1581,1.1669,1.1513,1.1594,268293.0
2025-10-18 18:15:00,1.1591,1.1687,1.1573,1.1642,145270.0
2025-10-18 18:30:00,1.1642,1.167,1.1596,1.1602,86922.0
2025-10-18 18:45:00,1.1602,1.1666,1.1596,1.1642,73969.0
2025-10-18 19:00:00,1.1642,1.1662,1.1411,1.1479,367396.0
2025-10-18 19:15:00,1.148,1.1545,1.1428,1.1444,100850.0
2025-10-18 19:30:00,1.1445,1.1445,1.125,1.134,389568.0
2025-10-18 19:45:00,1.1341,1.1437,1.134,1.1357,130102.0
2025-10-18 20:00:00,1.135,1.1367,1.12,1.1243,235472.0
2025-10-18 20:15:00,1.124,1.1346,1.1218,1.1309,124759.0
2025-10-18 20:30:00,1.131,1.1336,1.1214,1.1262,144896.0
2025-10-18 20:45:00,1.1262,1.1265,1.1133,1.1197,206524.0
2025-10-18 21:00:00,1.1195,1.1225,1.1139,1.1214,132475.0
2025-10-18 21:15:00,1.1217,1.1423,1.1187,1.1403,140806.0
2025-10-18 21:30:00,1.1405,1.145,1.1296,1.138,164297.0
2025-10-18 21:45:00,1.1376,1.1399,1.11,1.1116,620445.0
2025-10-18 22:00:00,1.1115,1.1236,1.1103,1.1154,202248.0
2025-10-18 22:15:00,1.1157,1.1244,1.1146,1.12,97745.0
2025-10-18 22:30:00,1.1204,1.1313,1.1172,1.118,109405.0
2025-10-18 22:45:00,1.1181,1.1225,1.1122,1.1158,96171.0
2025-10-18 23:00:00,1.1154,1.1262,1.1106,1.1187,147826.0
2025-10-18 23:15:00,1.1187,1.1248,1.1173,1.1184,44939.0
2025-10-18 23:30:00,1.1186,1.1193,1.1129,1.1136,82812.0
2025-10-18 23:45:00,1.1136,1.1194,1.1111,1.1186,88869.0
2025-10-19 00:00:00,1.1187,1.128,1.1123,1.1224,234554.0
2025-10-19 00:15:00,1.1224,1.1377,1.1212,1.136,200345.0
2025-10-19 00:30:00,1.1359,1.1392,1.1206,1.1283,223768.0
2025-10-19 00:45:00,1.1279,1.1322,1.1209,1.1255,75864.0
2025-10-19 01:00:00,1.1253,1.1272,1.101,1.1023,315367.0
2025-10-19 01:15:00,1.1025,1.1185,1.0942,1.1158,438359.0
2025-10-19 01:30:00,1.1158,1.1308,1.1057,1.1298,198870.0
2025-10-19 01:45:00,1.13,1.1605,1.1282,1.141,595492.0
2025-10-19 02:00:00,1.1402,1.144,1.1219,1.123,221023.0
2025-10-19 02:15:00,1.1232,1.1356,1.1228,1.1351,113865.0
2025-10-19 02:30:00,1.1342,1.139,1.1197,1.1375,192582.0
2025-10-19 02:45:00,1.1377,1.1537,1.1329,1.1423,261025.0
2025-10-19 03:00:00,1.1427,1.1582,1.14,1.1494,251126.0
2025-10-19 03:15:00,1.1492,1.1781,1.1457,1.1636,372793.0
2025-10-19 03:30:00,1.1634,1.1683,1.1551,1.163,244212.0
2025-10-19 03:45:00,1.1631,1.1673,1.1573,1.1614,162668.0
2025-10-19 04:00:00,1.1611,1.1848,1.1608,1.1726,371494.0
2025-10-19 04:15:00,1.1732,1.1838,1.1725,1.1756,120065.0
2025-10-19 04:30:00,1.1758,1.1821,1.1677,1.1766,179474.0
2025-10-19 04:45:00,1.1767,1.1796,1.1671,1.1695,140642.0
2025-10-19 05:00:00,1.1691,1.172,1.1633,1.1669,111441.0
2025-10-19 05:15:00,1.1669,1.1729,1.1606,1.168,158423.0
2025-10-19 05:30:00,1.1679,1.1683,1.152,1.161,210955.0
2025-10-19 05:45:00,1.1604,1.2066,1.1542,1.1906,707679.0
2025-10-19 06:00:00,1.1912,1.2141,1.1892,1.2052,509406.0
2025-10-19 06:15:00,1.2054,1.2362,1.1967,1.2362,655114.0
2025-10-19 06:30:00,1.2357,1.2361,1.2129,1.2197,332009.0
2025-10-19 06:45:00,1.2197,1.2467,1.2187,1.238,545099.0
2025-10-19 07:00:00,1.2383,1.2706,1.2215,1.2426,1041733.0
2025-10-19 07:15:00,1.243,1.2436,1.215,1.2171,556838.0
2025-10-19 07:30:00,1.2171,1.2243,1.2083,1.2133,339568.0
2025-10-19 07:45:00,1.2133,1.2133,1.195,1.2058,394960.0
2025-10-19 08:00:00,1.206,1.2131,1.1975,1.201,230070.0
2025-10-19 08:15:00,1.201,1.2094,1.1803,1.192,465086.0
2025-10-19 08:30:00,1.1921,1.205,1.1841,1.1863,348555.0
2025-10-19 08:45:00,1.1871,1.1996,1.1869,1.1971,144792.0
2025-10-19 09:00:00,1.1972,1.2177,1.1932,1.2105,346360.0
2025-10-19 09:15:00,1.2108,1.2154,1.1816,1.1897,239641.0
2025-10-19 09:30:00,1.1897,1.2081,1.186,1.2,275445.0
2025-10-19 09:45:00,1.2,1.216,1.1963,1.2052,393123.0
2025-10-19 10:00:00,1.205,1.2093,1.1961,1.2081,188755.0
2025-10-19 10:15:00,1.208,1.2083,1.1826,1.1968,312200.0
2025-10-19 10:30:00,1.1968,1.2006,1.1842,1.1925,170221.0
2025-10-19 10:45:00,1.1928,1.2145,1.1924,1.2038,215948.0
2025-10-19 11:00:00,1.204,1.2234,1.198,1.2191,313590.0
2025-10-19 11:15:00,1.2185,1.227,1.2055,1.2168,425388.0
2025-10-19 11:30:00,1.217,1.2941,1.2109,1.2856,1544802.0
