time,open,high,low,close,volume
2025-10-02 18:00:00,119.13,119.82,119.04,119.18,159511.516
2025-10-02 19:00:00,119.19,119.82,118.94,119.39,103093.63
2025-10-02 20:00:00,119.4,119.96,119.24,119.84,65798.133
2025-10-02 21:00:00,119.84,120.13,119.4,119.84,85269.064
2025-10-02 22:00:00,119.84,119.92,118.91,118.99,78654.971
2025-10-02 23:00:00,119.0,119.64,118.96,119.5,50993.897
2025-10-03 00:00:00,119.5,119.5,117.81,118.17,159860.218
2025-10-03 01:00:00,118.17,118.43,117.62,117.76,97200.847
2025-10-03 02:00:00,117.76,117.99,117.18,117.51,91739.223
2025-10-03 03:00:00,117.51,118.25,117.13,117.36,104559.475
2025-10-03 04:00:00,117.35,118.5,117.21,117.78,82035.696
2025-10-03 05:00:00,117.77,117.85,117.0,117.23,82563.578
2025-10-03 06:00:00,117.23,117.37,116.31,116.77,179426.063
2025-10-03 07:00:00,116.78,116.94,115.9,116.4,160207.868
2025-10-03 08:00:00,116.4,116.93,115.73,116.77,99474.602
2025-10-03 09:00:00,116.78,117.27,116.65,117.11,88860.363
2025-10-03 10:00:00,117.12,117.54,117.03,117.31,74275.343
2025-10-03 11:00:00,117.32,117.66,117.01,117.38,79952.722
2025-10-03 12:00:00,117.37,118.3,117.26,117.99,105115.442
2025-10-03 13:00:00,117.99,118.42,117.72,117.98,118117.859
2025-10-03 14:00:00,117.97,119.99,117.35,118.98,241317.461
2025-10-03 15:00:00,118.97,120.15,118.69,119.98,149253.33
2025-10-03 16:00:00,119.98,121.05,119.84,120.4,244851.236
2025-10-03 17:00:00,120.39,123.07,118.26,121.41,652562.039
2025-10-03 18:00:00,121.42,124.87,120.92,123.31,349678.494
2025-10-03 19:00:00,123.32,123.85,122.13,122.38,198714.821
2025-10-03 20:00:00,122.39,122.49,121.41,122.46,128839.483
2025-10-03 21:00:00,122.45,122.52,120.99,121.45,64905.849
2025-10-03 22:00:00,121.46,121.65,120.56,120.86,71505.369
2025-10-03 23:00:00,120.86,120.92,120.22,120.52,70108.999
2025-10-04 00:00:00,120.53,120.97,120.11,120.39,78932.805
2025-10-04 01:00:00,120.4,120.48,118.97,119.65,191309.395
2025-10-04 02:00:00,119.65,120.18,119.04,119.75,80042.437
2025-10-04 03:00:00,119.75,119.92,119.3,119.44,49921.798
2025-10-04 04:00:00,119.44,119.46,118.95,119.07,48244.113
2025-10-04 05:00:00,119.07,119.48,118.8,118.88,52658.195
2025-10-04 06:00:00,118.88,119.6,118.87,119.06,65520.93
2025-10-04 07:00:00,119.07,119.18,118.2,118.46,71754.243
2025-10-04 08:00:00,118.47,118.7,118.1,118.35,68747.632
2025-10-04 09:00:00,118.34,118.65,118.19,118.27,43479.157
2025-10-04 10:00:00,118.28,118.89,118.01,118.2,94593.094
2025-10-04 11:00:00,118.2,118.32,117.63,117.77,70349.794
2025-10-04 12:00:00,117.77,118.22,117.74,117.98,49447.19
