time,open,high,low,close,volume
2025-10-13 04:00:00,10.72,10.77,10.64,10.66,8526.25
2025-10-13 04:30:00,10.66,10.81,10.65,10.8,6856.94
2025-10-13 05:00:00,10.79,10.85,10.72,10.74,6682.3
2025-10-13 05:30:00,10.74,10.8,10.7,10.72,5319.02
2025-10-13 06:00:00,10.72,10.83,10.66,10.83,7883.87
2025-10-13 06:30:00,10.84,10.92,10.75,10.86,8633.82
2025-10-13 07:00:00,10.86,10.99,10.8,10.98,11542.52
2025-10-13 07:30:00,10.98,11.01,10.78,10.83,9622.85
2025-10-13 08:00:00,10.82,10.98,10.79,10.97,6320.23
2025-10-13 08:30:00,10.97,11.04,10.92,10.96,6599.77
2025-10-13 09:00:00,10.96,10.99,10.83,10.86,10625.92
2025-10-13 09:30:00,10.85,11.03,10.84,11.03,8678.22
2025-10-13 10:00:00,11.04,11.08,10.9,10.95,9139.07
2025-10-13 10:30:00,10.95,11.05,10.88,11.01,6365.35
2025-10-13 11:00:00,11.01,11.01,10.5,10.53,28706.66
2025-10-13 11:30:00,10.54,10.85,10.54,10.75,18894.81
2025-10-13 12:00:00,10.74,10.88,10.63,10.79,13296.35
2025-10-13 12:30:00,10.78,10.93,10.66,10.69,10625.76
2025-10-13 13:00:00,10.7,10.81,10.68,10.7,12248.54
2025-10-13 13:30:00,10.71,11.1,10.71,10.96,57518.37
2025-10-13 14:00:00,10.96,11.0,10.68,10.8,22066.49
2025-10-13 14:30:00,10.79,11.0,10.7,10.88,38097.32
2025-10-13 15:00:00,10.89,11.12,10.88,10.93,24765.48
2025-10-13 15:30:00,10.94,11.08,10.91,11.0,9217.84
2025-10-13 16:00:00,11.01,11.08,10.83,10.96,19762.91
2025-10-13 16:30:00,10.95,11.02,10.84,10.98,14460.33
2025-10-13 17:00:00,10.99,11.13,10.94,10.99,14982.81
2025-10-13 17:30:00,11.0,11.21,10.92,11.2,17403.51
2025-10-13 18:00:00,11.2,11.33,11.09,11.31,20768.77
2025-10-13 18:30:00,11.32,11.36,11.14,11.17,11052.42
2025-10-13 19:00:00,11.17,11.28,11.15,11.22,9181.15
2025-10-13 19:30:00,11.21,11.32,11.21,11.3,8521.99
2025-10-13 20:00:00,11.3,11.32,11.24,11.26,8457.16
