time,open,high,low,close,volume
2025-10-18 09:00:00,1.8403,1.8471,1.8194,1.8225,194528.5
2025-10-18 09:15:00,1.8228,1.8243,1.8092,1.8134,149413.1
2025-10-18 09:30:00,1.8134,1.8328,1.8073,1.832,69150.6
2025-10-18 09:45:00,1.8318,1.851,1.8295,1.8482,119813.8
2025-10-18 10:00:00,1.8482,1.8529,1.8375,1.8471,180384.2
2025-10-18 10:15:00,1.8472,1.8644,1.8426,1.8517,198270.2
2025-10-18 10:30:00,1.8516,1.8601,1.8481,1.8552,123708.4
2025-10-18 10:45:00,1.855,1.8774,1.8506,1.8711,215058.1
2025-10-18 11:00:00,1.8714,1.8808,1.8556,1.8587,341888.7
2025-10-18 11:15:00,1.8591,1.8675,1.8498,1.8638,166927.2
2025-10-18 11:30:00,1.8643,1.8675,1.842,1.8513,196014.4
2025-10-18 11:45:00,1.8516,1.8577,1.8437,1.8573,111046.4
2025-10-18 12:00:00,1.8573,1.872,1.8573,1.8693,178468.9
2025-10-18 12:15:00,1.8688,1.8745,1.8571,1.8625,104342.7
2025-10-18 12:30:00,1.8623,1.8636,1.8372,1.8509,201612.1
2025-10-18 12:45:00,1.8505,1.8647,1.8505,1.8591,70374.2
2025-10-18 13:00:00,1.8594,1.8611,1.8339,1.8489,213916.7
2025-10-18 13:15:00,1.8488,1.8488,1.8331,1.8418,118201.5
2025-10-18 13:30:00,1.8418,1.8429,1.822,1.8298,118114.5
2025-10-18 13:45:00,1.8297,1.8352,1.8214,1.8268,95817.1
2025-10-18 14:00:00,1.8269,1.8394,1.8225,1.8277,113038.7
2025-10-18 14:15:00,1.8279,1.8474,1.8259,1.8419,111433.9
2025-10-18 14:30:00,1.842,1.8629,1.8377,1.8456,328124.0
2025-10-18 14:45:00,1.8456,1.8496,1.8284,1.8287,139111.4
2025-10-18 15:00:00,1.8288,1.8403,1.8263,1.8288,136987.8
2025-10-18 15:15:00,1.8288,1.8461,1.8288,1.8398,96349.3
2025-10-18 15:30:00,1.8391,1.8423,1.8315,1.8365,102748.9
2025-10-18 15:45:00,1.8367,1.8478,1.8342,1.8437,65569.8
2025-10-18 16:00:00,1.8438,1.8527,1.8341,1.8362,113767.5
2025-10-18 16:15:00,1.8364,1.8401,1.8249,1.8275,93919.8
2025-10-18 16:30:00,1.8277,1.829,1.8137,1.821,177714.6
2025-10-18 16:45:00,1.8213,1.8367,1.8202,1.8336,67244.2
2025-10-18 17:00:00,1.8336,1.8336,1.8223,1.8275,60270.8
2025-10-18 17:15:00,1.8278,1.849,1.8267,1.8483,74426.1
2025-10-18 17:30:00,1.8484,1.8557,1.8402,1.8495,85232.6
2025-10-18 17:45:00,1.8494,1.8629,1.847,1.86,71037.5
2025-10-18 18:00:00,1.8601,1.8634,1.8494,1.8494,71136.1
2025-10-18 18:15:00,1.8496,1.8545,1.8438,1.845,58867.5
2025-10-18 18:30:00,1.8454,1.8546,1.8388,1.8423,93228.5
2025-10-18 18:45:00,1.8418,1.8479,1.8392,1.8466,32834.7
2025-10-18 19:00:00,1.8468,1.8548,1.8464,1.8487,53692.3
2025-10-18 19:15:00,1.8486,1.8612,1.8486,1.8565,66247.1
2025-10-18 19:30:00,1.8565,1.8604,1.853,1.8573,35425.5
2025-10-18 19:45:00,1.8573,1.8712,1.8573,1.8702,46889.2
2025-10-18 20:00:00,1.8702,1.8805,1.8663,1.8755,115169.7
2025-10-18 20:15:00,1.8763,1.9133,1.8737,1.9015,360772.1
2025-10-18 20:30:00,1.9014,1.9071,1.8872,1.8872,148551.4
2025-10-18 20:45:00,1.8871,1.8946,1.8747,1.8751,64203.2
2025-10-18 21:00:00,1.8755,1.8864,1.8674,1.8838,131806.9
2025-10-18 21:15:00,1.8841,1.8868,1.8738,1.8825,45233.5
2025-10-18 21:30:00,1.8826,1.8842,1.8745,1.8772,47058.0
2025-10-18 21:45:00,1.8769,1.88,1.8744,1.8771,33095.7
2025-10-18 22:00:00,1.8768,1.8784,1.8707,1.8773,51621.2
2025-10-18 22:15:00,1.8767,1.8804,1.8732,1.8755,54842.7
2025-10-18 22:30:00,1.8751,1.8751,1.8626,1.8632,38585.6
2025-10-18 22:45:00,1.8622,1.8659,1.8589,1.8598,43179.3
2025-10-18 23:00:00,1.8598,1.871,1.8579,1.871,47736.8
2025-10-18 23:15:00,1.8707,1.8739,1.8674,1.8698,34776.0
2025-10-18 23:30:00,1.8698,1.8797,1.8691,1.8751,124737.6
2025-10-18 23:45:00,1.8754,1.8887,1.8731,1.8882,44888.5
2025-10-19 00:00:00,1.8882,1.8965,1.885,1.8866,77285.5
2025-10-19 00:15:00,1.8864,1.8891,1.8795,1.8799,72227.8
2025-10-19 00:30:00,1.8802,1.8813,1.8718,1.8743,67270.6
2025-10-19 00:45:00,1.8742,1.891,1.8702,1.8857,69957.0
2025-10-19 01:00:00,1.885,1.8863,1.8715,1.8846,55953.8
2025-10-19 01:15:00,1.8848,1.9082,1.8828,1.9076,109474.1
2025-10-19 01:30:00,1.9076,1.9113,1.8963,1.9023,123150.1
2025-10-19 01:45:00,1.9027,1.9169,1.9007,1.9029,85090.7
2025-10-19 02:00:00,1.9031,1.9196,1.9015,1.904,61545.0
2025-10-19 02:15:00,1.9039,1.9149,1.8978,1.9077,62770.7
2025-10-19 02:30:00,1.9076,1.918,1.9064,1.9131,90891.3
2025-10-19 02:45:00,1.9128,1.9287,1.9115,1.9226,142012.5
2025-10-19 03:00:00,1.9225,1.9389,1.9222,1.934,225341.6
2025-10-19 03:15:00,1.9337,1.9481,1.9323,1.943,168709.2
2025-10-19 03:30:00,1.943,1.9519,1.929,1.9385,235064.5
2025-10-19 03:45:00,1.9381,1.9474,1.9209,1.9385,215567.8
2025-10-19 04:00:00,1.9385,1.9522,1.9291,1.9304,238244.8
2025-10-19 04:15:00,1.931,1.9404,1.9297,1.9361,108322.6
2025-10-19 04:30:00,1.9358,1.9461,1.9309,1.9387,90907.7
2025-10-19 04:45:00,1.9386,1.9427,1.9267,1.9333,87514.6
2025-10-19 05:00:00,1.9334,1.9361,1.924,1.9309,82025.9
2025-10-19 05:15:00,1.9309,1.9438,1.928,1.9309,96266.3
2025-10-19 05:30:00,1.9305,1.932,1.9049,1.9078,167328.0
2025-10-19 05:45:00,1.9078,1.9211,1.9025,1.9194,113871.4
2025-10-19 06:00:00,1.9195,1.93,1.9099,1.9122,144924.5
2025-10-19 06:15:00,1.9122,1.9233,1.9034,1.9045,193698.4
2025-10-19 06:30:00,1.9048,1.9065,1.8884,1.8911,234241.3
2025-10-19 06:45:00,1.8913,1.8961,1.8769,1.8823,200793.5
2025-10-19 07:00:00,1.8827,1.8949,1.88,1.8847,177088.2
2025-10-19 07:15:00,1.8846,1.8929,1.8635,1.867,687321.2
2025-10-19 07:30:00,1.8665,1.8737,1.834,1.836,620180.5
2025-10-19 07:45:00,1.8362,1.8494,1.8254,1.8399,447504.2
2025-10-19 08:00:00,1.8403,1.8587,1.8309,1.8339,357514.2
2025-10-19 08:15:00,1.8339,1.8593,1.8234,1.8407,610378.8
2025-10-19 08:30:00,1.8409,1.8412,1.8212,1.8281,557626.3
2025-10-19 08:45:00,1.8283,1.8288,1.8116,1.8152,720502.3
