time,open,high,low,close,volume
2025-10-18 09:00:00,3.871,3.876,3.863,3.876,4255.06
2025-10-18 09:15:00,3.873,3.903,3.862,3.896,3792.67
2025-10-18 09:30:00,3.897,3.901,3.883,3.899,2333.32
2025-10-18 09:45:00,3.901,3.908,3.891,3.903,1265.25
2025-10-18 10:00:00,3.901,3.907,3.882,3.886,2602.67
2025-10-18 10:15:00,3.886,3.886,3.877,3.883,1913.79
2025-10-18 10:30:00,3.884,3.909,3.884,3.906,2302.11
2025-10-18 10:45:00,3.905,3.905,3.877,3.895,1210.95
2025-10-18 11:00:00,3.898,3.915,3.893,3.911,5796.45
2025-10-18 11:15:00,3.911,3.918,3.881,3.882,2219.3
2025-10-18 11:30:00,3.882,3.917,3.877,3.912,3434.24
2025-10-18 11:45:00,3.912,3.92,3.899,3.918,3156.36
2025-10-18 12:00:00,3.92,3.924,3.906,3.917,2607.25
2025-10-18 12:15:00,3.919,3.931,3.903,3.913,1064.12
2025-10-18 12:30:00,3.91,3.91,3.893,3.901,2993.61
2025-10-18 12:45:00,3.901,3.908,3.894,3.902,2463.56
2025-10-18 13:00:00,3.904,3.904,3.877,3.899,2323.83
2025-10-18 13:15:00,3.902,3.902,3.861,3.879,3520.56
2025-10-18 13:30:00,3.877,3.878,3.848,3.862,1633.61
2025-10-18 13:45:00,3.861,3.877,3.855,3.857,1159.58
2025-10-18 14:00:00,3.856,3.868,3.83,3.835,4028.33
2025-10-18 14:15:00,3.837,3.856,3.836,3.856,2906.47
2025-10-18 14:30:00,3.858,3.878,3.855,3.856,4636.74
2025-10-18 14:45:00,3.856,3.878,3.856,3.876,2747.26
2025-10-18 15:00:00,3.876,3.893,3.868,3.87,2964.64
2025-10-18 15:15:00,3.871,3.88,3.862,3.865,1712.68
2025-10-18 15:30:00,3.863,3.863,3.825,3.845,4062.51
2025-10-18 15:45:00,3.845,3.853,3.777,3.794,20960.98
2025-10-18 16:00:00,3.794,3.825,3.794,3.805,11172.3
2025-10-18 16:15:00,3.808,3.833,3.795,3.805,11380.06
2025-10-18 16:30:00,3.807,3.81,3.786,3.806,3892.29
2025-10-18 16:45:00,3.805,3.839,3.802,3.829,3081.35
2025-10-18 17:00:00,3.832,3.836,3.809,3.833,3058.95
2025-10-18 17:15:00,3.834,3.876,3.834,3.866,2384.95
2025-10-18 17:30:00,3.865,3.868,3.839,3.839,4574.68
2025-10-18 17:45:00,3.836,3.872,3.834,3.866,6767.98
2025-10-18 18:00:00,3.868,3.884,3.858,3.86,3784.45
2025-10-18 18:15:00,3.863,3.874,3.855,3.866,2599.7
2025-10-18 18:30:00,3.861,3.875,3.861,3.862,1171.23
2025-10-18 18:45:00,3.864,3.869,3.857,3.861,2326.65
2025-10-18 19:00:00,3.862,3.878,3.857,3.862,2681.63
2025-10-18 19:15:00,3.862,3.875,3.862,3.872,1626.56
2025-10-18 19:30:00,3.868,3.869,3.858,3.861,885.63
2025-10-18 19:45:00,3.864,3.871,3.851,3.864,2819.68
2025-10-18 20:00:00,3.864,3.879,3.86,3.869,1480.54
2025-10-18 20:15:00,3.867,3.876,3.864,3.872,1908.02
2025-10-18 20:30:00,3.872,3.879,3.862,3.873,1618.51
2025-10-18 20:45:00,3.88,3.886,3.866,3.866,2179.46
2025-10-18 21:00:00,3.865,3.885,3.834,3.851,14654.22
2025-10-18 21:15:00,3.851,3.87,3.847,3.87,857.74
2025-10-18 21:30:00,3.868,3.883,3.866,3.882,2532.96
2025-10-18 21:45:00,3.879,3.898,3.876,3.894,968.66
2025-10-18 22:00:00,3.897,3.902,3.882,3.883,5295.44
2025-10-18 22:15:00,3.885,3.898,3.883,3.893,3444.15
2025-10-18 22:30:00,3.891,3.894,3.874,3.876,1527.32
2025-10-18 22:45:00,3.876,3.876,3.864,3.869,1679.15
2025-10-18 23:00:00,3.868,3.874,3.86,3.863,3236.13
2025-10-18 23:15:00,3.863,3.864,3.856,3.861,1077.61
2025-10-18 23:30:00,3.862,3.871,3.862,3.87,1816.72
2025-10-18 23:45:00,3.868,3.871,3.865,3.869,1320.94
2025-10-19 00:00:00,3.87,3.87,3.836,3.839,5344.0
2025-10-19 00:15:00,3.842,3.849,3.836,3.84,906.54
2025-10-19 00:30:00,3.841,3.845,3.823,3.824,2348.82
2025-10-19 00:45:00,3.826,3.835,3.816,3.832,2032.41
2025-10-19 01:00:00,3.832,3.835,3.817,3.826,2070.24
2025-10-19 01:15:00,3.826,3.851,3.823,3.845,3221.43
2025-10-19 01:30:00,3.848,3.85,3.833,3.845,1725.83
2025-10-19 01:45:00,3.846,3.854,3.845,3.851,1132.3
2025-10-19 02:00:00,3.851,3.863,3.848,3.856,2710.56
2025-10-19 02:15:00,3.856,3.87,3.854,3.859,887.65
2025-10-19 02:30:00,3.86,3.865,3.842,3.843,1914.78
2025-10-19 02:45:00,3.842,3.845,3.832,3.841,946.29
2025-10-19 03:00:00,3.841,3.849,3.834,3.839,2406.64
2025-10-19 03:15:00,3.839,3.863,3.839,3.863,1147.78
2025-10-19 03:30:00,3.862,3.883,3.862,3.876,2486.05
2025-10-19 03:45:00,3.876,3.884,3.865,3.876,651.3
2025-10-19 04:00:00,3.876,3.877,3.85,3.854,2423.16
2025-10-19 04:15:00,3.85,3.854,3.84,3.853,1247.2
2025-10-19 04:30:00,3.85,3.884,3.849,3.854,6198.87
2025-10-19 04:45:00,3.854,3.864,3.846,3.863,2860.71
2025-10-19 05:00:00,3.862,3.881,3.861,3.862,3180.33
2025-10-19 05:15:00,3.863,3.875,3.856,3.86,2975.34
2025-10-19 05:30:00,3.861,3.863,3.845,3.846,358.06
2025-10-19 05:45:00,3.846,3.846,3.833,3.844,1019.18
2025-10-19 06:00:00,3.842,3.852,3.826,3.828,4831.15
2025-10-19 06:15:00,3.828,3.834,3.813,3.822,5163.03
2025-10-19 06:30:00,3.822,3.827,3.801,3.806,6805.66
2025-10-19 06:45:00,3.806,3.817,3.8,3.813,4081.59
2025-10-19 07:00:00,3.813,3.835,3.812,3.833,6067.01
2025-10-19 07:15:00,3.832,3.838,3.815,3.822,4731.77
2025-10-19 07:30:00,3.822,3.83,3.795,3.809,7892.77
2025-10-19 07:45:00,3.808,3.826,3.806,3.826,1901.48
2025-10-19 08:00:00,3.824,3.841,3.82,3.824,4173.65
2025-10-19 08:15:00,3.824,3.886,3.78,3.816,38404.08
2025-10-19 08:30:00,3.819,3.82,3.792,3.799,7699.44
2025-10-19 08:45:00,3.803,3.808,3.782,3.792,8052.94
2025-10-19 09:00:00,3.792,3.792,3.759,3.786,14962.69
2025-10-19 09:15:00,3.783,3.797,3.756,3.76,10118.27
2025-10-19 09:30:00,3.76,3.831,3.758,3.809,14874.14
2025-10-19 09:45:00,3.808,3.855,3.798,3.826,18055.31
2025-10-19 10:00:00,3.83,3.839,3.801,3.815,12070.23
2025-10-19 10:15:00,3.818,3.881,3.813,3.869,9426.7
2025-10-19 10:30:00,3.868,3.874,3.85,3.87,5727.95
2025-10-19 10:45:00,3.872,3.876,3.855,3.875,1656.69
2025-10-19 11:00:00,3.877,3.913,3.877,3.908,9339.52
2025-10-19 11:15:00,3.909,3.921,3.885,3.889,4122.14
2025-10-19 11:30:00,3.889,3.894,3.881,3.883,3054.89
2025-10-19 11:45:00,3.881,3.892,3.874,3.885,5096.62
2025-10-19 12:00:00,3.887,3.903,3.862,3.867,4781.66
2025-10-19 12:15:00,3.867,3.889,3.864,3.885,5240.2
2025-10-19 12:30:00,3.884,3.898,3.855,3.857,5189.11
2025-10-19 12:45:00,3.856,3.869,3.843,3.867,3989.39
2025-10-19 13:00:00,3.868,3.886,3.866,3.883,3597.36
2025-10-19 13:15:00,3.887,3.91,3.878,3.905,6256.94
2025-10-19 13:30:00,3.902,3.922,3.895,3.914,7039.88
2025-10-19 13:45:00,3.917,3.941,3.911,3.931,3906.77
2025-10-19 14:00:00,3.933,3.937,3.912,3.929,6806.36
2025-10-19 14:15:00,3.928,3.967,3.921,3.951,10724.42
2025-10-19 14:30:00,3.95,3.963,3.931,3.94,5110.22
2025-10-19 14:45:00,3.942,3.963,3.936,3.96,4340.82
