time,open,high,low,close,volume
2025-10-13 04:00:00,3.251,3.276,3.245,3.269,161149.0
2025-10-13 04:30:00,3.27,3.289,3.245,3.274,163848.0
2025-10-13 05:00:00,3.274,3.297,3.246,3.276,162063.0
2025-10-13 05:30:00,3.275,3.326,3.264,3.291,197631.0
2025-10-13 06:00:00,3.29,3.322,3.278,3.301,186953.0
2025-10-13 06:30:00,3.301,3.333,3.257,3.278,225246.0
2025-10-13 07:00:00,3.276,3.301,3.253,3.282,223303.0
2025-10-13 07:30:00,3.281,3.291,3.233,3.248,267892.0
2025-10-13 08:00:00,3.246,3.265,3.232,3.244,210011.0
2025-10-13 08:30:00,3.245,3.265,3.231,3.233,220327.0
2025-10-13 09:00:00,3.232,3.239,2.463,2.974,3855799.0
2025-10-13 09:30:00,2.975,3.06,2.96,3.039,617109.0
2025-10-13 10:00:00,3.04,3.139,3.018,3.068,606888.0
2025-10-13 10:30:00,3.067,3.089,3.01,3.034,353512.0
2025-10-13 11:00:00,3.035,3.058,2.739,2.931,1227724.0
2025-10-13 11:30:00,2.928,3.024,2.926,2.977,565404.0
2025-10-13 12:00:00,2.976,3.001,2.94,2.953,372504.0
2025-10-13 12:30:00,2.953,2.989,2.847,2.916,563733.0
2025-10-13 13:00:00,2.915,2.946,2.85,2.855,505722.0
2025-10-13 13:30:00,2.856,2.989,2.852,2.932,839470.0
2025-10-13 14:00:00,2.932,2.99,2.867,2.895,545540.0
2025-10-13 14:30:00,2.895,2.988,2.891,2.959,622863.0
2025-10-13 15:00:00,2.958,2.983,2.935,2.951,314601.0
2025-10-13 15:30:00,2.952,2.974,2.9,2.939,338360.0
2025-10-13 16:00:00,2.939,2.981,2.905,2.942,357900.0
2025-10-13 16:30:00,2.941,2.99,2.929,2.946,249056.0
2025-10-13 17:00:00,2.947,2.982,2.929,2.964,243917.0
2025-10-13 17:30:00,2.964,3.085,2.957,3.079,472964.0
2025-10-13 18:00:00,3.079,3.089,3.001,3.053,399064.0
2025-10-13 18:30:00,3.053,3.093,3.037,3.07,253472.0
2025-10-13 19:00:00,3.07,3.144,3.07,3.114,346430.0
2025-10-13 19:30:00,3.115,3.194,3.112,3.183,274168.0
2025-10-13 20:00:00,3.184,3.268,3.177,3.251,281520.0
2025-10-13 20:30:00,3.25,3.282,3.214,3.225,181285.0
2025-10-13 21:00:00,3.227,3.296,3.224,3.271,192097.0
2025-10-13 21:30:00,3.272,3.299,3.247,3.263,109336.0
2025-10-13 22:00:00,3.263,3.281,3.209,3.272,188679.0
2025-10-13 22:30:00,3.271,3.344,3.269,3.316,336946.0
2025-10-13 23:00:00,3.315,3.59,3.315,3.578,920991.0
2025-10-13 23:30:00,3.577,3.731,3.53,3.727,791594.0
2025-10-14 00:00:00,3.727,3.873,3.429,3.611,2001734.0
2025-10-14 00:30:00,3.61,3.642,3.483,3.592,1080840.0
2025-10-14 01:00:00,3.592,3.599,3.518,3.533,452737.0
2025-10-14 01:30:00,3.533,3.634,3.53,3.627,315821.0
2025-10-14 02:00:00,3.627,3.713,3.6,3.704,487064.0
2025-10-14 02:30:00,3.704,3.788,3.683,3.748,542234.0
2025-10-14 03:00:00,3.748,3.857,3.673,3.84,1155043.0
2025-10-14 03:30:00,3.838,4.208,3.734,3.921,1990057.0
2025-10-14 04:00:00,3.921,4.01,3.62,3.728,1915052.0
2025-10-14 04:30:00,3.73,3.73,3.307,3.406,1608905.0
2025-10-14 05:00:00,3.404,3.529,3.35,3.454,1082450.0
2025-10-14 05:30:00,3.454,3.544,3.403,3.466,858219.0
2025-10-14 06:00:00,3.467,3.474,3.253,3.383,901625.0
2025-10-14 06:30:00,3.385,3.42,3.133,3.299,1267871.0
2025-10-14 07:00:00,3.3,3.32,3.222,3.253,630762.0
2025-10-14 07:30:00,3.253,3.325,3.212,3.269,593021.0
2025-10-14 08:00:00,3.268,3.343,3.211,3.329,586909.0
2025-10-14 08:30:00,3.328,3.357,3.251,3.265,444424.0
2025-10-14 09:00:00,3.266,3.408,3.239,3.369,827602.0
2025-10-14 09:30:00,3.368,3.388,3.304,3.363,520846.0
2025-10-14 10:00:00,3.363,3.367,3.267,3.32,729412.0
2025-10-14 10:30:00,3.32,3.498,3.269,3.437,1230806.0
2025-10-14 11:00:00,3.437,3.586,3.378,3.564,827662.0
2025-10-14 11:30:00,3.563,3.593,3.447,3.474,717396.0
2025-10-14 12:00:00,3.474,3.504,3.426,3.451,548094.0
2025-10-14 12:30:00,3.451,3.462,3.323,3.385,783302.0
2025-10-14 13:00:00,3.386,3.408,3.317,3.36,570257.0
2025-10-14 13:30:00,3.361,3.471,3.318,3.377,919227.0
2025-10-14 14:00:00,3.376,3.438,3.328,3.357,706144.0
2025-10-14 14:30:00,3.358,3.365,3.162,3.215,1013483.0
2025-10-14 15:00:00,3.216,3.242,3.169,3.197,525822.0
2025-10-14 15:30:00,3.198,3.34,3.164,3.306,723058.0
