time,open,high,low,close,volume
2025-10-13 04:00:00,5.118,5.14,5.089,5.103,41789.11
2025-10-13 04:30:00,5.103,5.156,5.102,5.14,56172.99
2025-10-13 05:00:00,5.14,5.15,5.115,5.146,40617.26
2025-10-13 05:30:00,5.145,5.172,5.141,5.165,36063.62
2025-10-13 06:00:00,5.166,5.213,5.134,5.213,55629.06
2025-10-13 06:30:00,5.212,5.252,5.189,5.241,51691.4
2025-10-13 07:00:00,5.24,5.318,5.218,5.305,61132.32
2025-10-13 07:30:00,5.306,5.328,5.246,5.274,67625.96
2025-10-13 08:00:00,5.275,5.364,5.271,5.353,128252.41
2025-10-13 08:30:00,5.354,5.409,5.352,5.385,102162.46
2025-10-13 09:00:00,5.384,5.396,5.332,5.353,80672.22
2025-10-13 09:30:00,5.354,5.438,5.349,5.429,72169.75
2025-10-13 10:00:00,5.429,5.448,5.38,5.409,81382.25
2025-10-13 10:30:00,5.409,5.473,5.382,5.445,113876.81
2025-10-13 11:00:00,5.444,5.456,5.242,5.242,261029.26
2025-10-13 11:30:00,5.249,5.378,5.225,5.338,196058.86
2025-10-13 12:00:00,5.337,5.442,5.302,5.402,135588.93
2025-10-13 12:30:00,5.399,5.467,5.304,5.322,91756.82
2025-10-13 13:00:00,5.321,5.371,5.312,5.322,73308.63
2025-10-13 13:30:00,5.323,5.479,5.316,5.417,301291.64
2025-10-13 14:00:00,5.418,5.441,5.3,5.33,102461.72
2025-10-13 14:30:00,5.33,5.382,5.282,5.303,106253.68
2025-10-13 15:00:00,5.303,5.414,5.298,5.373,77649.37
2025-10-13 15:30:00,5.375,5.429,5.367,5.405,59617.26
2025-10-13 16:00:00,5.405,5.454,5.372,5.41,92541.6
2025-10-13 16:30:00,5.411,5.438,5.371,5.426,45516.0
2025-10-13 17:00:00,5.426,5.494,5.418,5.432,60095.01
2025-10-13 17:30:00,5.431,5.514,5.389,5.508,92637.53
2025-10-13 18:00:00,5.507,5.514,5.445,5.499,71591.65
2025-10-13 18:30:00,5.499,5.521,5.449,5.473,44078.49
2025-10-13 19:00:00,5.472,5.522,5.463,5.499,56789.88
2025-10-13 19:30:00,5.497,5.536,5.481,5.509,68410.84
2025-10-13 20:00:00,5.507,5.526,5.497,5.51,35259.39
2025-10-13 20:30:00,5.51,5.576,5.504,5.56,50105.28
2025-10-13 21:00:00,5.561,5.588,5.544,5.559,50547.15
2025-10-13 21:30:00,5.559,5.586,5.547,5.571,42829.48
2025-10-13 22:00:00,5.571,5.635,5.563,5.576,85068.18
2025-10-13 22:30:00,5.576,5.595,5.56,5.564,40173.38
2025-10-13 23:00:00,5.564,5.589,5.542,5.56,51917.86
2025-10-13 23:30:00,5.561,5.579,5.545,5.559,29925.53
2025-10-14 00:00:00,5.56,5.607,5.521,5.523,94049.08
2025-10-14 00:30:00,5.523,5.54,5.494,5.526,69657.84
2025-10-14 01:00:00,5.527,5.545,5.496,5.529,41655.59
2025-10-14 01:30:00,5.529,5.562,5.528,5.554,32441.13
2025-10-14 02:00:00,5.554,5.567,5.494,5.513,62272.07
2025-10-14 02:30:00,5.513,5.551,5.495,5.499,46261.99
2025-10-14 03:00:00,5.499,5.506,5.423,5.43,96362.1
2025-10-14 03:30:00,5.43,5.48,5.428,5.445,49729.37
2025-10-14 04:00:00,5.443,5.464,5.385,5.417,85574.31
2025-10-14 04:30:00,5.417,5.418,5.327,5.359,126651.97
2025-10-14 05:00:00,5.357,5.408,5.342,5.353,128461.8
2025-10-14 05:30:00,5.353,5.361,5.276,5.314,99683.06
2025-10-14 06:00:00,5.315,5.357,5.261,5.265,62479.35
2025-10-14 06:30:00,5.266,5.293,5.096,5.214,449384.19
2025-10-14 07:00:00,5.214,5.266,5.187,5.235,140925.14
2025-10-14 07:30:00,5.234,5.234,5.158,5.181,143059.82
2025-10-14 08:00:00,5.179,5.197,5.142,5.194,73253.58
2025-10-14 08:30:00,5.197,5.246,5.186,5.224,62187.66
2025-10-14 09:00:00,5.225,5.273,5.222,5.247,81260.87
2025-10-14 09:30:00,5.246,5.279,5.231,5.26,100909.97
