time,open,high,low,close,volume
2025-10-02 18:00:00,8.522,8.621,8.522,8.601,198741.9
2025-10-02 19:00:00,8.601,8.748,8.586,8.71,217897.7
2025-10-02 20:00:00,8.711,8.767,8.673,8.745,188917.2
2025-10-02 21:00:00,8.745,8.766,8.675,8.678,148479.4
2025-10-02 22:00:00,8.679,8.705,8.621,8.637,198005.7
2025-10-02 23:00:00,8.637,8.659,8.591,8.633,107269.5
2025-10-03 00:00:00,8.633,8.645,8.466,8.479,164480.3
2025-10-03 01:00:00,8.48,8.516,8.367,8.374,197177.7
2025-10-03 02:00:00,8.375,8.436,8.337,8.381,260558.6
2025-10-03 03:00:00,8.381,8.482,8.353,8.369,276332.1
2025-10-03 04:00:00,8.366,8.475,8.347,8.402,180214.0
2025-10-03 05:00:00,8.404,8.421,8.355,8.403,159473.2
2025-10-03 06:00:00,8.403,8.474,8.312,8.369,188030.5
2025-10-03 07:00:00,8.369,8.401,8.312,8.401,144938.7
2025-10-03 08:00:00,8.4,8.443,8.316,8.439,147008.2
2025-10-03 09:00:00,8.439,8.453,8.358,8.4,160618.4
2025-10-03 10:00:00,8.399,8.399,8.354,8.368,74639.0
2025-10-03 11:00:00,8.368,8.38,8.279,8.324,196475.1
2025-10-03 12:00:00,8.325,8.375,8.31,8.341,94011.4
2025-10-03 13:00:00,8.341,8.448,8.248,8.372,273597.4
2025-10-03 14:00:00,8.371,8.434,8.271,8.386,234452.7
2025-10-03 15:00:00,8.385,8.61,8.361,8.596,224104.9
2025-10-03 16:00:00,8.597,8.812,8.579,8.681,453736.2
2025-10-03 17:00:00,8.681,8.682,8.377,8.585,753001.3
2025-10-03 18:00:00,8.586,8.849,8.539,8.768,312994.2
2025-10-03 19:00:00,8.768,8.824,8.709,8.762,178910.8
2025-10-03 20:00:00,8.763,8.958,8.747,8.908,287904.8
2025-10-03 21:00:00,8.909,8.935,8.846,8.861,123538.4
2025-10-03 22:00:00,8.862,8.952,8.862,8.918,210684.7
2025-10-03 23:00:00,8.919,8.922,8.817,8.844,126151.2
