time,open,high,low,close,volume
2025-10-17 14:30:00,4.5,4.671,3.616,3.875,2433270.2
2025-10-17 15:00:00,3.883,3.928,3.129,3.265,2568742.9
2025-10-17 15:30:00,3.27,3.955,3.226,3.351,2725089.1
2025-10-17 16:00:00,3.357,3.464,2.92,3.095,1624839.5
2025-10-17 16:30:00,3.094,3.211,3.015,3.165,994073.2
2025-10-17 17:00:00,3.162,3.6,3.143,3.438,1516395.8
2025-10-17 17:30:00,3.437,3.77,3.294,3.663,1019377.3
2025-10-17 18:00:00,3.662,4.41,3.636,4.009,2219829.5
2025-10-17 18:30:00,4.011,4.288,3.696,3.742,1362824.7
2025-10-17 19:00:00,3.74,3.986,3.692,3.794,838907.4
2025-10-17 19:30:00,3.795,3.935,3.65,3.687,580490.9
2025-10-17 20:00:00,3.687,3.753,3.488,3.51,635566.8
2025-10-17 20:30:00,3.514,3.573,3.309,3.34,556970.3
2025-10-17 21:00:00,3.34,3.438,3.251,3.358,503950.9
2025-10-17 21:30:00,3.359,3.8,3.32,3.598,625151.7
2025-10-17 22:00:00,3.605,3.79,3.449,3.68,396241.8
2025-10-17 22:30:00,3.682,3.907,3.572,3.741,419184.7
2025-10-17 23:00:00,3.745,3.996,3.713,3.889,667592.5
2025-10-17 23:30:00,3.887,4.0,3.663,3.728,631369.4
2025-10-18 00:00:00,3.726,4.156,3.701,3.962,652145.4
2025-10-18 00:30:00,3.961,4.127,3.701,3.777,555452.2
2025-10-18 01:00:00,3.781,4.059,3.744,3.877,534244.7
2025-10-18 01:30:00,3.882,4.23,3.826,4.04,418004.3
2025-10-18 02:00:00,4.037,4.058,3.877,3.904,283148.8
2025-10-18 02:30:00,3.906,3.935,3.725,3.764,267703.3
2025-10-18 03:00:00,3.769,3.796,3.576,3.692,407286.7
2025-10-18 03:30:00,3.696,4.0,3.689,3.749,396920.5
2025-10-18 04:00:00,3.749,3.868,3.627,3.766,263249.5
2025-10-18 04:30:00,3.762,3.808,3.435,3.545,470197.2
2025-10-18 05:00:00,3.545,3.689,3.453,3.512,245898.5
