time,open,high,low,close,volume
2025-10-02 18:00:00,0.1947,0.205,0.1941,0.198,6089673.0
2025-10-02 19:00:00,0.1982,0.1993,0.1929,0.1942,1786080.0
2025-10-02 20:00:00,0.194,0.1947,0.1914,0.1926,1052472.0
2025-10-02 21:00:00,0.1926,0.1939,0.1898,0.1899,1023519.0
2025-10-02 22:00:00,0.1898,0.1917,0.1884,0.1892,786951.0
2025-10-02 23:00:00,0.1893,0.1922,0.1886,0.1916,797346.0
2025-10-03 00:00:00,0.1915,0.1954,0.1904,0.1905,1355042.0
2025-10-03 01:00:00,0.1905,0.1909,0.187,0.1876,855440.0
2025-10-03 02:00:00,0.1876,0.1881,0.1865,0.1877,485287.0
2025-10-03 03:00:00,0.1876,0.1897,0.1871,0.1882,699225.0
2025-10-03 04:00:00,0.1883,0.1963,0.1879,0.1936,1754111.0
2025-10-03 05:00:00,0.1935,0.1948,0.1919,0.1923,830948.0
2025-10-03 06:00:00,0.1922,0.1936,0.1891,0.19,796090.0
2025-10-03 07:00:00,0.1901,0.1911,0.1891,0.1903,451043.0
2025-10-03 08:00:00,0.1902,0.1907,0.1878,0.1879,628121.0
2025-10-03 09:00:00,0.188,0.1892,0.1869,0.189,656810.0
2025-10-03 10:00:00,0.1889,0.1889,0.1875,0.1885,340565.0
2025-10-03 11:00:00,0.1885,0.1885,0.1858,0.1868,440995.0
2025-10-03 12:00:00,0.1867,0.1877,0.1862,0.1875,803039.0
2025-10-03 13:00:00,0.1875,0.1884,0.1853,0.1873,594413.0
2025-10-03 14:00:00,0.1873,0.1902,0.1862,0.1898,787876.0
2025-10-03 15:00:00,0.1896,0.1919,0.1882,0.1917,570593.0
2025-10-03 16:00:00,0.1917,0.1922,0.1893,0.1894,729888.0
2025-10-03 17:00:00,0.1893,0.1895,0.1863,0.1874,611966.0
2025-10-03 18:00:00,0.1874,0.1894,0.1865,0.1893,426989.0
2025-10-03 19:00:00,0.1892,0.191,0.1888,0.1902,429286.0
2025-10-03 20:00:00,0.1901,0.1904,0.1887,0.19,300477.0
2025-10-03 21:00:00,0.19,0.192,0.1899,0.1916,477595.0
2025-10-03 22:00:00,0.1916,0.1934,0.1909,0.1927,264135.0
2025-10-03 23:00:00,0.1926,0.1928,0.1912,0.1917,262419.0
2025-10-04 00:00:00,0.1919,0.1921,0.1885,0.1894,489744.0
2025-10-04 01:00:00,0.1893,0.1905,0.1865,0.1903,784681.0
2025-10-04 02:00:00,0.1903,0.1904,0.1873,0.1877,353547.0
2025-10-04 03:00:00,0.1877,0.188,0.1862,0.1866,233994.0
2025-10-04 04:00:00,0.1867,0.1881,0.1859,0.1876,249706.0
2025-10-04 05:00:00,0.1874,0.1882,0.1869,0.1879,227900.0
2025-10-04 06:00:00,0.1879,0.1885,0.1868,0.1882,148049.0
2025-10-04 07:00:00,0.1881,0.1882,0.1867,0.1868,99191.0
2025-10-04 08:00:00,0.187,0.1874,0.1852,0.187,310182.0
2025-10-04 09:00:00,0.1867,0.1871,0.1843,0.1849,614113.0
2025-10-04 10:00:00,0.1849,0.1859,0.1829,0.1836,251801.0
2025-10-04 11:00:00,0.1833,0.1843,0.1821,0.184,778603.0
2025-10-04 12:00:00,0.1841,0.1846,0.1831,0.1836,234452.0
2025-10-04 13:00:00,0.1835,0.1857,0.1833,0.1847,376041.0
2025-10-04 14:00:00,0.1845,0.1856,0.1811,0.1819,522487.0
2025-10-04 15:00:00,0.1819,0.1833,0.18,0.18,600335.0
2025-10-04 16:00:00,0.1802,0.1819,0.18,0.1813,389492.0
2025-10-04 17:00:00,0.1814,0.1831,0.1813,0.1824,397285.0
2025-10-04 18:00:00,0.1824,0.1871,0.182,0.1858,747402.0
2025-10-04 19:00:00,0.1857,0.1902,0.1849,0.1884,1072569.0
2025-10-04 20:00:00,0.1884,0.1941,0.1882,0.1918,1123908.0
2025-10-04 21:00:00,0.1919,0.1919,0.1867,0.1869,1023690.0
2025-10-04 22:00:00,0.1869,0.1884,0.1867,0.1877,292144.0
2025-10-04 23:00:00,0.1876,0.1877,0.1867,0.1876,212309.0
2025-10-05 00:00:00,0.1875,0.1923,0.1869,0.1918,1271631.0
2025-10-05 01:00:00,0.1918,0.1937,0.1899,0.1917,1268095.0
2025-10-05 02:00:00,0.1916,0.197,0.1911,0.1967,924786.0
2025-10-05 03:00:00,0.1967,0.1968,0.1945,0.1948,541534.0
2025-10-05 04:00:00,0.1949,0.212,0.1936,0.2107,5981516.0
2025-10-05 05:00:00,0.2107,0.2231,0.2077,0.2215,8706439.0
2025-10-05 06:00:00,0.2214,0.2408,0.2212,0.2368,29391020.0
2025-10-05 07:00:00,0.237,0.2438,0.2177,0.2215,26757650.0
2025-10-05 08:00:00,0.2215,0.223,0.2145,0.2145,7015116.0
2025-10-05 09:00:00,0.2146,0.2186,0.2103,0.2174,7014844.0
2025-10-05 10:00:00,0.2174,0.218,0.214,0.215,3442801.0
2025-10-05 11:00:00,0.215,0.2177,0.212,0.2155,3846700.0
2025-10-05 12:00:00,0.2155,0.2172,0.2113,0.2134,2112172.0
2025-10-05 13:00:00,0.2135,0.2159,0.2111,0.213,1972156.0
2025-10-05 14:00:00,0.213,0.2151,0.2119,0.2127,1372358.0
2025-10-05 15:00:00,0.2128,0.2164,0.2123,0.2163,1795313.0
2025-10-05 16:00:00,0.2162,0.2184,0.2105,0.2129,3208270.0
2025-10-05 17:00:00,0.213,0.2137,0.2107,0.2119,1607040.0
2025-10-05 18:00:00,0.2118,0.2163,0.2117,0.2148,1640475.0
2025-10-05 19:00:00,0.2146,0.2149,0.2057,0.2063,3477869.0
2025-10-05 20:00:00,0.2064,0.2084,0.2045,0.2068,1485852.0
2025-10-05 21:00:00,0.2068,0.208,0.2062,0.207,515306.0
2025-10-05 22:00:00,0.2069,0.2082,0.2042,0.2057,1012106.0
2025-10-05 23:00:00,0.2058,0.2066,0.2039,0.2063,1037868.0
2025-10-06 00:00:00,0.2063,0.2077,0.2033,0.2047,1269518.0
2025-10-06 01:00:00,0.2048,0.2091,0.2043,0.2072,973959.0
2025-10-06 02:00:00,0.2072,0.2092,0.2054,0.2077,765030.0
2025-10-06 03:00:00,0.2077,0.2082,0.2064,0.2077,544167.0
2025-10-06 04:00:00,0.2079,0.208,0.204,0.2046,565345.0
2025-10-06 05:00:00,0.2044,0.207,0.2042,0.2064,317960.0
2025-10-06 06:00:00,0.2064,0.2098,0.2058,0.2081,721569.0
2025-10-06 07:00:00,0.208,0.209,0.2056,0.2072,694741.0
2025-10-06 08:00:00,0.2074,0.2079,0.2048,0.2065,687075.0
2025-10-06 09:00:00,0.2068,0.2074,0.2055,0.2059,628826.0
2025-10-06 10:00:00,0.2061,0.2074,0.2056,0.2074,502103.0
2025-10-06 11:00:00,0.2072,0.2089,0.2062,0.2076,736556.0
2025-10-06 12:00:00,0.2077,0.2094,0.207,0.2082,558189.0
2025-10-06 13:00:00,0.2084,0.2091,0.2071,0.2091,475143.0
2025-10-06 14:00:00,0.2092,0.2104,0.2086,0.2093,756329.0
2025-10-06 15:00:00,0.2092,0.2126,0.2091,0.2126,730822.0
2025-10-06 16:00:00,0.2124,0.2126,0.2088,0.2109,991656.0
2025-10-06 17:00:00,0.2108,0.2117,0.2098,0.2104,368160.0
2025-10-06 18:00:00,0.2105,0.2121,0.2102,0.212,278573.0
2025-10-06 19:00:00,0.2118,0.215,0.2118,0.2145,617024.0
2025-10-06 20:00:00,0.2145,0.2145,0.212,0.2137,409961.0
2025-10-06 21:00:00,0.2137,0.2144,0.2113,0.2138,292676.0
2025-10-06 22:00:00,0.2137,0.2152,0.2137,0.2142,252443.0
2025-10-06 23:00:00,0.2142,0.2152,0.212,0.2129,464132.0
2025-10-07 00:00:00,0.213,0.2159,0.2124,0.213,762993.0
2025-10-07 01:00:00,0.213,0.2143,0.2114,0.2136,384032.0
2025-10-07 02:00:00,0.2135,0.2162,0.2135,0.2148,463651.0
2025-10-07 03:00:00,0.2147,0.2174,0.2146,0.2158,523080.0
2025-10-07 04:00:00,0.2159,0.218,0.214,0.2174,542142.0
