time,open,high,low,close,volume
2025-10-02 18:00:00,0.2969,0.3028,0.2969,0.3012,430619.0
2025-10-02 19:00:00,0.3012,0.3037,0.3007,0.3022,412226.0
2025-10-02 20:00:00,0.3023,0.3042,0.2991,0.3001,327961.0
2025-10-02 21:00:00,0.3001,0.3015,0.2992,0.3001,133894.0
2025-10-02 22:00:00,0.3004,0.3033,0.3003,0.3005,582376.0
2025-10-02 23:00:00,0.3005,0.3039,0.3005,0.3036,284298.0
2025-10-03 00:00:00,0.3036,0.3036,0.2984,0.2999,309944.0
2025-10-03 01:00:00,0.2999,0.3008,0.2972,0.2977,162555.0
2025-10-03 02:00:00,0.2976,0.2989,0.2961,0.2979,210102.0
2025-10-03 03:00:00,0.2979,0.3014,0.2965,0.2973,371907.0
2025-10-03 04:00:00,0.2972,0.3001,0.2965,0.2994,176672.0
2025-10-03 05:00:00,0.2995,0.3002,0.2972,0.298,264681.0
2025-10-03 06:00:00,0.2979,0.299,0.293,0.2955,573501.0
2025-10-03 07:00:00,0.2956,0.2956,0.2938,0.2952,169153.0
2025-10-03 08:00:00,0.2953,0.2955,0.2916,0.2948,231847.0
2025-10-03 09:00:00,0.2947,0.295,0.293,0.2945,146958.0
2025-10-03 10:00:00,0.2944,0.2944,0.2927,0.2934,136563.0
2025-10-03 11:00:00,0.2934,0.2936,0.2911,0.2925,220465.0
2025-10-03 12:00:00,0.2927,0.2957,0.292,0.2941,266895.0
2025-10-03 13:00:00,0.294,0.2967,0.2914,0.2953,342400.0
2025-10-03 14:00:00,0.2953,0.2967,0.2915,0.2956,369441.0
2025-10-03 15:00:00,0.2955,0.3005,0.2939,0.3,401099.0
2025-10-03 16:00:00,0.3001,0.3037,0.2986,0.2987,495838.0
2025-10-03 17:00:00,0.2988,0.299,0.2931,0.2944,683171.0
2025-10-03 18:00:00,0.2945,0.2986,0.2931,0.2984,293150.0
2025-10-03 19:00:00,0.2985,0.3005,0.2969,0.2987,245885.0
2025-10-03 20:00:00,0.2988,0.3008,0.2974,0.3003,147911.0
2025-10-03 21:00:00,0.3002,0.3012,0.2983,0.299,125381.0
2025-10-03 22:00:00,0.2991,0.3002,0.2968,0.2971,147733.0
2025-10-03 23:00:00,0.2971,0.2976,0.2947,0.2947,220349.0
2025-10-04 00:00:00,0.2947,0.2971,0.2932,0.294,245969.0
2025-10-04 01:00:00,0.2942,0.2942,0.2898,0.2909,218407.0
2025-10-04 02:00:00,0.2909,0.2919,0.2889,0.2899,159303.0
2025-10-04 03:00:00,0.2896,0.2899,0.2875,0.2889,137982.0
2025-10-04 04:00:00,0.289,0.2909,0.2884,0.2899,140064.0
2025-10-04 05:00:00,0.29,0.2916,0.2893,0.2906,107687.0
2025-10-04 06:00:00,0.2907,0.2919,0.2902,0.2916,135424.0
2025-10-04 07:00:00,0.2916,0.2921,0.2904,0.2909,134875.0
2025-10-04 08:00:00,0.2912,0.2914,0.2827,0.2831,1063030.0
2025-10-04 09:00:00,0.2831,0.285,0.2806,0.2811,441698.0
2025-10-04 10:00:00,0.2811,0.2833,0.2789,0.2794,469268.0
2025-10-04 11:00:00,0.2796,0.2818,0.2794,0.2808,205616.0
2025-10-04 12:00:00,0.2808,0.2821,0.2801,0.2811,269040.0
2025-10-04 13:00:00,0.2809,0.2845,0.2808,0.2818,238485.0
2025-10-04 14:00:00,0.2818,0.284,0.2794,0.2794,283162.0
2025-10-04 15:00:00,0.2795,0.2809,0.2766,0.2775,370741.0
2025-10-04 16:00:00,0.2776,0.2802,0.2766,0.2797,341367.0
2025-10-04 17:00:00,0.2798,0.2807,0.2782,0.2797,155026.0
2025-10-04 18:00:00,0.2799,0.2807,0.2788,0.2793,146827.0
2025-10-04 19:00:00,0.2794,0.2819,0.2792,0.2815,141102.0
2025-10-04 20:00:00,0.2815,0.2823,0.281,0.2814,152594.0
2025-10-04 21:00:00,0.2813,0.2827,0.2809,0.2814,78538.0
2025-10-04 22:00:00,0.2814,0.283,0.2809,0.2811,262103.0
2025-10-04 23:00:00,0.281,0.2818,0.28,0.2805,179278.0
2025-10-05 00:00:00,0.2806,0.2826,0.2783,0.2783,290760.0
2025-10-05 01:00:00,0.2783,0.28,0.2778,0.2795,171816.0
2025-10-05 02:00:00,0.2795,0.2856,0.2784,0.2853,547029.0
2025-10-05 03:00:00,0.2854,0.2868,0.2826,0.2827,409343.0
2025-10-05 04:00:00,0.2827,0.2877,0.2825,0.2865,421276.0
