time,open,high,low,close,volume
2025-10-02 18:00:00,7.724,7.775,7.724,7.774,648083.07
2025-10-02 19:00:00,7.774,7.794,7.753,7.766,728666.11
2025-10-02 20:00:00,7.767,7.789,7.747,7.784,611415.19
2025-10-02 21:00:00,7.784,7.818,7.773,7.805,512167.79
2025-10-02 22:00:00,7.805,7.838,7.786,7.818,547775.31
2025-10-02 23:00:00,7.817,7.845,7.813,7.832,341285.7
2025-10-03 00:00:00,7.832,7.833,7.753,7.771,507056.03
2025-10-03 01:00:00,7.771,7.793,7.711,7.721,569352.66
2025-10-03 02:00:00,7.72,7.754,7.711,7.75,470147.12
2025-10-03 03:00:00,7.75,7.792,7.721,7.725,650680.02
2025-10-03 04:00:00,7.725,7.776,7.72,7.765,361984.12
2025-10-03 05:00:00,7.765,7.766,7.717,7.736,378977.13
2025-10-03 06:00:00,7.736,7.774,7.696,7.73,441075.04
2025-10-03 07:00:00,7.73,7.776,7.7,7.773,799413.15
2025-10-03 08:00:00,7.772,7.794,7.71,7.79,795221.79
2025-10-03 09:00:00,7.79,7.79,7.749,7.763,445667.23
2025-10-03 10:00:00,7.762,7.769,7.735,7.744,561146.81
2025-10-03 11:00:00,7.743,7.767,7.71,7.737,386668.89
2025-10-03 12:00:00,7.738,7.769,7.729,7.736,401733.53
2025-10-03 13:00:00,7.737,7.777,7.697,7.748,818342.6
2025-10-03 14:00:00,7.747,7.766,7.674,7.746,890508.65
2025-10-03 15:00:00,7.745,7.814,7.712,7.809,811691.03
2025-10-03 16:00:00,7.809,7.899,7.809,7.827,1800341.31
2025-10-03 17:00:00,7.827,7.834,7.712,7.755,2245135.9
2025-10-03 18:00:00,7.755,7.821,7.72,7.821,707878.56
2025-10-03 19:00:00,7.82,7.853,7.804,7.823,456424.83
2025-10-03 20:00:00,7.823,7.854,7.801,7.853,339460.49
2025-10-03 21:00:00,7.854,7.871,7.84,7.86,271967.34
2025-10-03 22:00:00,7.859,7.911,7.859,7.887,517290.79
2025-10-03 23:00:00,7.887,7.898,7.847,7.858,377016.39
2025-10-04 00:00:00,7.859,7.892,7.835,7.856,379091.31
2025-10-04 01:00:00,7.857,7.858,7.757,7.776,586303.33
2025-10-04 02:00:00,7.777,7.808,7.748,7.804,536677.13
2025-10-04 03:00:00,7.804,7.81,7.751,7.79,402707.0
2025-10-04 04:00:00,7.789,7.803,7.751,7.783,310547.63
2025-10-04 05:00:00,7.783,7.845,7.779,7.844,435816.79
2025-10-04 06:00:00,7.845,7.894,7.831,7.851,654745.49
2025-10-04 07:00:00,7.852,7.854,7.828,7.843,555690.55
2025-10-04 08:00:00,7.843,7.847,7.765,7.782,604797.33
2025-10-04 09:00:00,7.782,7.804,7.752,7.755,296637.96
2025-10-04 10:00:00,7.755,7.776,7.708,7.719,604444.33
2025-10-04 11:00:00,7.719,7.741,7.696,7.732,334831.13
2025-10-04 12:00:00,7.732,7.754,7.705,7.706,335721.36
2025-10-04 13:00:00,7.706,7.761,7.7,7.731,399717.45
2025-10-04 14:00:00,7.732,7.757,7.67,7.671,636545.31
2025-10-04 15:00:00,7.671,7.692,7.622,7.64,1313740.27
2025-10-04 16:00:00,7.64,7.692,7.63,7.683,447971.5
2025-10-04 17:00:00,7.683,7.694,7.659,7.681,361812.26
2025-10-04 18:00:00,7.682,7.693,7.667,7.673,385324.23
2025-10-04 19:00:00,7.673,7.689,7.653,7.684,248201.39
2025-10-04 20:00:00,7.685,7.718,7.682,7.692,385122.65
2025-10-04 21:00:00,7.692,7.733,7.686,7.721,252926.57
2025-10-04 22:00:00,7.722,7.773,7.713,7.758,374902.52
2025-10-04 23:00:00,7.759,7.765,7.733,7.752,227454.78
2025-10-05 00:00:00,7.752,7.763,7.689,7.694,340773.06
2025-10-05 01:00:00,7.695,7.732,7.692,7.723,180533.14
2025-10-05 02:00:00,7.723,7.832,7.712,7.83,999476.4
2025-10-05 03:00:00,7.831,7.85,7.796,7.801,740575.2
2025-10-05 04:00:00,7.8,7.873,7.791,7.856,872326.16
2025-10-05 05:00:00,7.855,7.889,7.838,7.883,583642.98
2025-10-05 06:00:00,7.884,7.885,7.845,7.861,347592.67
2025-10-05 07:00:00,7.861,7.957,7.86,7.945,784896.06
2025-10-05 08:00:00,7.946,7.978,7.911,7.917,1115177.06
2025-10-05 09:00:00,7.917,7.935,7.846,7.877,1151001.48
2025-10-05 10:00:00,7.877,7.895,7.832,7.862,671478.01
2025-10-05 11:00:00,7.862,7.868,7.817,7.859,524946.22
2025-10-05 12:00:00,7.859,7.87,7.806,7.807,472175.4
2025-10-05 13:00:00,7.807,7.852,7.805,7.848,281612.57
2025-10-05 14:00:00,7.848,7.868,7.784,7.809,594698.52
2025-10-05 15:00:00,7.809,7.851,7.799,7.844,331883.34
2025-10-05 16:00:00,7.845,7.863,7.795,7.858,587421.14
2025-10-05 17:00:00,7.859,7.87,7.789,7.8,398117.65
2025-10-05 18:00:00,7.8,7.82,7.763,7.796,631089.35
2025-10-05 19:00:00,7.796,7.797,7.728,7.733,595399.81
2025-10-05 20:00:00,7.732,7.77,7.707,7.759,447701.76
2025-10-05 21:00:00,7.759,7.774,7.749,7.768,343515.14
2025-10-05 22:00:00,7.769,7.795,7.746,7.78,357089.95
2025-10-05 23:00:00,7.78,7.801,7.774,7.779,237112.46
2025-10-06 00:00:00,7.78,7.822,7.724,7.747,857343.03
2025-10-06 01:00:00,7.747,7.814,7.718,7.767,617353.74
2025-10-06 02:00:00,7.766,7.792,7.721,7.763,494164.61
