time,open,high,low,close,volume
2025-10-13 04:00:00,1.2578,1.2686,1.232,1.2396,590015.0
2025-10-13 04:30:00,1.2396,1.264,1.2381,1.256,391038.0
2025-10-13 05:00:00,1.2553,1.2938,1.2023,1.2805,1079581.0
2025-10-13 05:30:00,1.2798,1.2798,1.2313,1.2568,772633.0
2025-10-13 06:00:00,1.2564,1.2736,1.2079,1.2344,919623.0
2025-10-13 06:30:00,1.2342,1.2372,1.145,1.186,2337465.0
2025-10-13 07:00:00,1.1859,1.1946,1.1318,1.1522,1396736.0
2025-10-13 07:30:00,1.1523,1.1778,1.1388,1.1536,994744.0
2025-10-13 08:00:00,1.1536,1.1778,1.1266,1.1406,1382926.0
2025-10-13 08:30:00,1.1413,1.2399,1.1325,1.2058,2099460.0
2025-10-13 09:00:00,1.2059,1.211,1.1505,1.1657,1491031.0
2025-10-13 09:30:00,1.1661,1.168,1.0983,1.1183,1919559.0
2025-10-13 10:00:00,1.119,1.1999,1.0682,1.1557,4061030.0
2025-10-13 10:30:00,1.1565,1.1915,1.1441,1.1709,1355100.0
2025-10-13 11:00:00,1.1711,1.24,1.1603,1.1671,2010946.0
2025-10-13 11:30:00,1.1656,1.244,1.1611,1.2188,1761288.0
2025-10-13 12:00:00,1.2178,1.3787,1.2174,1.3332,4662360.0
2025-10-13 12:30:00,1.3332,1.4177,1.3046,1.3344,3713255.0
2025-10-13 13:00:00,1.3348,1.3783,1.3069,1.3157,2077351.0
2025-10-13 13:30:00,1.3156,1.3908,1.2753,1.3827,2662966.0
2025-10-13 14:00:00,1.3822,1.4,1.3206,1.3517,1806598.0
2025-10-13 14:30:00,1.3516,1.3579,1.25,1.2527,2004906.0
2025-10-13 15:00:00,1.2528,1.3427,1.2402,1.3315,1474657.0
2025-10-13 15:30:00,1.3304,1.3683,1.3195,1.3628,758897.0
2025-10-13 16:00:00,1.3639,1.3683,1.3326,1.3466,658866.0
2025-10-13 16:30:00,1.3456,1.3483,1.2852,1.2945,710354.0
2025-10-13 17:00:00,1.2935,1.35,1.2927,1.3195,753346.0
2025-10-13 17:30:00,1.3195,1.3639,1.3106,1.3597,519499.0
2025-10-13 18:00:00,1.3598,1.3817,1.3324,1.3645,631401.0
2025-10-13 18:30:00,1.3644,1.3772,1.3462,1.377,338096.0
2025-10-13 19:00:00,1.3764,1.4171,1.3589,1.3995,795395.0
2025-10-13 19:30:00,1.3999,1.4066,1.3604,1.3699,534044.0
2025-10-13 20:00:00,1.3699,1.3773,1.3353,1.3534,708060.0
2025-10-13 20:30:00,1.3524,1.4047,1.3506,1.3822,586725.0
2025-10-13 21:00:00,1.3815,1.405,1.3711,1.3859,336992.0
2025-10-13 21:30:00,1.3863,1.397,1.374,1.3809,208618.0
2025-10-13 22:00:00,1.3809,1.388,1.3092,1.3236,643074.0
2025-10-13 22:30:00,1.3239,1.3371,1.3183,1.3237,254564.0
2025-10-13 23:00:00,1.3236,1.3448,1.3112,1.337,234780.0
2025-10-13 23:30:00,1.3368,1.3524,1.3166,1.3523,206607.0
2025-10-14 00:00:00,1.3515,1.3524,1.3128,1.3278,448925.0
2025-10-14 00:30:00,1.3275,1.3275,1.2666,1.3035,520959.0
2025-10-14 01:00:00,1.3035,1.3462,1.286,1.3459,555916.0
2025-10-14 01:30:00,1.3461,1.3478,1.3069,1.3312,472947.0
2025-10-14 02:00:00,1.3304,1.3452,1.311,1.3211,364682.0
2025-10-14 02:30:00,1.3209,1.3216,1.3,1.3008,405457.0
2025-10-14 03:00:00,1.3008,1.3174,1.2634,1.2677,744718.0
2025-10-14 03:30:00,1.2685,1.2779,1.25,1.2542,499405.0
2025-10-14 04:00:00,1.2538,1.287,1.2502,1.2533,506259.0
2025-10-14 04:30:00,1.2535,1.2655,1.222,1.2437,795442.0
2025-10-14 05:00:00,1.2437,1.2876,1.2157,1.226,869922.0
2025-10-14 05:30:00,1.226,1.2334,1.1825,1.1882,794679.0
2025-10-14 06:00:00,1.189,1.1988,1.1439,1.1491,1187094.0
2025-10-14 06:30:00,1.1497,1.1722,1.1203,1.1614,1040807.0
2025-10-14 07:00:00,1.162,1.1918,1.1468,1.1846,858456.0
