time,open,high,low,close,volume
2024-12-06 15:00:00,1.109,1.2655,1.071,1.25,28220465.7
2024-12-06 16:00:00,1.2489,1.3175,1.2004,1.2392,30323849.3
2024-12-06 17:00:00,1.239,1.275,1.0838,1.1392,26346326.6
2024-12-06 18:00:00,1.1388,1.1449,1.0941,1.126,12542961.8
2024-12-06 19:00:00,1.1261,1.1386,1.08,1.1107,10898063.2
2024-12-06 20:00:00,1.1106,1.1428,1.09,1.0962,9731561.8
2024-12-06 21:00:00,1.0962,1.1115,1.048,1.0727,11132709.4
2024-12-06 22:00:00,1.0731,1.1255,1.0563,1.125,7092250.8
2024-12-06 23:00:00,1.1243,1.1254,1.0383,1.0849,10898822.5
2024-12-07 00:00:00,1.0849,1.1148,1.0694,1.1078,6682772.7
2024-12-07 01:00:00,1.1073,1.1369,1.056,1.1084,11892780.1
2024-12-07 02:00:00,1.1077,1.1077,1.04,1.0505,10163008.1
2024-12-07 03:00:00,1.0507,1.0598,0.9568,1.0236,17587320.8
2024-12-07 04:00:00,1.0238,1.0888,1.008,1.0571,9511103.3
2024-12-07 05:00:00,1.0565,1.0719,1.0043,1.0257,7750964.7
2024-12-07 06:00:00,1.0254,1.0502,1.0121,1.0208,5973256.7
2024-12-07 07:00:00,1.0203,1.029,0.965,0.9805,15885928.8
2024-12-07 08:00:00,0.981,1.0082,0.97,0.9838,10386342.6
2024-12-07 09:00:00,0.9837,0.9848,0.9404,0.942,17153547.2
2024-12-07 10:00:00,0.942,0.975,0.9034,0.9481,22715937.0
2024-12-07 11:00:00,0.9483,1.025,0.9253,1.0084,20443289.1
2024-12-07 12:00:00,1.0086,1.06,0.9738,1.0158,23965614.6
2024-12-07 13:00:00,1.016,1.0306,0.9901,1.0266,12892373.2
2024-12-07 14:00:00,1.0266,1.0266,0.9774,1.0024,9744071.4
2024-12-07 15:00:00,1.0029,1.0055,0.9532,0.9786,13796440.1
2024-12-07 16:00:00,0.9789,0.9905,0.9548,0.9792,9081114.2
2024-12-07 17:00:00,0.9792,0.9988,0.9696,0.9776,6042229.8
2024-12-07 18:00:00,0.9777,0.9867,0.9656,0.9728,4092929.0
2024-12-07 19:00:00,0.9728,0.9857,0.9701,0.9712,2709336.3
2024-12-07 20:00:00,0.9712,0.996,0.9551,0.9819,4949887.9
2024-12-07 21:00:00,0.9818,0.9985,0.9674,0.9754,4372808.4
2024-12-07 22:00:00,0.9756,0.9775,0.9601,0.9758,3789265.8
2024-12-07 23:00:00,0.9761,0.9937,0.9757,0.9881,2896484.5
2024-12-08 00:00:00,0.9876,1.0014,0.9728,0.9999,4248414.5
2024-12-08 01:00:00,0.9999,1.025,0.9755,1.0008,9028590.3
