time,open,high,low,close,volume
2024-10-23 04:00:00,4.83,4.834,4.799,4.817,263569.63
2024-10-23 05:00:00,4.817,4.82,4.78,4.795,223576.05
2024-10-23 06:00:00,4.795,4.842,4.792,4.814,367065.64
2024-10-23 07:00:00,4.814,4.833,4.783,4.796,457813.37
2024-10-23 08:00:00,4.796,4.822,4.768,4.778,551687.59
2024-10-23 09:00:00,4.778,4.849,4.771,4.838,555908.78
2024-10-23 10:00:00,4.838,4.855,4.776,4.786,532852.74
2024-10-23 11:00:00,4.787,4.82,4.725,4.732,759813.18
2024-10-23 12:00:00,4.732,4.739,4.642,4.65,2001563.97
2024-10-23 13:00:00,4.649,4.695,4.638,4.669,619317.53
2024-10-23 14:00:00,4.669,4.669,4.613,4.619,538567.81
2024-10-23 15:00:00,4.618,4.644,4.586,4.639,775444.75
2024-10-23 16:00:00,4.639,4.654,4.599,4.604,533872.01
2024-10-23 17:00:00,4.603,4.648,4.598,4.614,342418.59
2024-10-23 18:00:00,4.614,4.623,4.554,4.615,1049422.66
2024-10-23 19:00:00,4.615,4.646,4.604,4.644,340914.01
2024-10-23 20:00:00,4.645,4.695,4.632,4.692,365001.95
2024-10-23 21:00:00,4.692,4.692,4.631,4.633,230667.6
2024-10-23 22:00:00,4.634,4.654,4.612,4.614,269085.36
2024-10-23 23:00:00,4.614,4.64,4.61,4.617,346283.81
2024-10-24 00:00:00,4.617,4.682,4.599,4.681,405770.39
2024-10-24 01:00:00,4.681,4.686,4.65,4.666,359672.35
2024-10-24 02:00:00,4.666,4.707,4.656,4.701,282638.44
2024-10-24 03:00:00,4.702,4.715,4.681,4.681,287549.19
2024-10-24 04:00:00,4.681,4.702,4.677,4.694,209642.0
2024-10-24 05:00:00,4.694,4.716,4.69,4.702,175561.35
2024-10-24 06:00:00,4.702,4.706,4.658,4.661,316922.75
2024-10-24 07:00:00,4.66,4.675,4.622,4.626,364047.21
2024-10-24 08:00:00,4.625,4.647,4.569,4.57,586332.93
2024-10-24 09:00:00,4.57,4.611,4.563,4.602,649069.46
2024-10-24 10:00:00,4.602,4.637,4.601,4.622,243303.02
2024-10-24 11:00:00,4.622,4.64,4.612,4.629,263517.96
2024-10-24 12:00:00,4.63,4.672,4.623,4.669,304323.57
2024-10-24 13:00:00,4.669,4.69,4.646,4.68,405129.1
2024-10-24 14:00:00,4.68,4.682,4.635,4.665,468372.82
2024-10-24 15:00:00,4.666,4.703,4.655,4.694,281636.39
2024-10-24 16:00:00,4.694,4.757,4.694,4.734,676822.83
2024-10-24 17:00:00,4.734,4.77,4.721,4.744,888227.22
2024-10-24 18:00:00,4.743,4.758,4.734,4.742,253299.45
2024-10-24 19:00:00,4.741,4.746,4.727,4.736,207739.12
2024-10-24 20:00:00,4.737,4.754,4.724,4.743,189574.43
2024-10-24 21:00:00,4.744,4.774,4.736,4.763,276886.17
2024-10-24 22:00:00,4.763,4.78,4.762,4.775,210295.53
2024-10-24 23:00:00,4.774,4.852,4.773,4.846,507676.15
2024-10-25 00:00:00,4.846,4.856,4.793,4.803,485295.14
2024-10-25 01:00:00,4.803,4.807,4.766,4.79,453798.44
2024-10-25 02:00:00,4.79,4.806,4.769,4.77,342759.29
2024-10-25 03:00:00,4.77,4.827,4.761,4.766,410647.65
2024-10-25 04:00:00,4.766,4.771,4.706,4.714,652181.25
2024-10-25 05:00:00,4.714,4.723,4.683,4.687,345173.01
2024-10-25 06:00:00,4.687,4.708,4.682,4.707,322456.15
2024-10-25 07:00:00,4.706,4.748,4.699,4.74,487751.42
2024-10-25 08:00:00,4.741,4.754,4.676,4.742,550350.07
2024-10-25 09:00:00,4.742,4.779,4.735,4.769,369792.28
2024-10-25 10:00:00,4.768,4.769,4.734,4.747,318657.43
2024-10-25 11:00:00,4.747,4.754,4.727,4.754,276196.99
2024-10-25 12:00:00,4.754,4.777,4.717,4.719,353163.41
2024-10-25 13:00:00,4.719,4.744,4.688,4.737,475656.92
2024-10-25 14:00:00,4.737,4.745,4.715,4.738,410484.02
2024-10-25 15:00:00,4.739,4.765,4.698,4.732,578141.39
2024-10-25 16:00:00,4.731,4.771,4.695,4.716,610238.46
2024-10-25 17:00:00,4.717,4.755,4.66,4.666,778646.5
2024-10-25 18:00:00,4.666,4.731,4.605,4.695,1262950.62
2024-10-25 19:00:00,4.694,4.704,4.649,4.676,575046.42
2024-10-25 20:00:00,4.675,4.699,4.654,4.674,446123.69
2024-10-25 21:00:00,4.675,4.707,4.661,4.704,287583.27
2024-10-25 22:00:00,4.704,4.715,4.628,4.631,302410.28
2024-10-25 23:00:00,4.631,4.641,4.25,4.409,4754247.6
2024-10-26 00:00:00,4.41,4.441,4.336,4.424,1197558.24
2024-10-26 01:00:00,4.424,4.47,4.42,4.451,600950.68
2024-10-26 02:00:00,4.451,4.484,4.417,4.465,436007.36
2024-10-26 03:00:00,4.465,4.475,4.453,4.463,214658.93
2024-10-26 04:00:00,4.461,4.462,4.44,4.449,210986.12
2024-10-26 05:00:00,4.449,4.481,4.438,4.473,485740.85
2024-10-26 06:00:00,4.472,4.503,4.463,4.496,324195.76
2024-10-26 07:00:00,4.497,4.508,4.463,4.465,326786.06
2024-10-26 08:00:00,4.465,4.467,4.431,4.444,408683.14
2024-10-26 09:00:00,4.444,4.456,4.434,4.442,245486.53
2024-10-26 10:00:00,4.441,4.442,4.408,4.41,307765.9
2024-10-26 11:00:00,4.411,4.442,4.406,4.415,304514.17
2024-10-26 12:00:00,4.415,4.426,4.4,4.418,364660.94
2024-10-26 13:00:00,4.417,4.417,4.362,4.366,563268.78
2024-10-26 14:00:00,4.365,4.379,4.301,4.307,1072706.22
2024-10-26 15:00:00,4.307,4.347,4.297,4.311,643738.25
2024-10-26 16:00:00,4.311,4.339,4.306,4.315,598915.01
2024-10-26 17:00:00,4.315,4.34,4.298,4.322,600075.2
2024-10-26 18:00:00,4.323,4.355,4.318,4.319,450314.65
2024-10-26 19:00:00,4.319,4.362,4.318,4.356,237264.91
2024-10-26 20:00:00,4.356,4.393,4.35,4.367,365701.56
2024-10-26 21:00:00,4.367,4.382,4.357,4.37,192111.09
2024-10-26 22:00:00,4.369,4.373,4.351,4.365,135013.51
2024-10-26 23:00:00,4.365,4.377,4.359,4.369,116987.89
2024-10-27 00:00:00,4.368,4.373,4.342,4.346,265094.39
2024-10-27 01:00:00,4.346,4.362,4.336,4.357,183286.45
2024-10-27 02:00:00,4.356,4.361,4.333,4.333,140050.2
2024-10-27 03:00:00,4.333,4.379,4.328,4.376,216256.09
2024-10-27 04:00:00,4.377,4.393,4.37,4.377,223363.06
2024-10-27 05:00:00,4.378,4.385,4.371,4.374,125553.79
2024-10-27 06:00:00,4.374,4.374,4.356,4.366,125935.23
2024-10-27 07:00:00,4.366,4.372,4.353,4.354,126661.17
2024-10-27 08:00:00,4.353,4.362,4.346,4.356,193697.92
2024-10-27 09:00:00,4.356,4.357,4.319,4.337,267518.57
2024-10-27 10:00:00,4.337,4.345,4.315,4.319,204636.29
2024-10-27 11:00:00,4.319,4.35,4.318,4.336,182956.74
2024-10-27 12:00:00,4.335,4.366,4.331,4.353,348901.57
2024-10-27 13:00:00,4.352,4.389,4.351,4.36,354059.11
2024-10-27 14:00:00,4.361,4.392,4.36,4.387,268380.26
2024-10-27 15:00:00,4.387,4.398,4.374,4.39,226877.88
2024-10-27 16:00:00,4.39,4.41,4.382,4.407,283745.71
2024-10-27 17:00:00,4.408,4.411,4.39,4.395,200116.78
2024-10-27 18:00:00,4.395,4.397,4.354,4.359,250485.85
2024-10-27 19:00:00,4.358,4.376,4.346,4.369,252103.94
2024-10-27 20:00:00,4.369,4.389,4.364,4.377,137947.67
2024-10-27 21:00:00,4.376,4.434,4.37,4.429,246067.05
2024-10-27 22:00:00,4.429,4.459,4.429,4.444,355727.68
2024-10-27 23:00:00,4.444,4.47,4.444,4.451,249917.02
2024-10-28 00:00:00,4.451,4.471,4.439,4.448,296499.12
2024-10-28 01:00:00,4.448,4.452,4.42,4.423,244729.06
2024-10-28 02:00:00,4.422,4.435,4.404,4.405,180299.72
2024-10-28 03:00:00,4.404,4.421,4.335,4.342,596989.13
2024-10-28 04:00:00,4.341,4.369,4.328,4.342,406245.76
2024-10-28 05:00:00,4.341,4.355,4.297,4.351,527960.26
2024-10-28 06:00:00,4.352,4.359,4.328,4.356,201772.07
2024-10-28 07:00:00,4.356,4.424,4.355,4.404,529514.1
2024-10-28 08:00:00,4.403,4.435,4.401,4.424,304662.0
2024-10-28 09:00:00,4.424,4.447,4.399,4.443,301245.55
2024-10-28 10:00:00,4.442,4.447,4.426,4.438,259019.86
2024-10-28 11:00:00,4.438,4.453,4.429,4.449,273585.59
2024-10-28 12:00:00,4.45,4.453,4.415,4.443,660979.37
2024-10-28 13:00:00,4.443,4.451,4.405,4.408,503589.6
2024-10-28 14:00:00,4.409,4.42,4.358,4.374,717818.36
2024-10-28 15:00:00,4.374,4.374,4.312,4.316,685574.15
2024-10-28 16:00:00,4.315,4.344,4.301,4.306,484151.16
2024-10-28 17:00:00,4.306,4.347,4.262,4.303,1013141.5
2024-10-28 18:00:00,4.303,4.346,4.302,4.336,350068.25
2024-10-28 19:00:00,4.335,4.393,4.332,4.37,655071.03
2024-10-28 20:00:00,4.376,4.388,4.37,4.383,158635.1
2024-10-28 21:00:00,4.391,4.403,4.386,4.403,51481.93
2024-10-28 22:00:00,4.455,4.508,4.454,4.471,622585.76
2024-10-28 23:00:00,4.472,4.483,4.451,4.454,239978.66
2024-10-29 00:00:00,4.455,4.472,4.427,4.468,320171.5
2024-10-29 01:00:00,4.467,4.485,4.452,4.481,283300.78
2024-10-29 02:00:00,4.481,4.538,4.472,4.53,513763.33
2024-10-29 03:00:00,4.53,4.557,4.53,4.554,400707.4
2024-10-29 04:00:00,4.554,4.576,4.537,4.551,511252.97
2024-10-29 05:00:00,4.551,4.557,4.517,4.521,260822.03
2024-10-29 06:00:00,4.521,4.528,4.506,4.507,128920.8
2024-10-29 07:00:00,4.507,4.523,4.487,4.49,301096.02
2024-10-29 08:00:00,4.491,4.514,4.489,4.495,274647.05
2024-10-29 09:00:00,4.495,4.497,4.476,4.492,201012.91
2024-10-29 10:00:00,4.493,4.498,4.457,4.463,547369.84
2024-10-29 11:00:00,4.463,4.499,4.461,4.495,370343.03
2024-10-29 12:00:00,4.495,4.509,4.483,4.488,341654.1
2024-10-29 13:00:00,4.488,4.525,4.484,4.517,441879.51
2024-10-29 14:00:00,4.516,4.534,4.485,4.496,492845.06
2024-10-29 15:00:00,4.496,4.538,4.475,4.535,761041.09
2024-10-29 16:00:00,4.535,4.589,4.524,4.587,815027.46
2024-10-29 17:00:00,4.587,4.607,4.557,4.589,901729.44
2024-10-29 18:00:00,4.589,4.596,4.546,4.56,930167.59
2024-10-29 19:00:00,4.561,4.572,4.488,4.494,778190.53
2024-10-29 20:00:00,4.494,4.51,4.443,4.476,731164.31
2024-10-29 21:00:00,4.475,4.497,4.468,4.494,221977.55
2024-10-29 22:00:00,4.494,4.54,4.492,4.523,620174.01
2024-10-29 23:00:00,4.523,4.537,4.512,4.535,198628.38
2024-10-30 00:00:00,4.535,4.535,4.512,4.52,191442.11
