time,open,high,low,close,volume
2024-10-23 04:30:00,0.1737,0.1742,0.1734,0.174,172502.8
2024-10-23 05:00:00,0.1739,0.174,0.1731,0.1732,229213.1
2024-10-23 05:30:00,0.1731,0.1737,0.1729,0.1736,289299.9
2024-10-23 06:00:00,0.1736,0.1745,0.1732,0.1743,233701.8
2024-10-23 06:30:00,0.1744,0.1745,0.1731,0.1733,143054.1
2024-10-23 07:00:00,0.1733,0.1739,0.1731,0.1734,284228.2
2024-10-23 07:30:00,0.1734,0.1735,0.1724,0.1726,291101.5
2024-10-23 08:00:00,0.1725,0.173,0.1719,0.172,555929.2
2024-10-23 08:30:00,0.172,0.1723,0.1711,0.1716,482961.6
2024-10-23 09:00:00,0.1716,0.1719,0.171,0.1714,500047.8
2024-10-23 09:30:00,0.1715,0.1723,0.1714,0.1718,311275.9
2024-10-23 10:00:00,0.1719,0.1723,0.1716,0.1721,281659.4
2024-10-23 10:30:00,0.1721,0.1722,0.1711,0.1712,196042.4
2024-10-23 11:00:00,0.1713,0.1719,0.1712,0.1717,148428.8
2024-10-23 11:30:00,0.1716,0.1717,0.1706,0.171,420769.1
2024-10-23 12:00:00,0.1709,0.1712,0.1696,0.1699,1218048.0
2024-10-23 12:30:00,0.17,0.1704,0.1695,0.1697,466829.4
2024-10-23 13:00:00,0.1698,0.1708,0.1695,0.1708,278167.2
2024-10-23 13:30:00,0.1707,0.1715,0.1702,0.1712,319342.1
2024-10-23 14:00:00,0.1711,0.1712,0.17,0.1709,367054.4
2024-10-23 14:30:00,0.1709,0.1714,0.1698,0.1701,397806.4
2024-10-23 15:00:00,0.17,0.1701,0.1686,0.1688,614069.6
2024-10-23 15:30:00,0.1689,0.1697,0.1684,0.1695,458786.1
2024-10-23 16:00:00,0.1695,0.1696,0.1681,0.1685,795117.9
2024-10-23 16:30:00,0.1685,0.169,0.1675,0.1677,782053.6
2024-10-23 17:00:00,0.1677,0.1688,0.1675,0.1687,387614.9
2024-10-23 17:30:00,0.1686,0.1687,0.1673,0.1675,371840.3
2024-10-23 18:00:00,0.1676,0.1676,0.1649,0.1665,1435482.9
2024-10-23 18:30:00,0.1665,0.1675,0.1662,0.1674,420156.8
2024-10-23 19:00:00,0.1674,0.1678,0.1666,0.1677,789479.9
2024-10-23 19:30:00,0.1676,0.1738,0.1674,0.1737,4496999.9
2024-10-23 20:00:00,0.1738,0.1738,0.1695,0.1705,3122544.6
2024-10-23 20:30:00,0.1705,0.171,0.1704,0.1706,709561.7
2024-10-23 21:00:00,0.1707,0.1722,0.1704,0.1717,1132818.0
2024-10-23 21:30:00,0.1717,0.1719,0.1711,0.1711,219586.4
2024-10-23 22:00:00,0.1712,0.1717,0.1711,0.1716,299284.1
2024-10-23 22:30:00,0.1716,0.1728,0.1715,0.1716,470872.0
2024-10-23 23:00:00,0.1717,0.1724,0.1714,0.1723,345377.3
2024-10-23 23:30:00,0.1722,0.1725,0.172,0.1723,339336.0
2024-10-24 00:00:00,0.1724,0.1725,0.1715,0.1717,1029197.9
2024-10-24 00:30:00,0.1717,0.1737,0.1713,0.1736,885083.7
2024-10-24 01:00:00,0.1737,0.1739,0.1732,0.1733,643927.2
2024-10-24 01:30:00,0.1733,0.1734,0.1725,0.1729,364486.1
2024-10-24 02:00:00,0.1728,0.1731,0.1723,0.1731,646230.4
2024-10-24 02:30:00,0.173,0.1734,0.1729,0.1732,622904.3
2024-10-24 03:00:00,0.1731,0.1734,0.1727,0.1731,241788.5
2024-10-24 03:30:00,0.1731,0.1731,0.1722,0.1722,230525.8
2024-10-24 04:00:00,0.1722,0.1729,0.1721,0.1729,304466.6
2024-10-24 04:30:00,0.1728,0.1737,0.1728,0.1733,263563.3
2024-10-24 05:00:00,0.1733,0.1739,0.1733,0.1737,283167.2
2024-10-24 05:30:00,0.1737,0.174,0.1736,0.1738,248671.1
2024-10-24 06:00:00,0.1737,0.174,0.1737,0.1737,160816.7
2024-10-24 06:30:00,0.1736,0.1736,0.1723,0.1723,287658.5
2024-10-24 07:00:00,0.1722,0.1726,0.1718,0.1721,246805.6
2024-10-24 07:30:00,0.1721,0.1724,0.1718,0.172,352298.6
2024-10-24 08:00:00,0.1719,0.1724,0.1717,0.1721,214549.7
2024-10-24 08:30:00,0.1721,0.1724,0.1703,0.1703,405117.1
2024-10-24 09:00:00,0.1703,0.1711,0.1699,0.1707,605427.6
2024-10-24 09:30:00,0.1708,0.1709,0.1701,0.1703,385494.7
