time,open,high,low,close,volume
2025-03-21 12:45:00,0.1696,0.1773,0.1663,0.1722,12136856.0
2025-03-21 13:00:00,0.1721,0.176,0.1687,0.1718,11784104.0
2025-03-21 13:15:00,0.1716,0.1726,0.1641,0.1656,8248212.0
2025-03-21 13:30:00,0.1655,0.1672,0.1621,0.1658,4847761.0
2025-03-21 13:45:00,0.1656,0.168,0.1645,0.1658,2767039.0
2025-03-21 14:00:00,0.1657,0.1669,0.1623,0.1661,2477678.0
2025-03-21 14:15:00,0.1661,0.1702,0.1642,0.166,4964439.0
2025-03-21 14:30:00,0.166,0.1698,0.1658,0.1693,2460488.0
2025-03-21 14:45:00,0.1692,0.1724,0.1677,0.1706,4902707.0
2025-03-21 15:00:00,0.1704,0.1706,0.1653,0.1663,2782561.0
2025-03-21 15:15:00,0.1664,0.1686,0.1633,0.1647,2184763.0
2025-03-21 15:30:00,0.1646,0.1657,0.1606,0.164,3122658.0
2025-03-21 15:45:00,0.1639,0.1645,0.1599,0.1628,12079123.0
2025-03-21 16:00:00,0.1628,0.1632,0.1563,0.1617,5802822.0
2025-03-21 16:15:00,0.1618,0.1669,0.1603,0.166,4406995.0
2025-03-21 16:30:00,0.166,0.1679,0.1622,0.164,3489814.0
2025-03-21 16:45:00,0.1639,0.165,0.1613,0.1649,2250746.0
2025-03-21 17:00:00,0.1649,0.1678,0.1641,0.1664,2738592.0
2025-03-21 17:15:00,0.1664,0.1664,0.1627,0.1636,1349975.0
2025-03-21 17:30:00,0.1637,0.1638,0.1617,0.1636,781422.0
2025-03-21 17:45:00,0.1635,0.1658,0.1626,0.1641,1755209.0
2025-03-21 18:00:00,0.164,0.1646,0.1623,0.1641,1138897.0
2025-03-21 18:15:00,0.1643,0.1799,0.1643,0.1737,8484243.0
2025-03-21 18:30:00,0.1736,0.1847,0.1718,0.1829,11964568.0
2025-03-21 18:45:00,0.1829,0.185,0.1782,0.1832,7756462.0
2025-03-21 19:00:00,0.1835,0.1843,0.1782,0.1788,5437305.0
2025-03-21 19:15:00,0.1788,0.1804,0.1762,0.1802,3406609.0
2025-03-21 19:30:00,0.1802,0.1802,0.1761,0.1772,1862585.0
2025-03-21 19:45:00,0.1772,0.1785,0.1755,0.1765,1261790.0
2025-03-21 20:00:00,0.1766,0.1777,0.172,0.1754,3373590.0
2025-03-21 20:15:00,0.1754,0.1778,0.1751,0.1765,1020572.0
2025-03-21 20:30:00,0.1764,0.1791,0.1756,0.1764,1169178.0
2025-03-21 20:45:00,0.1764,0.18,0.1761,0.1787,1023644.0
2025-03-21 21:00:00,0.1789,0.1848,0.1747,0.1847,5189921.0
2025-03-21 21:15:00,0.1844,0.1861,0.1782,0.1799,2917940.0
2025-03-21 21:30:00,0.18,0.1847,0.1799,0.1835,2043321.0
2025-03-21 21:45:00,0.1835,0.1883,0.1818,0.1843,3044205.0
2025-03-21 22:00:00,0.1843,0.195,0.1836,0.1945,5676803.0
2025-03-21 22:15:00,0.1946,0.1946,0.1829,0.1856,7239708.0
2025-03-21 22:30:00,0.1856,0.1895,0.1832,0.1892,2462683.0
2025-03-21 22:45:00,0.1893,0.1956,0.1861,0.189,5271853.0
2025-03-21 23:00:00,0.1891,0.1909,0.181,0.1837,4430971.0
2025-03-21 23:15:00,0.1838,0.1877,0.1818,0.1857,2326822.0
2025-03-21 23:30:00,0.1858,0.1891,0.1831,0.1851,2648765.0
2025-03-21 23:45:00,0.1852,0.1863,0.1822,0.1837,1788119.0
2025-03-22 00:00:00,0.1836,0.19,0.183,0.1852,3593002.0
2025-03-22 00:15:00,0.1852,0.192,0.1846,0.19,4653478.0
2025-03-22 00:30:00,0.1901,0.1919,0.1862,0.188,2274491.0
2025-03-22 00:45:00,0.1881,0.1886,0.1804,0.1822,3936562.0
2025-03-22 01:00:00,0.1821,0.1862,0.1809,0.1851,1542734.0
2025-03-22 01:15:00,0.1852,0.1875,0.1804,0.1826,2045358.0
2025-03-22 01:30:00,0.1826,0.183,0.1763,0.1781,3218706.0
2025-03-22 01:45:00,0.1783,0.181,0.1748,0.1772,3218072.0
2025-03-22 02:00:00,0.1774,0.1788,0.1644,0.1705,10347081.0
2025-03-22 02:15:00,0.1706,0.1722,0.1697,0.1704,1914999.0
2025-03-22 02:30:00,0.1703,0.1742,0.1691,0.1735,1212154.0
2025-03-22 02:45:00,0.1735,0.1735,0.1698,0.1708,1646394.0
2025-03-22 03:00:00,0.1707,0.1735,0.1705,0.1727,1591366.0
2025-03-22 03:15:00,0.1727,0.1735,0.1707,0.1725,1508295.0
2025-03-22 03:30:00,0.1727,0.1728,0.1706,0.1719,1312838.0
2025-03-22 03:45:00,0.1719,0.1742,0.1699,0.174,1196430.0
2025-03-22 04:00:00,0.1738,0.1769,0.172,0.1754,2224850.0
2025-03-22 04:15:00,0.1754,0.1785,0.1747,0.175,1206729.0
2025-03-22 04:30:00,0.175,0.1813,0.1742,0.1798,1554104.0
2025-03-22 04:45:00,0.1798,0.1827,0.1771,0.1791,2304012.0
2025-03-22 05:00:00,0.1792,0.1819,0.178,0.1808,1879553.0
2025-03-22 05:15:00,0.1808,0.1808,0.1777,0.1784,1774394.0
2025-03-22 05:30:00,0.1784,0.1796,0.1766,0.1793,1508611.0
2025-03-22 05:45:00,0.1793,0.1808,0.1766,0.1792,1004880.0
2025-03-22 06:00:00,0.1791,0.181,0.1781,0.1806,1009030.0
2025-03-22 06:15:00,0.1805,0.1822,0.1768,0.1785,2172818.0
2025-03-22 06:30:00,0.1785,0.18,0.1772,0.1792,833183.0
