time,open,high,low,close,volume
2024-10-23 05:00:00,0.781,0.781,0.772,0.777,1777344.5
2024-10-23 06:00:00,0.776,0.782,0.775,0.778,1370363.5
2024-10-23 07:00:00,0.777,0.778,0.766,0.767,2262411.1
2024-10-23 08:00:00,0.767,0.77,0.759,0.762,3365969.0
2024-10-23 09:00:00,0.762,0.763,0.745,0.745,5162403.3
2024-10-23 10:00:00,0.745,0.75,0.731,0.732,4261332.2
2024-10-23 11:00:00,0.732,0.736,0.723,0.727,3394251.8
2024-10-23 12:00:00,0.726,0.729,0.721,0.727,2805333.9
2024-10-23 13:00:00,0.727,0.734,0.726,0.731,2644334.8
2024-10-23 14:00:00,0.73,0.732,0.724,0.727,1927565.8
2024-10-23 15:00:00,0.726,0.727,0.713,0.72,4145973.9
2024-10-23 16:00:00,0.72,0.722,0.708,0.71,2052369.1
2024-10-23 17:00:00,0.709,0.714,0.703,0.705,2424848.1
2024-10-23 18:00:00,0.705,0.709,0.697,0.706,3260108.3
2024-10-23 19:00:00,0.707,0.712,0.703,0.712,1856716.2
2024-10-23 20:00:00,0.712,0.718,0.71,0.715,1957753.3
2024-10-23 21:00:00,0.715,0.716,0.71,0.71,996855.1
2024-10-23 22:00:00,0.71,0.716,0.71,0.713,1480811.9
2024-10-23 23:00:00,0.713,0.719,0.711,0.718,1651347.5
2024-10-24 00:00:00,0.718,0.718,0.701,0.716,5012327.8
2024-10-24 01:00:00,0.717,0.721,0.709,0.711,2130336.4
2024-10-24 02:00:00,0.71,0.712,0.706,0.71,1335252.2
2024-10-24 03:00:00,0.711,0.711,0.699,0.7,1867584.9
2024-10-24 04:00:00,0.701,0.71,0.7,0.705,1762037.6
2024-10-24 05:00:00,0.704,0.705,0.699,0.699,1503212.9
2024-10-24 06:00:00,0.699,0.703,0.689,0.691,2884628.9
2024-10-24 07:00:00,0.69,0.695,0.687,0.692,2848488.1
2024-10-24 08:00:00,0.691,0.695,0.68,0.681,3125779.1
2024-10-24 09:00:00,0.68,0.688,0.679,0.683,2820985.2
2024-10-24 10:00:00,0.683,0.689,0.681,0.684,1630336.9
2024-10-24 11:00:00,0.683,0.688,0.682,0.687,1492392.6
2024-10-24 12:00:00,0.687,0.69,0.685,0.688,1808573.5
2024-10-24 13:00:00,0.688,0.7,0.686,0.696,4207843.6
2024-10-24 14:00:00,0.696,0.702,0.691,0.7,3451820.1
2024-10-24 15:00:00,0.7,0.723,0.698,0.719,6035442.0
2024-10-24 16:00:00,0.72,0.72,0.707,0.708,3477502.2
2024-10-24 17:00:00,0.708,0.711,0.701,0.707,1989784.2
2024-10-24 18:00:00,0.707,0.708,0.702,0.704,1316756.4
2024-10-24 19:00:00,0.703,0.703,0.697,0.7,1832753.4
2024-10-24 20:00:00,0.7,0.704,0.698,0.701,1184875.4
2024-10-24 21:00:00,0.7,0.707,0.697,0.699,1163666.0
2024-10-24 22:00:00,0.698,0.699,0.691,0.692,1349803.3
2024-10-24 23:00:00,0.691,0.696,0.69,0.695,1156018.8
2024-10-25 00:00:00,0.695,0.695,0.682,0.683,4164958.4
2024-10-25 01:00:00,0.684,0.689,0.681,0.684,1534825.8
2024-10-25 02:00:00,0.683,0.687,0.677,0.685,2336477.7
2024-10-25 03:00:00,0.685,0.686,0.679,0.682,1183315.4
