time,open,high,low,close,volume
2025-03-19 08:00:00,2.0,2.035,1.358,1.82,13626928.5
2025-03-19 09:00:00,1.8187,1.8666,1.73,1.7935,4646890.0
2025-03-19 10:00:00,1.7936,1.89,1.7546,1.8079,5655783.9
2025-03-19 11:00:00,1.808,1.8389,1.602,1.6352,6879203.0
2025-03-19 12:00:00,1.636,1.7109,1.5301,1.602,17427162.6
2025-03-19 13:00:00,1.6018,1.8999,1.475,1.8042,22819749.3
2025-03-19 14:00:00,1.8022,1.887,1.7341,1.7491,10154766.2
2025-03-19 15:00:00,1.7484,1.9,1.7186,1.8174,9790106.9
2025-03-19 16:00:00,1.8158,1.8373,1.7633,1.7911,4729318.6
2025-03-19 17:00:00,1.7909,1.7967,1.7547,1.7953,2835819.7
2025-03-19 18:00:00,1.7954,1.8358,1.7472,1.8038,3057842.9
2025-03-19 19:00:00,1.8035,1.8189,1.73,1.7632,2291965.6
2025-03-19 20:00:00,1.7642,1.7695,1.585,1.619,5167023.1
2025-03-19 21:00:00,1.62,1.6349,1.552,1.6017,3722507.2
2025-03-19 22:00:00,1.6018,1.7498,1.5801,1.7386,4607335.9
2025-03-19 23:00:00,1.7385,1.78,1.7069,1.7418,3752681.4
2025-03-20 00:00:00,1.7418,1.8458,1.716,1.764,4763166.3
2025-03-20 01:00:00,1.7637,1.7934,1.6811,1.6955,3342294.2
2025-03-20 02:00:00,1.6954,1.7346,1.6584,1.703,3182426.8
2025-03-20 03:00:00,1.7035,1.7129,1.68,1.6954,1367935.0
2025-03-20 04:00:00,1.6955,1.705,1.6395,1.6826,2181561.5
2025-03-20 05:00:00,1.6825,1.75,1.673,1.6994,2821236.6
2025-03-20 06:00:00,1.6997,1.73,1.68,1.684,1460410.8
2025-03-20 07:00:00,1.6838,1.6941,1.65,1.6853,2273296.9
2025-03-20 08:00:00,1.6843,1.8445,1.6696,1.7894,5061035.4
2025-03-20 09:00:00,1.7894,1.896,1.7794,1.795,7573981.3
2025-03-20 10:00:00,1.7955,1.864,1.7921,1.8288,3958681.3
2025-03-20 11:00:00,1.8291,1.9819,1.8277,1.9694,8343612.6
2025-03-20 12:00:00,1.9696,1.993,1.8818,1.9036,11633983.6
2025-03-20 13:00:00,1.9039,1.9347,1.8151,1.8226,8063208.1
2025-03-20 14:00:00,1.8228,1.8903,1.7906,1.8498,5136413.4
2025-03-20 15:00:00,1.8498,1.8888,1.82,1.8436,3311987.4
2025-03-20 16:00:00,1.8436,1.8983,1.8376,1.8486,2653150.6
2025-03-20 17:00:00,1.8487,1.8782,1.8129,1.8246,2241489.9
2025-03-20 18:00:00,1.8246,1.8533,1.8021,1.8184,1753552.7
2025-03-20 19:00:00,1.8183,1.8247,1.7398,1.7856,3060254.1
2025-03-20 20:00:00,1.7856,1.9344,1.7465,1.8932,7020212.2
2025-03-20 21:00:00,1.8924,1.9589,1.88,1.891,8228954.2
2025-03-20 22:00:00,1.891,1.9526,1.8806,1.9054,6203372.6
2025-03-20 23:00:00,1.9054,1.927,1.86,1.8717,3894881.5
2025-03-21 00:00:00,1.8716,1.9482,1.8507,1.9029,5535224.2
2025-03-21 01:00:00,1.9027,1.938,1.8704,1.8858,3503330.7
2025-03-21 02:00:00,1.8858,1.8866,1.8302,1.8348,2862509.6
2025-03-21 03:00:00,1.8349,1.8544,1.812,1.84,2933568.4
2025-03-21 04:00:00,1.8399,1.84,1.8015,1.8176,2425980.6
2025-03-21 05:00:00,1.8174,1.8178,1.774,1.7782,2655040.7
2025-03-21 06:00:00,1.7782,1.7819,1.7542,1.7706,2593393.9
2025-03-21 07:00:00,1.7704,1.847,1.7507,1.7809,3624675.2
2025-03-21 08:00:00,1.7809,1.7944,1.6892,1.7025,5411844.2
2025-03-21 09:00:00,1.7027,1.7234,1.6801,1.6902,3023901.8
2025-03-21 10:00:00,1.6902,1.8305,1.6716,1.789,6272248.9
2025-03-21 11:00:00,1.789,1.8153,1.735,1.7596,3456266.7
2025-03-21 12:00:00,1.7596,1.8272,1.7596,1.8157,2810322.0
2025-03-21 13:00:00,1.8157,1.8254,1.7832,1.7903,1744500.3
2025-03-21 14:00:00,1.7901,1.8449,1.785,1.8171,2995797.5
2025-03-21 15:00:00,1.8171,1.85,1.7723,1.8271,3483211.5
2025-03-21 16:00:00,1.8271,1.8639,1.8059,1.8385,2367758.3
2025-03-21 17:00:00,1.8383,1.8498,1.8036,1.807,1275465.9
2025-03-21 18:00:00,1.8071,1.8727,1.803,1.8597,2359009.2
2025-03-21 19:00:00,1.8597,1.8777,1.8169,1.8328,1505416.8
2025-03-21 20:00:00,1.8329,1.88,1.8299,1.8518,1704100.3
2025-03-21 21:00:00,1.8512,1.866,1.84,1.8577,882547.1
2025-03-21 22:00:00,1.8578,1.8784,1.8288,1.8291,1151836.7
2025-03-21 23:00:00,1.829,1.8407,1.8142,1.8325,1217112.1
2025-03-22 00:00:00,1.8324,1.9071,1.8324,1.9057,2224391.0
2025-03-22 01:00:00,1.9054,1.91,1.8345,1.8417,1685000.4
2025-03-22 02:00:00,1.8417,1.86,1.8002,1.8409,1930297.4
2025-03-22 03:00:00,1.8409,1.86,1.828,1.8494,1279187.9
2025-03-22 04:00:00,1.8493,1.8978,1.8478,1.8933,1248995.0
2025-03-22 05:00:00,1.8933,1.8959,1.8482,1.8508,1423156.9
2025-03-22 06:00:00,1.8509,1.8543,1.83,1.8433,1114788.5
2025-03-22 07:00:00,1.8433,1.8531,1.832,1.8355,813204.5
2025-03-22 08:00:00,1.8355,1.8504,1.828,1.8391,751797.3
2025-03-22 09:00:00,1.8395,1.853,1.8221,1.8328,909676.7
2025-03-22 10:00:00,1.8327,1.8428,1.8236,1.8253,654942.8
2025-03-22 11:00:00,1.8253,1.8465,1.8195,1.8349,834584.0
2025-03-22 12:00:00,1.8349,1.8521,1.8213,1.8493,856652.9
2025-03-22 13:00:00,1.8493,1.8766,1.8415,1.8606,1292840.7
2025-03-22 14:00:00,1.8608,1.8841,1.8519,1.8724,1336744.1
2025-03-22 15:00:00,1.8723,1.8794,1.8539,1.8652,704499.8
2025-03-22 16:00:00,1.8653,1.8689,1.8463,1.8506,601115.3
2025-03-22 17:00:00,1.8506,1.8522,1.8358,1.8444,567842.4
2025-03-22 18:00:00,1.8444,1.848,1.835,1.8391,336775.9
2025-03-22 19:00:00,1.8391,1.8488,1.8289,1.8347,521205.0
2025-03-22 20:00:00,1.8347,1.8524,1.8299,1.8484,432961.0
2025-03-22 21:00:00,1.8485,1.8549,1.8302,1.8467,616697.8
2025-03-22 22:00:00,1.8467,1.851,1.8227,1.826,635983.1
2025-03-22 23:00:00,1.826,1.8635,1.8256,1.8595,954886.1
2025-03-23 00:00:00,1.8595,1.872,1.7631,1.8051,2825577.2
2025-03-23 01:00:00,1.805,1.8193,1.7925,1.8112,820471.1
2025-03-23 02:00:00,1.8112,1.8149,1.7851,1.7903,626876.1
2025-03-23 03:00:00,1.7902,1.7956,1.7755,1.778,549192.2
2025-03-23 04:00:00,1.778,1.7805,1.7428,1.7516,820797.0
2025-03-23 05:00:00,1.7516,1.752,1.7214,1.7372,1208674.5
2025-03-23 06:00:00,1.7374,1.805,1.722,1.7652,1809254.7
2025-03-23 07:00:00,1.7653,1.7686,1.742,1.7464,758167.3
2025-03-23 08:00:00,1.7464,1.9759,1.713,1.9284,8015556.0
2025-03-23 09:00:00,1.9286,1.9487,1.8727,1.8837,2729810.2
2025-03-23 10:00:00,1.8839,1.9087,1.877,1.8874,1178272.0
2025-03-23 11:00:00,1.8873,1.9438,1.865,1.8891,2117905.1
2025-03-23 12:00:00,1.8891,1.9227,1.879,1.9029,1103972.7
2025-03-23 13:00:00,1.9029,1.9462,1.892,1.9462,1794655.5
2025-03-23 14:00:00,1.9458,2.1655,1.93,1.9888,13967078.3
2025-03-23 15:00:00,1.9884,2.0133,1.9432,1.95,3976040.7
2025-03-23 16:00:00,1.9504,2.0578,1.934,2.0388,3742852.8
2025-03-23 17:00:00,2.0379,2.0706,2.0,2.0415,3973479.1
2025-03-23 18:00:00,2.0418,2.1092,2.0246,2.0526,5065953.1
2025-03-23 19:00:00,2.0524,2.0725,2.0202,2.0374,1626802.6
2025-03-23 20:00:00,2.0376,2.0532,1.9926,2.0061,2066829.7
2025-03-23 21:00:00,2.0063,2.0404,1.9956,2.0218,1229534.0
2025-03-23 22:00:00,2.0218,2.07,1.9966,2.038,1340520.3
2025-03-23 23:00:00,2.0377,2.0537,2.009,2.0295,1218679.9
2025-03-24 00:00:00,2.0297,2.0303,1.905,1.954,3846558.0
2025-03-24 01:00:00,1.9541,1.9915,1.9302,1.965,2014588.7
2025-03-24 02:00:00,1.965,1.9914,1.9381,1.9585,1662543.7
2025-03-24 03:00:00,1.9586,1.9741,1.9447,1.954,1222393.1
2025-03-24 04:00:00,1.9539,1.9772,1.9313,1.9518,1590207.4
2025-03-24 05:00:00,1.9518,1.9524,1.906,1.9135,1605628.7
2025-03-24 06:00:00,1.9135,1.9321,1.8907,1.9017,1271422.2
2025-03-24 07:00:00,1.9017,1.9431,1.8836,1.933,2004024.3
2025-03-24 08:00:00,1.9328,2.0333,1.9307,1.9674,4890953.8
2025-03-24 09:00:00,1.9673,2.0292,1.9605,2.0258,2035386.0
2025-03-24 10:00:00,2.0259,2.19,2.0228,2.1845,4713607.6
2025-03-24 11:00:00,2.1843,2.2123,2.1101,2.1276,5872476.5
2025-03-24 12:00:00,2.1277,2.1745,2.124,2.1368,2505783.4
2025-03-24 13:00:00,2.1365,2.1552,2.0845,2.0967,2403141.1
2025-03-24 14:00:00,2.0964,2.1561,2.0848,2.1393,2086452.1
2025-03-24 15:00:00,2.1395,2.1567,2.1201,2.1404,1319516.2
2025-03-24 16:00:00,2.14,2.1489,2.0992,2.1173,1263080.0
2025-03-24 17:00:00,2.1175,2.4436,1.9573,2.3749,16226159.4
2025-03-24 18:00:00,2.3749,2.6488,2.3297,2.5167,21124925.9
2025-03-24 19:00:00,2.5167,2.5755,2.4747,2.5368,8927717.4
2025-03-24 20:00:00,2.5374,2.5489,2.4829,2.5033,3891007.1
2025-03-24 21:00:00,2.5029,2.517,2.4067,2.4687,4902117.5
2025-03-24 22:00:00,2.4684,2.5073,2.4416,2.4735,3554801.5
2025-03-24 23:00:00,2.474,2.482,2.4221,2.4487,3388031.2
2025-03-25 00:00:00,2.4486,2.5467,2.4057,2.4978,5642665.0
2025-03-25 01:00:00,2.4981,2.5348,2.4227,2.4981,4516740.9
2025-03-25 02:00:00,2.4981,2.5281,2.4674,2.4899,3162332.7
2025-03-25 03:00:00,2.49,2.5078,2.4741,2.4846,1933163.2
