time,open,high,low,close,volume
2025-04-08 08:30:00,2.482,2.618,2.347,2.418,1685604.8
2025-04-08 09:00:00,2.422,2.447,2.321,2.356,1032697.4
2025-04-08 09:30:00,2.356,2.385,2.285,2.349,597995.8
2025-04-08 10:00:00,2.349,2.39,2.313,2.33,366703.6
2025-04-08 10:30:00,2.33,2.366,2.315,2.326,255688.1
2025-04-08 11:00:00,2.325,2.444,2.316,2.396,608411.4
2025-04-08 11:30:00,2.396,2.588,2.374,2.504,1667659.6
2025-04-08 12:00:00,2.504,2.669,2.501,2.596,1453268.1
2025-04-08 12:30:00,2.594,2.626,2.535,2.578,575938.5
2025-04-08 13:00:00,2.578,2.649,2.512,2.605,744245.5
2025-04-08 13:30:00,2.604,2.686,2.559,2.624,1187584.0
2025-04-08 14:00:00,2.624,2.749,2.603,2.684,1253999.3
2025-04-08 14:30:00,2.682,2.73,2.531,2.678,2067582.7
2025-04-08 15:00:00,2.677,3.47,2.673,3.425,12717443.9
2025-04-08 15:30:00,3.425,4.01,3.4,3.879,19197858.5
2025-04-08 16:00:00,3.882,4.16,3.538,3.563,26992825.5
2025-04-08 16:30:00,3.562,3.626,3.316,3.402,14810775.8
2025-04-08 17:00:00,3.402,3.535,3.331,3.476,8684277.2
2025-04-08 17:30:00,3.476,3.508,3.076,3.173,9718818.9
2025-04-08 18:00:00,3.173,3.224,2.952,3.014,7700385.3
2025-04-08 18:30:00,3.014,3.155,3.012,3.035,3373960.0
2025-04-08 19:00:00,3.036,3.096,2.92,3.007,4741696.4
2025-04-08 19:30:00,3.008,3.071,2.775,2.848,5400426.1
2025-04-08 20:00:00,2.848,2.859,2.715,2.777,4398807.1
2025-04-08 20:30:00,2.776,3.139,2.754,3.107,4583946.3
2025-04-08 21:00:00,3.105,3.245,2.939,3.043,6418709.8
2025-04-08 21:30:00,3.044,3.176,3.0,3.044,2875182.1
2025-04-08 22:00:00,3.044,3.25,3.036,3.158,3772159.5
2025-04-08 22:30:00,3.159,3.21,3.078,3.193,2500161.9
2025-04-08 23:00:00,3.191,3.33,3.136,3.152,4205262.0
2025-04-08 23:30:00,3.152,3.159,3.022,3.093,2381325.7
2025-04-09 00:00:00,3.095,3.193,3.004,3.093,3069337.9
2025-04-09 00:30:00,3.091,3.147,3.021,3.069,1433064.9
2025-04-09 01:00:00,3.069,3.194,3.001,3.09,2868296.0
2025-04-09 01:30:00,3.091,3.113,2.821,2.875,3859498.1
2025-04-09 02:00:00,2.875,2.991,2.789,2.976,2096868.5
2025-04-09 02:30:00,2.976,3.148,2.974,3.042,2358717.3
