time,open,high,low,close,volume
2024-10-23 05:00:00,2.0537,2.0537,2.0451,2.0527,7182.4
2024-10-23 05:15:00,2.0527,2.0535,2.0423,2.0428,5656.2
2024-10-23 05:30:00,2.0427,2.0453,2.0373,2.0417,9932.1
2024-10-23 05:45:00,2.0412,2.043,2.0366,2.041,7387.7
2024-10-23 06:00:00,2.0406,2.044,2.0373,2.0413,21593.6
2024-10-23 06:15:00,2.0414,2.0506,2.041,2.0451,38150.2
2024-10-23 06:30:00,2.0456,2.0468,2.0418,2.0418,7787.1
2024-10-23 06:45:00,2.0418,2.0418,2.026,2.03,31038.6
2024-10-23 07:00:00,2.0294,2.0339,2.0248,2.0263,17089.7
2024-10-23 07:15:00,2.0269,2.033,2.024,2.03,27599.4
2024-10-23 07:30:00,2.0295,2.03,2.0205,2.0229,24314.7
2024-10-23 07:45:00,2.0232,2.0262,2.0177,2.0199,11676.1
2024-10-23 08:00:00,2.0199,2.029,2.0137,2.0267,31941.6
2024-10-23 08:15:00,2.0255,2.0257,2.0083,2.0094,30113.0
2024-10-23 08:30:00,2.0102,2.0186,2.0094,2.018,15492.1
2024-10-23 08:45:00,2.0167,2.0195,2.0055,2.0092,20976.9
2024-10-23 09:00:00,2.0092,2.0117,2.0013,2.0048,25686.3
2024-10-23 09:15:00,2.0044,2.0146,2.0036,2.011,11953.8
2024-10-23 09:30:00,2.0113,2.0159,2.0111,2.015,10576.2
2024-10-23 09:45:00,2.015,2.018,2.0125,2.0125,7844.7
2024-10-23 10:00:00,2.0126,2.0174,2.012,2.0149,14207.9
2024-10-23 10:15:00,2.0146,2.0215,2.0127,2.0203,6423.5
2024-10-23 10:30:00,2.0201,2.0209,2.0126,2.0131,6173.9
2024-10-23 10:45:00,2.0131,2.0144,2.0101,2.0108,6984.8
2024-10-23 11:00:00,2.0106,2.0149,2.0084,2.0115,7851.9
2024-10-23 11:15:00,2.0117,2.0136,2.0085,2.0102,8969.9
2024-10-23 11:30:00,2.0106,2.0112,1.998,1.9982,41976.6
2024-10-23 11:45:00,1.9979,2.0038,1.9959,1.9998,21500.6
2024-10-23 12:00:00,1.9997,2.0027,1.9957,2.0001,18283.7
2024-10-23 12:15:00,1.9994,2.0032,1.9934,1.9944,16881.8
2024-10-23 12:30:00,1.9944,2.0082,1.9901,2.0035,22401.2
2024-10-23 12:45:00,2.0034,2.0072,1.9968,1.9971,10703.5
2024-10-23 13:00:00,1.9972,2.0051,1.9948,2.0036,19628.2
2024-10-23 13:15:00,2.0031,2.0063,1.9977,2.002,13549.6
2024-10-23 13:30:00,2.002,2.0047,1.9979,2.0038,12667.9
2024-10-23 13:45:00,2.0036,2.0149,2.0036,2.0145,19025.6
2024-10-23 14:00:00,2.013,2.0139,1.9991,2.0015,20472.0
2024-10-23 14:15:00,2.0017,2.0102,2.0007,2.0075,6865.2
2024-10-23 14:30:00,2.0067,2.0128,2.0048,2.0118,8099.6
2024-10-23 14:45:00,2.0114,2.0116,1.9994,2.0004,24745.2
2024-10-23 15:00:00,2.0001,2.0008,1.9908,1.9917,13506.6
2024-10-23 15:15:00,1.9916,1.9974,1.983,1.9855,33931.6
2024-10-23 15:30:00,1.9853,1.9891,1.9774,1.9825,28117.5
2024-10-23 15:45:00,1.9823,1.9899,1.9823,1.9874,14633.3
2024-10-23 16:00:00,1.9881,1.9934,1.9803,1.9877,65898.7
2024-10-23 16:15:00,1.988,1.9931,1.9804,1.9841,27917.9
2024-10-23 16:30:00,1.9841,1.9926,1.9822,1.9861,10682.4
2024-10-23 16:45:00,1.9863,1.9885,1.9688,1.9705,24605.0
2024-10-23 17:00:00,1.9698,1.9804,1.9685,1.979,12156.0
2024-10-23 17:15:00,1.9789,1.9861,1.9772,1.9816,10383.4
2024-10-23 17:30:00,1.9813,1.9813,1.9722,1.9773,11514.6
2024-10-23 17:45:00,1.9772,1.9774,1.9662,1.9683,21257.8
2024-10-23 18:00:00,1.9681,1.9695,1.944,1.964,83942.6
2024-10-23 18:15:00,1.9635,1.9695,1.9546,1.9653,16022.2
2024-10-23 18:30:00,1.9637,1.966,1.9561,1.9657,11632.2
2024-10-23 18:45:00,1.9658,1.9705,1.9643,1.9699,12024.0
2024-10-23 19:00:00,1.969,1.9773,1.9682,1.9715,11978.1
2024-10-23 19:15:00,1.9715,1.9798,1.969,1.9787,8886.1
2024-10-23 19:30:00,1.9787,1.9853,1.9721,1.9842,15691.9
2024-10-23 19:45:00,1.9841,1.993,1.9829,1.993,19207.1
2024-10-23 20:00:00,1.993,1.9985,1.9882,1.9966,23751.1
2024-10-23 20:15:00,1.9973,2.0025,1.9968,1.9998,10128.7
2024-10-23 20:30:00,2.0001,2.0058,1.9997,2.0047,9531.5
2024-10-23 20:45:00,2.0049,2.0062,2.0014,2.0027,7160.7
2024-10-23 21:00:00,2.0035,2.0037,1.995,1.9991,16690.5
2024-10-23 21:15:00,1.9999,1.9999,1.9964,1.9976,3463.6
2024-10-23 21:30:00,1.997,1.9971,1.9914,1.9925,9322.9
2024-10-23 21:45:00,1.9924,1.9924,1.9855,1.9855,5998.2
2024-10-23 22:00:00,1.9858,1.9927,1.9855,1.9913,8632.2
2024-10-23 22:15:00,1.991,1.9913,1.9864,1.9875,11801.6
2024-10-23 22:30:00,1.9874,2.0033,1.9862,2.0021,66086.2
2024-10-23 22:45:00,2.0021,2.0052,1.9953,1.9981,32607.7
2024-10-23 23:00:00,1.9982,2.0034,1.9953,2.0017,12437.3
2024-10-23 23:15:00,2.0017,2.0097,2.0017,2.0065,12392.0
2024-10-23 23:30:00,2.0064,2.0146,2.0061,2.0137,11289.0
2024-10-23 23:45:00,2.0132,2.0149,2.0105,2.0112,7754.1
2024-10-24 00:00:00,2.0108,2.0154,2.007,2.0126,14660.0
2024-10-24 00:15:00,2.0118,2.0121,2.002,2.0046,14145.5
2024-10-24 00:30:00,2.0042,2.0126,2.0042,2.0126,11028.6
2024-10-24 00:45:00,2.0128,2.0317,2.0128,2.0307,21881.5
2024-10-24 01:00:00,2.0308,2.044,2.0294,2.0405,37838.7
2024-10-24 01:15:00,2.0408,2.0428,2.026,2.0269,23489.5
2024-10-24 01:30:00,2.0263,2.0272,2.02,2.0207,10039.6
2024-10-24 01:45:00,2.0211,2.0291,2.0203,2.0265,11165.8
2024-10-24 02:00:00,2.0268,2.0294,2.0198,2.0252,9002.6
2024-10-24 02:15:00,2.0256,2.034,2.0244,2.0314,10134.9
2024-10-24 02:30:00,2.0315,2.0395,2.0295,2.0318,17113.5
2024-10-24 02:45:00,2.0319,2.0405,2.0306,2.0387,8121.1
2024-10-24 03:00:00,2.0387,2.0424,2.0373,2.0391,9338.4
2024-10-24 03:15:00,2.0384,2.0456,2.0375,2.0417,4208.8
2024-10-24 03:30:00,2.0419,2.0419,2.0317,2.0352,9385.8
2024-10-24 03:45:00,2.0349,2.0365,2.0304,2.0304,7067.9
2024-10-24 04:00:00,2.0302,2.0343,2.0268,2.0307,17133.8
2024-10-24 04:15:00,2.0298,2.0351,2.0266,2.0349,3995.3
2024-10-24 04:30:00,2.0342,2.0349,2.0292,2.0319,4525.4
2024-10-24 04:45:00,2.0313,2.0339,2.0269,2.0312,5656.3
2024-10-24 05:00:00,2.0318,2.0373,2.0279,2.035,7653.6
2024-10-24 05:15:00,2.0356,2.0359,2.0298,2.0319,4134.3
2024-10-24 05:30:00,2.0317,2.0343,2.0295,2.0315,4097.7
2024-10-24 05:45:00,2.0306,2.0341,2.0289,2.0294,3909.4
2024-10-24 06:00:00,2.0289,2.0354,2.0289,2.0332,8796.3
2024-10-24 06:15:00,2.0332,2.0342,2.0301,2.0305,2775.5
2024-10-24 06:30:00,2.0305,2.0322,2.0243,2.0243,6014.5
2024-10-24 06:45:00,2.0247,2.0252,2.017,2.017,8271.9
2024-10-24 07:00:00,2.0168,2.0213,2.0148,2.0196,9482.6
2024-10-24 07:15:00,2.0196,2.0217,2.0105,2.0142,6723.3
2024-10-24 07:30:00,2.0142,2.0177,2.0107,2.0137,14333.0
2024-10-24 07:45:00,2.0137,2.0142,2.007,2.0089,13248.4
2024-10-24 08:00:00,2.0082,2.0114,2.0043,2.0091,11157.9
2024-10-24 08:15:00,2.0101,2.0133,1.9989,2.0029,61506.7
2024-10-24 08:30:00,2.0027,2.0063,1.9955,1.9955,15268.1
2024-10-24 08:45:00,1.9968,1.9974,1.9769,1.9777,32105.5
2024-10-24 09:00:00,1.9777,1.9894,1.9732,1.9855,27327.3
2024-10-24 09:15:00,1.9854,1.9874,1.9785,1.9861,23331.1
2024-10-24 09:30:00,1.9864,1.9875,1.9751,1.9751,21212.0
2024-10-24 09:45:00,1.9746,1.98,1.9735,1.9775,7225.2
2024-10-24 10:00:00,1.9788,1.9894,1.9773,1.9874,16425.5
2024-10-24 10:15:00,1.987,1.9957,1.9845,1.9942,9021.5
2024-10-24 10:30:00,1.9942,1.998,1.9909,1.9947,9478.1
2024-10-24 10:45:00,1.994,1.9969,1.9914,1.9956,10129.3
2024-10-24 11:00:00,1.9954,1.997,1.9929,1.9958,6889.6
2024-10-24 11:15:00,1.9955,2.0077,1.9955,2.0064,7203.2
2024-10-24 11:30:00,2.0063,2.0116,1.999,1.9994,15514.5
2024-10-24 11:45:00,1.9995,2.0007,1.9986,1.9999,7880.0
2024-10-24 12:00:00,1.9995,2.0021,1.9957,1.9962,16187.3
2024-10-24 12:15:00,1.9969,1.9973,1.9855,1.9898,41310.9
2024-10-24 12:30:00,1.9893,1.9929,1.986,1.989,8416.8
2024-10-24 12:45:00,1.9892,2.0027,1.9892,2.0001,14152.8
2024-10-24 13:00:00,2.0,2.0056,1.9966,2.0035,9939.7
2024-10-24 13:15:00,2.0036,2.0056,1.9982,1.9985,7655.1
2024-10-24 13:30:00,1.9986,2.0082,1.9931,2.0051,35582.1
2024-10-24 13:45:00,2.006,2.0086,1.9971,2.0055,9269.1
2024-10-24 14:00:00,2.0055,2.0071,1.9908,1.9945,20879.4
2024-10-24 14:15:00,1.9947,1.9962,1.9828,1.9855,13577.3
2024-10-24 14:30:00,1.9842,2.0,1.9832,1.995,20844.0
2024-10-24 14:45:00,1.9937,1.9982,1.9876,1.9934,12356.5
2024-10-24 15:00:00,1.9934,2.0003,1.9877,1.999,16116.7
2024-10-24 15:15:00,1.9988,2.0001,1.9899,1.993,18283.2
2024-10-24 15:30:00,1.9925,2.0069,1.9911,2.0052,64139.7
2024-10-24 15:45:00,2.0047,2.0051,1.992,1.9982,16221.0
2024-10-24 16:00:00,1.998,2.0047,1.9902,1.9925,29075.5
2024-10-24 16:15:00,1.9934,2.0012,1.9933,2.0012,7748.8
2024-10-24 16:30:00,2.0008,2.0056,1.9952,1.998,14353.0
2024-10-24 16:45:00,1.9974,2.0018,1.995,1.9963,12604.9
2024-10-24 17:00:00,1.9957,2.0035,1.991,2.0002,29881.8
2024-10-24 17:15:00,2.0002,2.0024,1.9959,1.9992,13027.8
2024-10-24 17:30:00,1.9983,2.0115,1.9939,2.0083,50299.6
2024-10-24 17:45:00,2.0087,2.0127,2.0046,2.0068,62876.6
2024-10-24 18:00:00,2.006,2.0158,2.0028,2.0145,16746.5
2024-10-24 18:15:00,2.0133,2.017,2.0104,2.0156,20831.8
2024-10-24 18:30:00,2.0156,2.0262,2.0132,2.0145,65094.6
2024-10-24 18:45:00,2.0141,2.0141,2.0059,2.0087,28096.2
2024-10-24 19:00:00,2.0087,2.0098,2.0034,2.0064,64522.0
2024-10-24 19:15:00,2.0061,2.0149,2.0052,2.0143,20960.1
2024-10-24 19:30:00,2.0142,2.0214,2.0112,2.0194,25579.9
2024-10-24 19:45:00,2.0194,2.0215,2.0176,2.0207,9434.6
2024-10-24 20:00:00,2.0206,2.0279,2.0174,2.0267,30022.6
2024-10-24 20:15:00,2.0262,2.0267,2.0172,2.0182,13130.4
2024-10-24 20:30:00,2.0168,2.0254,2.0155,2.0192,32679.2
2024-10-24 20:45:00,2.0191,2.0263,2.0174,2.024,14929.5
2024-10-24 21:00:00,2.0236,2.0332,2.0188,2.0321,19471.6
2024-10-24 21:15:00,2.0321,2.0397,2.0261,2.0303,65168.6
2024-10-24 21:30:00,2.0294,2.0353,2.0253,2.0253,30842.2
2024-10-24 21:45:00,2.0261,2.0261,2.0177,2.0195,4466.7
2024-10-24 22:00:00,2.0187,2.0263,2.0187,2.0235,23227.7
2024-10-24 22:15:00,2.0235,2.0255,2.0174,2.0191,4757.3
2024-10-24 22:30:00,2.0182,2.0182,2.01,2.0104,15303.2
2024-10-24 22:45:00,2.0108,2.0124,2.0078,2.0078,5615.5
2024-10-24 23:00:00,2.0079,2.0085,2.0002,2.0021,15848.5
2024-10-24 23:15:00,2.0026,2.0075,2.0016,2.0019,7952.9
2024-10-24 23:30:00,2.0014,2.0069,2.0,2.0049,6011.8
2024-10-24 23:45:00,2.0064,2.0086,2.0039,2.0067,6721.6
2024-10-25 00:00:00,2.0069,2.0103,2.0038,2.008,28482.8
2024-10-25 00:15:00,2.0083,2.0102,2.0061,2.0079,6344.6
2024-10-25 00:30:00,2.0079,2.0079,1.9928,1.9958,30838.7
2024-10-25 00:45:00,1.996,1.9987,1.9943,1.9983,8683.5
2024-10-25 01:00:00,1.9986,2.0001,1.9956,1.9977,12089.1
2024-10-25 01:15:00,1.9979,2.002,1.9962,2.0009,6077.2
2024-10-25 01:30:00,2.0023,2.0025,1.9873,1.9925,16099.9
2024-10-25 01:45:00,1.9926,1.9929,1.988,1.9903,2894.8
2024-10-25 02:00:00,1.9913,1.9948,1.9822,1.9839,21115.3
2024-10-25 02:15:00,1.9841,1.9875,1.9785,1.986,32084.7
2024-10-25 02:30:00,1.9864,1.9888,1.9843,1.9881,4991.6
2024-10-25 02:45:00,1.9888,1.991,1.9876,1.989,3280.4
2024-10-25 03:00:00,1.9889,1.9985,1.9889,1.997,8314.1
2024-10-25 03:15:00,1.9973,2.0057,1.9964,2.0041,8343.6
2024-10-25 03:30:00,2.0042,2.0064,2.0004,2.0064,15001.0
2024-10-25 03:45:00,2.0061,2.0081,2.0006,2.0023,14392.4
2024-10-25 04:00:00,2.0023,2.0036,1.9928,1.9928,6296.7
2024-10-25 04:15:00,1.9928,1.9934,1.9767,1.9777,20088.7
2024-10-25 04:30:00,1.9777,1.9902,1.972,1.9893,20332.1
2024-10-25 04:45:00,1.9891,1.9891,1.9724,1.974,21850.5
2024-10-25 05:00:00,1.9736,1.9762,1.9673,1.9729,19767.0
2024-10-25 05:15:00,1.9716,1.9824,1.9678,1.9803,12631.1
2024-10-25 05:30:00,1.9803,1.9842,1.9775,1.9842,6442.2
2024-10-25 05:45:00,1.9836,1.9836,1.975,1.9761,5977.5
2024-10-25 06:00:00,1.9761,1.9783,1.9684,1.9741,14172.1
2024-10-25 06:15:00,1.9749,1.9766,1.971,1.975,8444.1
2024-10-25 06:30:00,1.9741,1.9745,1.9648,1.9668,13503.2
2024-10-25 06:45:00,1.9668,1.9719,1.9633,1.9654,16426.5
2024-10-25 07:00:00,1.9658,1.9716,1.9566,1.9626,19039.3
2024-10-25 07:15:00,1.9627,1.9691,1.9534,1.9566,18208.3
2024-10-25 07:30:00,1.9561,1.9633,1.9544,1.961,17310.6
2024-10-25 07:45:00,1.9604,1.9661,1.9602,1.9644,7661.7
2024-10-25 08:00:00,1.9654,1.9655,1.9499,1.9544,23987.5
2024-10-25 08:15:00,1.9554,1.967,1.9471,1.9645,25483.8
2024-10-25 08:30:00,1.9654,1.9861,1.9653,1.9852,15947.5
2024-10-25 08:45:00,1.9861,1.993,1.9819,1.989,19028.5
2024-10-25 09:00:00,1.9891,1.9912,1.9818,1.9835,11615.4
2024-10-25 09:15:00,1.983,1.9886,1.9816,1.9868,11883.2
2024-10-25 09:30:00,1.9884,1.9891,1.9819,1.9839,10381.3
2024-10-25 09:45:00,1.9846,1.9947,1.9809,1.9939,9499.9
2024-10-25 10:00:00,1.9939,1.9939,1.9813,1.9839,18043.1
2024-10-25 10:15:00,1.9832,1.9912,1.9802,1.9897,31210.5
2024-10-25 10:30:00,1.9895,1.9896,1.9823,1.9846,26299.4
2024-10-25 10:45:00,1.9845,1.985,1.9776,1.9776,24799.6
2024-10-25 11:00:00,1.9778,1.9815,1.9769,1.9798,15081.1
2024-10-25 11:15:00,1.9802,1.9834,1.9755,1.9761,16731.6
2024-10-25 11:30:00,1.9759,1.9822,1.9749,1.9796,51288.0
2024-10-25 11:45:00,1.9805,1.9841,1.9775,1.9791,43363.1
2024-10-25 12:00:00,1.9803,1.9841,1.977,1.9794,15640.2
2024-10-25 12:15:00,1.9791,1.9797,1.9732,1.9774,13915.7
2024-10-25 12:30:00,1.9778,1.9807,1.971,1.9798,11813.5
2024-10-25 12:45:00,1.9801,1.9804,1.9712,1.9731,5788.7
2024-10-25 13:00:00,1.972,1.9753,1.967,1.9745,6968.6
2024-10-25 13:15:00,1.9749,1.9801,1.972,1.9722,5145.9
2024-10-25 13:30:00,1.9737,1.9762,1.9663,1.9663,7536.5
2024-10-25 13:45:00,1.9665,1.9872,1.9661,1.9844,16227.2
2024-10-25 14:00:00,1.9849,1.9908,1.9776,1.9908,32194.6
2024-10-25 14:15:00,1.9898,1.9938,1.9866,1.9932,13707.2
2024-10-25 14:30:00,1.9936,1.996,1.9823,1.9833,9478.2
2024-10-25 14:45:00,1.983,1.9865,1.9805,1.9805,10218.0
2024-10-25 15:00:00,1.981,1.9877,1.9802,1.987,12725.9
2024-10-25 15:15:00,1.9862,1.9876,1.9755,1.9765,10541.9
2024-10-25 15:30:00,1.9758,1.9809,1.9648,1.9668,28200.9
2024-10-25 15:45:00,1.9675,1.9675,1.9454,1.9559,30787.8
2024-10-25 16:00:00,1.9557,1.9646,1.9383,1.9618,48179.0
2024-10-25 16:15:00,1.9608,1.9669,1.9573,1.9573,32131.5
2024-10-25 16:30:00,1.9572,1.9629,1.9503,1.9629,45255.0
2024-10-25 16:45:00,1.9624,1.9771,1.9606,1.9663,44331.2
2024-10-25 17:00:00,1.9672,1.9746,1.9644,1.9683,14076.8
2024-10-25 17:15:00,1.9672,1.9672,1.9508,1.9558,15464.8
2024-10-25 17:30:00,1.9554,1.9608,1.9534,1.9608,16259.6
2024-10-25 17:45:00,1.9601,1.9614,1.9398,1.9414,33285.2
2024-10-25 18:00:00,1.94,1.9543,1.9219,1.9536,125644.8
2024-10-25 18:15:00,1.9543,1.9679,1.9472,1.9635,51467.0
2024-10-25 18:30:00,1.963,1.9644,1.9518,1.9522,26235.6
2024-10-25 18:45:00,1.9517,1.9543,1.9417,1.9431,19588.0
2024-10-25 19:00:00,1.9422,1.9472,1.9358,1.9411,39052.5
2024-10-25 19:15:00,1.9402,1.9485,1.9341,1.944,35637.7
2024-10-25 19:30:00,1.9435,1.9512,1.9414,1.948,9911.9
2024-10-25 19:45:00,1.9501,1.9517,1.9453,1.9476,13443.0
2024-10-25 20:00:00,1.9472,1.9554,1.947,1.954,11419.7
2024-10-25 20:15:00,1.9534,1.9534,1.9414,1.9469,13338.2
2024-10-25 20:30:00,1.9477,1.9565,1.946,1.9467,15727.3
2024-10-25 20:45:00,1.9467,1.9538,1.9447,1.9536,6613.8
2024-10-25 21:00:00,1.9539,1.9601,1.9533,1.9586,17878.5
2024-10-25 21:15:00,1.9588,1.9631,1.9555,1.9609,13808.5
2024-10-25 21:30:00,1.9603,1.9638,1.9555,1.9629,15717.7
2024-10-25 21:45:00,1.9626,1.964,1.9595,1.9636,8541.6
2024-10-25 22:00:00,1.9632,1.9648,1.9586,1.9629,40385.6
2024-10-25 22:15:00,1.9627,1.9627,1.953,1.9531,5746.9
2024-10-25 22:30:00,1.9531,1.958,1.9531,1.9573,7245.5
2024-10-25 22:45:00,1.9572,1.958,1.9346,1.9363,38514.3
2024-10-25 23:00:00,1.9365,1.9406,1.8837,1.8885,132241.7
2024-10-25 23:15:00,1.8886,1.911,1.7968,1.8481,481700.4
2024-10-25 23:30:00,1.8485,1.8661,1.8422,1.8525,160164.6
2024-10-25 23:45:00,1.8524,1.8778,1.8473,1.8721,72663.3
2024-10-26 00:00:00,1.8723,1.8723,1.8482,1.8573,82751.5
2024-10-26 00:15:00,1.8574,1.8706,1.8504,1.8648,40068.1
2024-10-26 00:30:00,1.8654,1.8755,1.8625,1.8722,30616.5
2024-10-26 00:45:00,1.8729,1.875,1.8653,1.8657,20980.9
2024-10-26 01:00:00,1.8657,1.8721,1.8557,1.8578,21129.4
2024-10-26 01:15:00,1.8578,1.8746,1.8558,1.8718,16298.1
2024-10-26 01:30:00,1.8712,1.873,1.8633,1.8725,13814.6
2024-10-26 01:45:00,1.873,1.8781,1.8721,1.8737,11246.7
2024-10-26 02:00:00,1.873,1.876,1.8638,1.871,22077.7
2024-10-26 02:15:00,1.8701,1.8816,1.8682,1.8769,12287.8
2024-10-26 02:30:00,1.8777,1.8876,1.8741,1.8866,13767.0
2024-10-26 02:45:00,1.8868,1.8877,1.875,1.8776,23969.1
2024-10-26 03:00:00,1.8777,1.8806,1.875,1.8799,12380.3
2024-10-26 03:15:00,1.8798,1.888,1.8765,1.8868,19696.0
2024-10-26 03:30:00,1.8875,1.889,1.8836,1.889,40526.9
2024-10-26 03:45:00,1.8888,1.8891,1.884,1.8875,13831.4
2024-10-26 04:00:00,1.8873,1.8898,1.8839,1.8849,15560.7
