time,open,high,low,close,volume
2024-10-23 05:00:00,0.977,0.979,0.967,0.969,127563.0
2024-10-23 05:15:00,0.969,0.97,0.955,0.959,240694.0
2024-10-23 05:30:00,0.959,0.961,0.955,0.958,25159.0
2024-10-23 05:45:00,0.958,0.961,0.954,0.956,47014.0
2024-10-23 06:00:00,0.956,0.959,0.954,0.959,32779.0
2024-10-23 06:15:00,0.959,0.963,0.958,0.963,32782.0
2024-10-23 06:30:00,0.962,0.963,0.958,0.959,10819.0
2024-10-23 06:45:00,0.959,0.959,0.953,0.953,24041.0
2024-10-23 07:00:00,0.953,0.955,0.946,0.947,130363.0
2024-10-23 07:15:00,0.948,0.951,0.945,0.949,77210.0
2024-10-23 07:30:00,0.949,0.95,0.937,0.94,104008.0
2024-10-23 07:45:00,0.94,0.946,0.938,0.945,59946.0
2024-10-23 08:00:00,0.945,0.95,0.94,0.948,68366.0
2024-10-23 08:15:00,0.948,0.948,0.937,0.94,68991.0
2024-10-23 08:30:00,0.94,0.942,0.937,0.938,61102.0
2024-10-23 08:45:00,0.938,0.94,0.93,0.932,89063.0
2024-10-23 09:00:00,0.932,0.936,0.928,0.93,76074.0
2024-10-23 09:15:00,0.929,0.934,0.929,0.931,52833.0
2024-10-23 09:30:00,0.931,0.938,0.931,0.938,36973.0
2024-10-23 09:45:00,0.938,0.939,0.935,0.935,9996.0
2024-10-23 10:00:00,0.935,0.939,0.934,0.935,42330.0
2024-10-23 10:15:00,0.935,0.943,0.935,0.941,67129.0
2024-10-23 10:30:00,0.942,0.942,0.934,0.935,21195.0
2024-10-23 10:45:00,0.935,0.936,0.933,0.935,26477.0
2024-10-23 11:00:00,0.936,0.941,0.935,0.939,26171.0
2024-10-23 11:15:00,0.939,0.941,0.935,0.938,25479.0
2024-10-23 11:30:00,0.938,0.939,0.929,0.93,29529.0
2024-10-23 11:45:00,0.93,0.931,0.927,0.929,40524.0
2024-10-23 12:00:00,0.928,0.931,0.924,0.927,72667.0
2024-10-23 12:15:00,0.927,0.93,0.923,0.925,63664.0
2024-10-23 12:30:00,0.925,0.931,0.922,0.93,35163.0
2024-10-23 12:45:00,0.93,0.933,0.926,0.933,64250.0
2024-10-23 13:00:00,0.932,0.933,0.927,0.933,191547.0
2024-10-23 13:15:00,0.933,0.935,0.93,0.935,21211.0
2024-10-23 13:30:00,0.935,0.935,0.931,0.934,23995.0
2024-10-23 13:45:00,0.934,0.937,0.934,0.935,14202.0
2024-10-23 14:00:00,0.934,0.935,0.929,0.931,40421.0
2024-10-23 14:15:00,0.93,0.935,0.929,0.933,22798.0
2024-10-23 14:30:00,0.933,0.937,0.932,0.934,23936.0
2024-10-23 14:45:00,0.934,0.934,0.928,0.928,77476.0
2024-10-23 15:00:00,0.928,0.929,0.924,0.924,102073.0
2024-10-23 15:15:00,0.925,0.927,0.915,0.917,79760.0
2024-10-23 15:30:00,0.917,0.921,0.916,0.919,23407.0
2024-10-23 15:45:00,0.92,0.924,0.919,0.921,47134.0
2024-10-23 16:00:00,0.922,0.923,0.915,0.918,37345.0
2024-10-23 16:15:00,0.917,0.92,0.914,0.916,35766.0
2024-10-23 16:30:00,0.916,0.921,0.916,0.919,21349.0
2024-10-23 16:45:00,0.919,0.919,0.91,0.912,78574.0
2024-10-23 17:00:00,0.912,0.919,0.911,0.917,27406.0
2024-10-23 17:15:00,0.919,0.921,0.916,0.917,33342.0
2024-10-23 17:30:00,0.918,0.918,0.912,0.915,31225.0
2024-10-23 17:45:00,0.914,0.916,0.907,0.908,30870.0
2024-10-23 18:00:00,0.908,0.91,0.897,0.906,128510.0
2024-10-23 18:15:00,0.905,0.909,0.901,0.906,35473.0
2024-10-23 18:30:00,0.905,0.908,0.904,0.907,35211.0
2024-10-23 18:45:00,0.908,0.916,0.906,0.914,78499.0
2024-10-23 19:00:00,0.914,0.923,0.912,0.914,108700.0
2024-10-23 19:15:00,0.914,0.919,0.913,0.919,22858.0
2024-10-23 19:30:00,0.919,0.921,0.913,0.92,30037.0
2024-10-23 19:45:00,0.921,0.923,0.918,0.923,30739.0
2024-10-23 20:00:00,0.923,0.926,0.92,0.922,24887.0
2024-10-23 20:15:00,0.923,0.928,0.923,0.925,12923.0
2024-10-23 20:30:00,0.925,0.929,0.924,0.927,35637.0
2024-10-23 20:45:00,0.926,0.928,0.925,0.928,11267.0
2024-10-23 21:00:00,0.928,0.929,0.925,0.928,8957.0
2024-10-23 21:15:00,0.928,0.928,0.926,0.927,8497.0
2024-10-23 21:30:00,0.927,0.929,0.924,0.928,17222.0
2024-10-23 21:45:00,0.928,0.928,0.926,0.926,7784.0
2024-10-23 22:00:00,0.927,0.928,0.924,0.928,16604.0
2024-10-23 22:15:00,0.927,0.928,0.925,0.926,11727.0
2024-10-23 22:30:00,0.925,0.93,0.925,0.93,12737.0
2024-10-23 22:45:00,0.93,0.931,0.927,0.928,17366.0
2024-10-23 23:00:00,0.928,0.933,0.926,0.932,32274.0
2024-10-23 23:15:00,0.931,0.931,0.926,0.927,28798.0
2024-10-23 23:30:00,0.927,0.93,0.926,0.929,8717.0
2024-10-23 23:45:00,0.929,0.93,0.927,0.927,3008.0
2024-10-24 00:00:00,0.928,0.93,0.926,0.926,15835.0
2024-10-24 00:15:00,0.926,0.927,0.92,0.921,26796.0
2024-10-24 00:30:00,0.92,0.93,0.92,0.93,54224.0
2024-10-24 00:45:00,0.93,0.942,0.929,0.941,73550.0
2024-10-24 01:00:00,0.942,0.946,0.94,0.943,56458.0
2024-10-24 01:15:00,0.944,0.946,0.939,0.942,62845.0
2024-10-24 01:30:00,0.943,0.943,0.936,0.937,17185.0
2024-10-24 01:45:00,0.937,0.94,0.936,0.938,10045.0
2024-10-24 02:00:00,0.938,0.94,0.934,0.936,13990.0
2024-10-24 02:15:00,0.936,0.944,0.936,0.943,19637.0
2024-10-24 02:30:00,0.943,0.945,0.94,0.94,18932.0
2024-10-24 02:45:00,0.941,0.946,0.94,0.944,8758.0
2024-10-24 03:00:00,0.944,0.948,0.944,0.947,17844.0
2024-10-24 03:15:00,0.947,0.95,0.945,0.948,21411.0
2024-10-24 03:30:00,0.947,0.947,0.942,0.947,25501.0
2024-10-24 03:45:00,0.946,0.946,0.941,0.943,23033.0
2024-10-24 04:00:00,0.942,0.946,0.941,0.943,15047.0
2024-10-24 04:15:00,0.943,0.945,0.94,0.945,34388.0
2024-10-24 04:30:00,0.945,0.946,0.942,0.946,13465.0
2024-10-24 04:45:00,0.946,0.949,0.944,0.947,11568.0
2024-10-24 05:00:00,0.947,0.95,0.944,0.949,16419.0
2024-10-24 05:15:00,0.948,0.951,0.947,0.948,20778.0
2024-10-24 05:30:00,0.948,0.949,0.944,0.946,26933.0
2024-10-24 05:45:00,0.946,0.949,0.944,0.947,12221.0
2024-10-24 06:00:00,0.947,0.951,0.946,0.949,19150.0
