time,open,high,low,close,volume
2024-10-23 06:45:00,0.3636,0.3636,0.3609,0.3613,126039.0
2024-10-23 07:00:00,0.3612,0.3615,0.3586,0.3592,340155.0
2024-10-23 07:15:00,0.3591,0.3605,0.358,0.3589,294700.0
2024-10-23 07:30:00,0.3589,0.359,0.3568,0.3572,300448.0
2024-10-23 07:45:00,0.3571,0.3585,0.3566,0.3578,196948.0
2024-10-23 08:00:00,0.3579,0.3609,0.3561,0.3597,439298.0
2024-10-23 08:15:00,0.3597,0.3598,0.3571,0.3575,168212.0
2024-10-23 08:30:00,0.3574,0.3582,0.3566,0.3574,101542.0
2024-10-23 08:45:00,0.3573,0.3574,0.353,0.3546,793597.0
2024-10-23 09:00:00,0.3545,0.3558,0.3524,0.3534,521349.0
2024-10-23 09:15:00,0.3533,0.3547,0.3526,0.3533,485290.0
2024-10-23 09:30:00,0.3533,0.3561,0.3533,0.3558,238754.0
2024-10-23 09:45:00,0.3557,0.3567,0.3554,0.3557,73321.0
2024-10-23 10:00:00,0.3557,0.3562,0.3551,0.3559,142027.0
2024-10-23 10:15:00,0.3559,0.3574,0.3557,0.3572,105315.0
2024-10-23 10:30:00,0.3571,0.3573,0.3548,0.3551,64516.0
2024-10-23 10:45:00,0.3551,0.3553,0.3534,0.3541,87734.0
2024-10-23 11:00:00,0.3541,0.3554,0.3536,0.3544,92212.0
2024-10-23 11:15:00,0.3544,0.3554,0.3542,0.355,211176.0
2024-10-23 11:30:00,0.3551,0.3556,0.3525,0.3527,175817.0
2024-10-23 11:45:00,0.3529,0.3536,0.3522,0.3529,176070.0
2024-10-23 12:00:00,0.353,0.3542,0.3517,0.3527,296826.0
2024-10-23 12:15:00,0.3527,0.3544,0.352,0.3532,166752.0
2024-10-23 12:30:00,0.3532,0.3555,0.3517,0.3549,257268.0
2024-10-23 12:45:00,0.3548,0.3562,0.3541,0.355,299509.0
2024-10-23 13:00:00,0.3549,0.3569,0.3547,0.3568,199988.0
2024-10-23 13:15:00,0.3568,0.3573,0.356,0.357,176730.0
2024-10-23 13:30:00,0.357,0.3575,0.3562,0.3571,126535.0
2024-10-23 13:45:00,0.3569,0.3584,0.3569,0.3573,262153.0
2024-10-23 14:00:00,0.3575,0.3577,0.355,0.3559,221775.0
2024-10-23 14:15:00,0.3559,0.3576,0.3552,0.3573,111019.0
2024-10-23 14:30:00,0.3573,0.3585,0.3567,0.3579,122773.0
2024-10-23 14:45:00,0.358,0.358,0.3552,0.3558,193477.0
2024-10-23 15:00:00,0.3556,0.3564,0.3549,0.3555,502459.0
2024-10-23 15:15:00,0.3555,0.3563,0.354,0.3546,1803451.0
2024-10-23 15:30:00,0.3547,0.3556,0.3541,0.3548,879242.0
2024-10-23 15:45:00,0.3549,0.3556,0.3542,0.3552,495602.0
2024-10-23 16:00:00,0.3552,0.3555,0.354,0.3544,853671.0
2024-10-23 16:15:00,0.3544,0.355,0.3539,0.3546,441876.0
2024-10-23 16:30:00,0.3546,0.356,0.3545,0.355,507497.0
2024-10-23 16:45:00,0.3549,0.3552,0.3539,0.3541,635904.0
2024-10-23 17:00:00,0.3541,0.3558,0.3538,0.3553,650868.0
2024-10-23 17:15:00,0.3552,0.3557,0.3548,0.3555,271042.0
2024-10-23 17:30:00,0.3554,0.3554,0.354,0.3543,349482.0
2024-10-23 17:45:00,0.3542,0.3544,0.3483,0.3524,6230873.0
2024-10-23 18:00:00,0.3524,0.3524,0.3456,0.3495,1999532.0
2024-10-23 18:15:00,0.3495,0.3512,0.3472,0.3501,432149.0
2024-10-23 18:30:00,0.3499,0.3608,0.3488,0.3584,1478903.0
2024-10-23 18:45:00,0.3585,0.3639,0.3574,0.3609,1846190.0
2024-10-23 19:00:00,0.3608,0.3642,0.359,0.3601,819653.0
2024-10-23 19:15:00,0.36,0.3648,0.3597,0.3642,354758.0
2024-10-23 19:30:00,0.3643,0.3649,0.3615,0.3645,775980.0
2024-10-23 19:45:00,0.3644,0.3779,0.3638,0.3724,3263027.0
2024-10-23 20:00:00,0.3723,0.375,0.3704,0.3748,1021134.0
2024-10-23 20:15:00,0.3747,0.3827,0.3747,0.3797,2640269.0
2024-10-23 20:30:00,0.3797,0.3857,0.3764,0.3778,2434925.0
2024-10-23 20:45:00,0.3779,0.3792,0.3766,0.3775,683475.0
2024-10-23 21:00:00,0.3775,0.3799,0.3746,0.3766,1163241.0
2024-10-23 21:15:00,0.3767,0.3786,0.3765,0.3785,416865.0
2024-10-23 21:30:00,0.3785,0.3809,0.3764,0.3764,847395.0
2024-10-23 21:45:00,0.3765,0.3766,0.3731,0.3738,495498.0
2024-10-23 22:00:00,0.3737,0.3769,0.3737,0.3765,216481.0
2024-10-23 22:15:00,0.3764,0.3769,0.3735,0.3744,743132.0
2024-10-23 22:30:00,0.3745,0.3783,0.3743,0.3777,770271.0
2024-10-23 22:45:00,0.3778,0.3781,0.3743,0.3744,339007.0
2024-10-23 23:00:00,0.3744,0.3792,0.3738,0.3784,547532.0
2024-10-23 23:15:00,0.3783,0.3797,0.3779,0.3782,270594.0
2024-10-23 23:30:00,0.3783,0.3792,0.3776,0.378,311818.0
2024-10-23 23:45:00,0.378,0.3793,0.378,0.3781,267773.0
2024-10-24 00:00:00,0.3782,0.3786,0.3762,0.3777,477867.0
2024-10-24 00:15:00,0.3776,0.3779,0.3728,0.374,555130.0
2024-10-24 00:30:00,0.374,0.3787,0.3727,0.3784,750246.0
2024-10-24 00:45:00,0.3783,0.3836,0.3779,0.383,714382.0
2024-10-24 01:00:00,0.383,0.3851,0.3814,0.3838,667973.0
2024-10-24 01:15:00,0.3838,0.3842,0.3807,0.3815,387638.0
2024-10-24 01:30:00,0.3816,0.3826,0.3806,0.3816,284186.0
2024-10-24 01:45:00,0.3816,0.3825,0.3806,0.3819,181881.0
2024-10-24 02:00:00,0.382,0.3829,0.3801,0.3817,327068.0
2024-10-24 02:15:00,0.3817,0.3842,0.3817,0.384,275813.0
2024-10-24 02:30:00,0.384,0.3851,0.3827,0.3847,444916.0
2024-10-24 02:45:00,0.3847,0.3867,0.384,0.3867,402356.0
2024-10-24 03:00:00,0.3867,0.3867,0.3822,0.3829,899564.0
2024-10-24 03:15:00,0.3827,0.3839,0.3819,0.3836,387623.0
2024-10-24 03:30:00,0.3836,0.3845,0.3825,0.3841,297473.0
2024-10-24 03:45:00,0.384,0.3843,0.3832,0.3834,223645.0
2024-10-24 04:00:00,0.3831,0.3842,0.3827,0.3828,183299.0
2024-10-24 04:15:00,0.3828,0.3858,0.382,0.3857,209845.0
2024-10-24 04:30:00,0.3855,0.3857,0.3825,0.3829,352329.0
2024-10-24 04:45:00,0.3829,0.3834,0.3822,0.3827,224867.0
2024-10-24 05:00:00,0.3828,0.3839,0.3819,0.3819,292983.0
2024-10-24 05:15:00,0.382,0.3826,0.3794,0.3798,483278.0
2024-10-24 05:30:00,0.3798,0.38,0.3788,0.3795,251430.0
2024-10-24 05:45:00,0.3795,0.38,0.3781,0.3786,197396.0
2024-10-24 06:00:00,0.3786,0.3808,0.3786,0.3803,284702.0
2024-10-24 06:15:00,0.3804,0.3805,0.3787,0.3788,124266.0
2024-10-24 06:30:00,0.3787,0.3787,0.3757,0.3758,588245.0
2024-10-24 06:45:00,0.3759,0.3762,0.3739,0.3742,375420.0
2024-10-24 07:00:00,0.3741,0.3758,0.3735,0.3752,241918.0
2024-10-24 07:15:00,0.375,0.3756,0.3722,0.3732,361754.0
2024-10-24 07:30:00,0.3734,0.3743,0.3721,0.3721,418300.0
2024-10-24 07:45:00,0.3724,0.3724,0.3703,0.3709,415487.0
2024-10-24 08:00:00,0.371,0.3735,0.3704,0.3731,280449.0
2024-10-24 08:15:00,0.373,0.3737,0.3712,0.3722,175466.0
2024-10-24 08:30:00,0.3723,0.3731,0.369,0.3694,487240.0
2024-10-24 08:45:00,0.3695,0.3696,0.366,0.3661,620514.0
2024-10-24 09:00:00,0.3662,0.3694,0.3643,0.3686,677602.0
2024-10-24 09:15:00,0.3685,0.3705,0.3674,0.3702,333544.0
2024-10-24 09:30:00,0.3702,0.3707,0.367,0.367,214217.0
2024-10-24 09:45:00,0.3669,0.3681,0.3663,0.3674,154837.0
2024-10-24 10:00:00,0.3675,0.3698,0.3672,0.3696,208281.0
2024-10-24 10:15:00,0.3698,0.3715,0.3696,0.3711,216017.0
2024-10-24 10:30:00,0.3711,0.373,0.3708,0.3709,297781.0
2024-10-24 10:45:00,0.3711,0.3715,0.3698,0.3712,143868.0
2024-10-24 11:00:00,0.3713,0.3719,0.3708,0.3711,170088.0
2024-10-24 11:15:00,0.3713,0.3739,0.3712,0.3732,339189.0
2024-10-24 11:30:00,0.3731,0.3751,0.3726,0.3739,223644.0
2024-10-24 11:45:00,0.3739,0.3749,0.3736,0.3749,272166.0
2024-10-24 12:00:00,0.3749,0.3757,0.3741,0.375,297293.0
2024-10-24 12:15:00,0.3752,0.3758,0.3732,0.374,364602.0
2024-10-24 12:30:00,0.374,0.3747,0.3727,0.3738,220369.0
2024-10-24 12:45:00,0.3739,0.3759,0.3737,0.3746,204068.0
2024-10-24 13:00:00,0.3748,0.3755,0.3732,0.3749,216517.0
2024-10-24 13:15:00,0.3749,0.3755,0.3726,0.3726,216977.0
2024-10-24 13:30:00,0.3727,0.3746,0.3716,0.3736,570447.0
2024-10-24 13:45:00,0.3736,0.3745,0.3714,0.3735,308270.0
2024-10-24 14:00:00,0.3734,0.3737,0.3699,0.371,341352.0
2024-10-24 14:15:00,0.3712,0.3768,0.371,0.3735,1326556.0
2024-10-24 14:30:00,0.3737,0.3799,0.3733,0.3781,615996.0
2024-10-24 14:45:00,0.378,0.3787,0.3752,0.3771,475489.0
2024-10-24 15:00:00,0.3772,0.3795,0.3762,0.3792,371374.0
2024-10-24 15:15:00,0.3792,0.38,0.3767,0.379,505299.0
2024-10-24 15:30:00,0.3791,0.3818,0.3785,0.3807,628880.0
2024-10-24 15:45:00,0.3809,0.3825,0.3784,0.3805,415961.0
2024-10-24 16:00:00,0.3808,0.3832,0.3783,0.3788,532128.0
2024-10-24 16:15:00,0.379,0.3814,0.3789,0.381,373278.0
2024-10-24 16:30:00,0.3809,0.3832,0.3805,0.3825,331734.0
2024-10-24 16:45:00,0.3826,0.3848,0.3823,0.3841,450573.0
2024-10-24 17:00:00,0.3841,0.3842,0.381,0.3813,462946.0
2024-10-24 17:15:00,0.3813,0.3824,0.3805,0.3805,201358.0
2024-10-24 17:30:00,0.3805,0.3833,0.3803,0.3828,150297.0
2024-10-24 17:45:00,0.3827,0.3832,0.3811,0.3816,125372.0
2024-10-24 18:00:00,0.3813,0.3829,0.3812,0.3826,135179.0
2024-10-24 18:15:00,0.3825,0.3933,0.3819,0.3929,3287690.0
2024-10-24 18:30:00,0.3924,0.3948,0.3896,0.3906,1719968.0
2024-10-24 18:45:00,0.3906,0.3917,0.3887,0.3916,698846.0
2024-10-24 19:00:00,0.3916,0.3916,0.389,0.391,453724.0
2024-10-24 19:15:00,0.391,0.3933,0.3906,0.392,650262.0
2024-10-24 19:30:00,0.3923,0.3951,0.391,0.394,829995.0
2024-10-24 19:45:00,0.3939,0.3947,0.3929,0.3939,475066.0
2024-10-24 20:00:00,0.3939,0.3942,0.3909,0.3915,708707.0
2024-10-24 20:15:00,0.3915,0.3919,0.3887,0.3896,433756.0
2024-10-24 20:30:00,0.3896,0.3908,0.3873,0.3902,703325.0
2024-10-24 20:45:00,0.3901,0.3903,0.3889,0.3895,157716.0
2024-10-24 21:00:00,0.3895,0.3916,0.3878,0.3911,598573.0
2024-10-24 21:15:00,0.3911,0.3914,0.3897,0.3907,439436.0
2024-10-24 21:30:00,0.3906,0.391,0.3883,0.3884,147461.0
2024-10-24 21:45:00,0.3884,0.3885,0.3872,0.3878,121981.0
2024-10-24 22:00:00,0.3876,0.3889,0.3869,0.3877,141702.0
2024-10-24 22:15:00,0.3877,0.3881,0.3857,0.3864,286139.0
2024-10-24 22:30:00,0.3864,0.3867,0.3852,0.3855,215415.0
2024-10-24 22:45:00,0.3857,0.3863,0.3839,0.3846,280799.0
2024-10-24 23:00:00,0.3847,0.3848,0.3782,0.3808,1761914.0
2024-10-24 23:15:00,0.3808,0.3814,0.3785,0.3789,507358.0
2024-10-24 23:30:00,0.3789,0.3808,0.3783,0.3805,315437.0
2024-10-24 23:45:00,0.3805,0.3812,0.3803,0.3807,116694.0
2024-10-25 00:00:00,0.3808,0.3829,0.3805,0.3827,626661.0
2024-10-25 00:15:00,0.3829,0.3836,0.3818,0.3829,147178.0
2024-10-25 00:30:00,0.3833,0.3833,0.3801,0.3805,326467.0
2024-10-25 00:45:00,0.3806,0.3817,0.3796,0.3809,237756.0
2024-10-25 01:00:00,0.3809,0.3815,0.3798,0.3802,204991.0
