time,open,high,low,close,volume
2025-01-20 09:30:00,11.0,11.481,9.57,10.662,11384199.07
2025-01-20 10:00:00,10.661,11.694,10.502,11.531,6505901.82
2025-01-20 10:30:00,11.53,11.642,10.5,10.848,5569369.25
2025-01-20 11:00:00,10.848,11.084,9.98,10.085,5022303.42
2025-01-20 11:30:00,10.086,10.163,9.381,9.593,7821186.27
2025-01-20 12:00:00,9.592,10.11,9.136,9.201,7262771.33
2025-01-20 12:30:00,9.201,9.351,7.889,8.561,14202358.6
2025-01-20 13:00:00,8.565,8.785,7.75,7.895,9234526.95
2025-01-20 13:30:00,7.894,8.379,7.41,7.9,10538269.19
2025-01-20 14:00:00,7.9,8.933,7.9,8.797,10134133.27
2025-01-20 14:30:00,8.797,9.362,8.4,9.233,7625866.53
2025-01-20 15:00:00,9.233,9.279,8.204,8.529,10643229.07
2025-01-20 15:30:00,8.527,8.632,7.444,7.696,12199509.69
2025-01-20 16:00:00,7.7,8.094,7.388,7.781,10844409.13
2025-01-20 16:30:00,7.778,8.191,7.635,8.042,7911168.37
2025-01-20 17:00:00,8.041,8.1,6.145,6.351,20168208.37
2025-01-20 17:30:00,6.351,6.516,4.403,5.496,35827348.93
2025-01-20 18:00:00,5.496,5.864,5.118,5.815,15761639.45
2025-01-20 18:30:00,5.815,6.244,5.67,5.949,10052187.54
2025-01-20 19:00:00,5.95,5.955,5.07,5.212,11227650.65
2025-01-20 19:30:00,5.214,5.884,5.018,5.53,11571326.47
2025-01-20 20:00:00,5.529,5.679,5.232,5.401,7403917.87
2025-01-20 20:30:00,5.4,5.575,5.215,5.312,5683183.75
2025-01-20 21:00:00,5.313,5.481,5.002,5.094,6530256.55
2025-01-20 21:30:00,5.094,5.107,3.948,3.994,24518442.45
2025-01-20 22:00:00,3.991,4.618,3.635,4.341,21343965.45
2025-01-20 22:30:00,4.34,4.61,4.041,4.579,9565379.36
2025-01-20 23:00:00,4.582,4.597,4.032,4.145,9257371.11
2025-01-20 23:30:00,4.144,4.174,3.681,3.774,14573708.59
2025-01-21 00:00:00,3.774,4.088,3.611,3.845,13920030.19
2025-01-21 00:30:00,3.845,3.964,3.281,3.37,13516387.8
2025-01-21 01:00:00,3.369,3.695,3.345,3.462,12951874.68
2025-01-21 01:30:00,3.462,3.593,3.34,3.55,10087968.48
2025-01-21 02:00:00,3.55,4.369,3.535,4.214,17793551.37
2025-01-21 02:30:00,4.216,4.315,3.956,4.257,10338497.02
2025-01-21 03:00:00,4.257,4.5,4.19,4.267,8297186.01
2025-01-21 03:30:00,4.268,4.337,3.963,4.012,6889929.64
2025-01-21 04:00:00,4.012,4.05,3.602,3.638,9902641.04
2025-01-21 04:30:00,3.636,3.793,3.487,3.745,8475195.98
2025-01-21 05:00:00,3.747,3.947,3.556,3.926,7133384.94
2025-01-21 05:30:00,3.927,4.194,3.778,3.953,8018836.82
2025-01-21 06:00:00,3.952,4.265,3.856,4.176,7160836.27
2025-01-21 06:30:00,4.174,4.244,4.065,4.21,5279536.12
2025-01-21 07:00:00,4.208,4.208,4.005,4.13,4183430.61
2025-01-21 07:30:00,4.132,4.475,4.042,4.431,6006599.52
2025-01-21 08:00:00,4.43,4.736,4.26,4.551,13630162.13
2025-01-21 08:30:00,4.55,5.134,4.45,5.014,12423902.9
2025-01-21 09:00:00,5.016,5.086,4.566,4.677,10176088.71
2025-01-21 09:30:00,4.679,4.71,4.38,4.418,7822064.07
2025-01-21 10:00:00,4.416,4.52,4.151,4.459,9236034.21
2025-01-21 10:30:00,4.458,4.589,4.348,4.506,6027087.72
2025-01-21 11:00:00,4.506,4.777,4.462,4.61,5991794.78
2025-01-21 11:30:00,4.609,4.67,4.352,4.415,6271022.57
2025-01-21 12:00:00,4.415,4.491,4.233,4.457,4917266.14
2025-01-21 12:30:00,4.455,4.54,4.305,4.386,4069601.13
2025-01-21 13:00:00,4.386,4.408,4.174,4.261,5255987.8
2025-01-21 13:30:00,4.26,4.355,4.148,4.243,4119144.5
2025-01-21 14:00:00,4.242,4.252,4.086,4.222,4493210.37
2025-01-21 14:30:00,4.223,4.362,4.041,4.256,9230855.59
2025-01-21 15:00:00,4.256,4.269,3.993,4.098,7134662.76
2025-01-21 15:30:00,4.098,4.15,4.015,4.135,3459390.25
2025-01-21 16:00:00,4.133,4.325,4.105,4.176,4875032.94
2025-01-21 16:30:00,4.175,4.209,3.864,3.973,5919356.58
2025-01-21 17:00:00,3.972,4.029,3.738,3.852,6870208.72
2025-01-21 17:30:00,3.85,3.969,3.741,3.912,5645530.42
2025-01-21 18:00:00,3.913,4.089,3.806,4.076,4642131.21
2025-01-21 18:30:00,4.074,4.5,4.036,4.307,10256935.41
2025-01-21 19:00:00,4.307,4.41,4.15,4.189,6639124.87
2025-01-21 19:30:00,4.189,4.216,4.029,4.186,4521452.46
2025-01-21 20:00:00,4.188,4.639,4.158,4.496,6165496.42
2025-01-21 20:30:00,4.496,4.543,4.334,4.395,5343254.13
2025-01-21 21:00:00,4.396,4.498,4.333,4.413,3337455.02
2025-01-21 21:30:00,4.412,5.016,4.342,4.984,7398091.03
2025-01-21 22:00:00,4.981,4.99,4.611,4.633,7282098.87
2025-01-21 22:30:00,4.635,4.65,4.073,4.085,6565704.32
2025-01-21 23:00:00,4.085,4.344,3.62,4.151,14357124.87
2025-01-21 23:30:00,4.151,4.279,4.086,4.162,4979928.31
2025-01-22 00:00:00,4.162,4.233,3.956,4.205,4989605.14
2025-01-22 00:30:00,4.203,4.266,4.114,4.21,3266977.98
2025-01-22 01:00:00,4.21,4.216,3.991,4.048,3247635.09
2025-01-22 01:30:00,4.05,4.144,3.942,4.088,2908065.37
2025-01-22 02:00:00,4.087,4.17,4.056,4.094,1821088.69
2025-01-22 02:30:00,4.094,4.116,3.98,4.019,2126964.38
2025-01-22 03:00:00,4.02,4.042,3.9,3.99,3175376.71
2025-01-22 03:30:00,3.99,4.014,3.924,3.97,1441495.82
2025-01-22 04:00:00,3.969,3.978,3.802,3.873,2673071.91
2025-01-22 04:30:00,3.874,3.945,3.82,3.923,2462119.73
2025-01-22 05:00:00,3.922,4.165,3.918,4.08,4968175.83
2025-01-22 05:30:00,4.08,4.127,4.023,4.104,2207734.85
2025-01-22 06:00:00,4.103,4.12,3.973,4.02,3109015.47
2025-01-22 06:30:00,4.02,4.04,3.95,4.03,1999916.31
2025-01-22 07:00:00,4.029,4.133,4.001,4.037,2679646.42
2025-01-22 07:30:00,4.037,4.117,4.0,4.043,2471382.87
2025-01-22 08:00:00,4.044,4.054,3.903,3.941,3267113.32
2025-01-22 08:30:00,3.94,3.97,3.852,3.912,2856321.53
2025-01-22 09:00:00,3.912,4.009,3.856,4.003,2292008.24
2025-01-22 09:30:00,4.003,4.008,3.908,3.933,1896227.92
2025-01-22 10:00:00,3.933,3.966,3.907,3.962,1314514.19
2025-01-22 10:30:00,3.962,4.05,3.958,4.01,2147726.0
2025-01-22 11:00:00,4.009,4.1,3.988,3.995,2454369.51
2025-01-22 11:30:00,3.994,4.083,3.99,4.016,1661474.39
2025-01-22 12:00:00,4.017,4.07,3.93,3.981,2554523.42
2025-01-22 12:30:00,3.982,4.019,3.95,4.01,1372655.41
2025-01-22 13:00:00,4.01,4.062,3.955,4.022,2533762.33
2025-01-22 13:30:00,4.021,4.024,3.857,3.895,3180548.0
2025-01-22 14:00:00,3.895,3.974,3.801,3.951,4400729.26
2025-01-22 14:30:00,3.949,3.973,3.832,3.903,3058454.48
2025-01-22 15:00:00,3.904,3.905,3.678,3.739,6810088.95
2025-01-22 15:30:00,3.739,3.77,3.674,3.713,4233853.52
2025-01-22 16:00:00,3.714,3.747,3.62,3.734,4840422.29
2025-01-22 16:30:00,3.733,3.778,3.652,3.729,2720006.56
2025-01-22 17:00:00,3.729,3.848,3.719,3.753,2455983.19
2025-01-22 17:30:00,3.753,3.831,3.727,3.788,1738785.82
2025-01-22 18:00:00,3.788,3.843,3.679,3.712,3793764.61
2025-01-22 18:30:00,3.713,3.745,3.607,3.64,3290783.42
2025-01-22 19:00:00,3.64,3.691,3.558,3.62,4106814.48
