time,open,high,low,close,volume
2025-03-31 08:45:00,12.31,12.64,11.64,12.17,136641.76
2025-03-31 09:00:00,12.17,13.8,12.07,13.55,285698.84
2025-03-31 09:15:00,13.55,13.7,13.05,13.45,200926.05
2025-03-31 09:30:00,13.43,15.6,13.31,15.6,720384.34
2025-03-31 09:45:00,15.6,15.61,14.22,14.55,641318.28
2025-03-31 10:00:00,14.55,14.8,13.68,13.97,431855.85
2025-03-31 10:15:00,13.95,14.16,13.61,13.93,257843.19
2025-03-31 10:30:00,13.92,14.31,13.75,13.94,245760.13
2025-03-31 10:45:00,13.94,14.1,13.65,13.91,198706.73
2025-03-31 11:00:00,13.92,13.95,13.0,13.21,354517.02
2025-03-31 11:15:00,13.21,13.77,13.14,13.61,223438.84
2025-03-31 11:30:00,13.61,14.66,13.56,13.87,498446.96
2025-03-31 11:45:00,13.87,14.5,13.83,14.33,319588.9
2025-03-31 12:00:00,14.33,14.5,13.65,13.81,355161.24
2025-03-31 12:15:00,13.81,14.25,13.57,13.85,267019.26
2025-03-31 12:30:00,13.85,14.05,13.48,13.58,206130.93
2025-03-31 12:45:00,13.58,13.77,13.25,13.41,216494.75
2025-03-31 13:00:00,13.41,13.72,13.18,13.57,201583.25
2025-03-31 13:15:00,13.58,13.69,13.2,13.31,101156.26
2025-03-31 13:30:00,13.31,13.41,12.29,12.67,452145.2
2025-03-31 13:45:00,12.66,12.94,12.54,12.68,139664.04
2025-03-31 14:00:00,12.66,12.93,12.52,12.75,102372.58
2025-03-31 14:15:00,12.75,12.79,12.32,12.54,99687.57
2025-03-31 14:30:00,12.55,12.75,12.44,12.61,82656.58
2025-03-31 14:45:00,12.61,12.86,12.32,12.43,114463.49
2025-03-31 15:00:00,12.44,12.8,12.21,12.72,140543.74
2025-03-31 15:15:00,12.71,13.36,12.58,12.93,245520.05
2025-03-31 15:30:00,12.93,12.99,12.62,12.86,72225.96
2025-03-31 15:45:00,12.86,14.0,12.85,13.64,298022.4
2025-03-31 16:00:00,13.64,13.7,12.95,13.21,227093.71
2025-03-31 16:15:00,13.2,13.59,13.05,13.21,150840.59
2025-03-31 16:30:00,13.21,13.36,12.56,12.96,146802.4
2025-03-31 16:45:00,12.96,13.13,12.72,12.94,85734.92
2025-03-31 17:00:00,12.94,13.02,12.73,12.8,64403.25
2025-03-31 17:15:00,12.79,13.37,12.76,13.13,121102.16
2025-03-31 17:30:00,13.12,13.52,13.11,13.31,116717.68
2025-03-31 17:45:00,13.31,13.8,13.11,13.54,155729.63
2025-03-31 18:00:00,13.54,13.7,13.21,13.32,130683.45
2025-03-31 18:15:00,13.33,13.38,12.98,13.25,155141.14
2025-03-31 18:30:00,13.27,13.4,13.15,13.25,69571.24
2025-03-31 18:45:00,13.25,13.32,12.96,13.17,65466.0
2025-03-31 19:00:00,13.17,13.19,12.68,13.12,139418.55
2025-03-31 19:15:00,13.12,13.39,12.94,13.06,103723.68
2025-03-31 19:30:00,13.05,13.29,12.96,13.08,59933.42
2025-03-31 19:45:00,13.09,13.23,12.98,13.11,37636.51
2025-03-31 20:00:00,13.1,13.1,12.86,13.02,52772.83
2025-03-31 20:15:00,13.01,13.2,12.92,13.16,49260.1
2025-03-31 20:30:00,13.15,13.25,12.92,13.0,36199.74
2025-03-31 20:45:00,12.99,13.27,12.96,13.04,55431.31
2025-03-31 21:00:00,13.04,13.1,12.77,12.91,57201.12
2025-03-31 21:15:00,12.9,13.0,12.8,12.9,28892.43
2025-03-31 21:30:00,12.89,13.08,12.61,12.8,92786.72
2025-03-31 21:45:00,12.8,13.09,12.68,12.8,63724.04
2025-03-31 22:00:00,12.81,13.1,12.75,12.95,53284.35
2025-03-31 22:15:00,12.95,13.27,12.82,12.93,98992.66
2025-03-31 22:30:00,12.93,13.11,12.84,12.99,47194.73
2025-03-31 22:45:00,12.99,13.02,12.9,12.93,21527.09
2025-03-31 23:00:00,12.94,13.15,12.91,13.03,37289.34
2025-03-31 23:15:00,13.03,13.08,12.88,12.9,26904.8
2025-03-31 23:30:00,12.9,13.05,12.81,12.99,27457.94
2025-03-31 23:45:00,12.98,13.07,12.94,13.05,18468.36
2025-04-01 00:00:00,13.05,13.9,13.03,13.71,187247.3
2025-04-01 00:15:00,13.7,14.35,13.69,14.3,355468.01
2025-04-01 00:30:00,14.29,15.0,14.02,14.8,530537.9
2025-04-01 00:45:00,14.79,15.37,14.76,14.89,484079.95
2025-04-01 01:00:00,14.91,15.1,14.09,14.31,629093.47
2025-04-01 01:15:00,14.31,14.41,13.98,14.26,282301.96
2025-04-01 01:30:00,14.25,14.36,14.03,14.17,141989.72
2025-04-01 01:45:00,14.16,14.27,13.87,13.98,132661.58
2025-04-01 02:00:00,13.97,14.06,13.16,13.16,374395.26
2025-04-01 02:15:00,13.17,13.21,12.17,12.58,558578.92
2025-04-01 02:30:00,12.57,13.0,12.49,12.99,266791.14
2025-04-01 02:45:00,13.0,13.05,12.7,12.96,137205.32
2025-04-01 03:00:00,12.96,13.34,12.76,12.89,175855.44
2025-04-01 03:15:00,12.89,12.91,12.61,12.74,115471.98
2025-04-01 03:30:00,12.75,12.8,12.58,12.75,85708.76
2025-04-01 03:45:00,12.75,12.84,12.63,12.67,78389.07
2025-04-01 04:00:00,12.66,12.81,12.45,12.69,110424.87
2025-04-01 04:15:00,12.69,12.82,12.62,12.77,49727.78
2025-04-01 04:30:00,12.77,13.19,12.76,12.87,111230.96
2025-04-01 04:45:00,12.88,12.93,12.62,12.89,62851.88
2025-04-01 05:00:00,12.88,13.1,12.65,12.68,86432.54
2025-04-01 05:15:00,12.68,12.85,12.59,12.81,55886.14
2025-04-01 05:30:00,12.82,13.23,12.69,12.71,119115.57
2025-04-01 05:45:00,12.71,12.93,12.7,12.79,54090.37
2025-04-01 06:00:00,12.79,13.04,12.76,12.9,73573.06
2025-04-01 06:15:00,12.9,13.07,12.78,12.9,60596.45
2025-04-01 06:30:00,12.91,12.99,12.82,12.84,41349.48
2025-04-01 06:45:00,12.83,12.92,12.7,12.78,43540.65
2025-04-01 07:00:00,12.78,12.87,12.39,12.54,115062.56
2025-04-01 07:15:00,12.54,12.55,12.0,12.38,218561.98
2025-04-01 07:30:00,12.37,12.53,12.26,12.44,66927.27
2025-04-01 07:45:00,12.44,12.73,12.33,12.71,121720.34
2025-04-01 08:00:00,12.7,12.75,12.46,12.49,67026.87
2025-04-01 08:15:00,12.5,12.72,12.48,12.61,50949.9
2025-04-01 08:30:00,12.61,12.71,12.4,12.53,62928.74
2025-04-01 08:45:00,12.53,12.57,12.25,12.42,73197.57
2025-04-01 09:00:00,12.43,12.52,12.33,12.41,52355.49
2025-04-01 09:15:00,12.42,12.47,12.26,12.29,44209.31
2025-04-01 09:30:00,12.29,12.63,12.24,12.42,104558.97
2025-04-01 09:45:00,12.41,12.44,12.3,12.33,33402.14
2025-04-01 10:00:00,12.34,12.37,12.08,12.2,79543.33
2025-04-01 10:15:00,12.2,12.27,11.8,12.09,161429.49
2025-04-01 10:30:00,12.09,12.21,11.93,12.01,94480.93
2025-04-01 10:45:00,12.01,12.09,11.23,11.54,287147.45
2025-04-01 11:00:00,11.54,11.73,11.31,11.63,167098.21
2025-04-01 11:15:00,11.63,11.85,11.54,11.68,102245.03
2025-04-01 11:30:00,11.67,11.83,11.58,11.76,54240.6
2025-04-01 11:45:00,11.77,12.0,11.7,11.76,107435.48
2025-04-01 12:00:00,11.76,12.55,11.71,11.9,202773.21
2025-04-01 12:15:00,11.91,12.17,11.75,11.82,198257.82
2025-04-01 12:30:00,11.81,11.92,11.52,11.66,246178.81
2025-04-01 12:45:00,11.66,11.82,11.6,11.74,62272.7
2025-04-01 13:00:00,11.75,11.8,11.63,11.67,43951.75
2025-04-01 13:15:00,11.67,11.83,11.57,11.75,64035.05
2025-04-01 13:30:00,11.76,11.83,11.6,11.7,61595.78
2025-04-01 13:45:00,11.7,11.79,11.64,11.74,44365.55
2025-04-01 14:00:00,11.73,12.0,11.5,11.56,116872.49
2025-04-01 14:15:00,11.57,11.82,11.57,11.78,46011.73
2025-04-01 14:30:00,11.78,11.86,11.7,11.75,39819.44
2025-04-01 14:45:00,11.75,11.93,11.69,11.83,53833.73
2025-04-01 15:00:00,11.82,11.91,11.76,11.87,39910.53
2025-04-01 15:15:00,11.86,12.2,11.85,11.98,72663.34
2025-04-01 15:30:00,11.99,12.3,11.98,12.02,105936.51
2025-04-01 15:45:00,12.03,12.09,11.95,12.0,55971.8
2025-04-01 16:00:00,11.99,12.07,11.95,12.04,34465.33
2025-04-01 16:15:00,12.05,12.26,11.98,12.04,80675.93
2025-04-01 16:30:00,12.05,12.16,12.01,12.08,43887.98
2025-04-01 16:45:00,12.08,12.1,11.91,11.98,51107.26
2025-04-01 17:00:00,11.98,12.14,11.85,11.93,66731.26
2025-04-01 17:15:00,11.92,11.97,11.84,11.97,42441.24
2025-04-01 17:30:00,11.96,11.99,11.92,11.94,29817.29
2025-04-01 17:45:00,11.94,12.0,10.58,11.21,335891.06
2025-04-01 18:00:00,11.21,11.86,11.2,11.67,259156.03
2025-04-01 18:15:00,11.67,11.8,11.49,11.74,97211.73
2025-04-01 18:30:00,11.74,11.74,11.61,11.66,44422.25
2025-04-01 18:45:00,11.66,11.68,11.42,11.46,84042.19
2025-04-01 19:00:00,11.47,11.64,11.27,11.58,117166.95
2025-04-01 19:15:00,11.58,11.84,11.55,11.81,75986.76
2025-04-01 19:30:00,11.81,12.22,11.72,11.88,113366.39
2025-04-01 19:45:00,11.88,11.93,11.73,11.82,41083.91
2025-04-01 20:00:00,11.81,11.9,11.71,11.76,61936.79
2025-04-01 20:15:00,11.77,11.92,11.69,11.87,47293.74
2025-04-01 20:30:00,11.87,11.91,11.75,11.84,31822.7
2025-04-01 20:45:00,11.84,11.89,11.1,11.19,163520.25
2025-04-01 21:00:00,11.19,11.48,11.16,11.34,105134.53
2025-04-01 21:15:00,11.33,11.38,11.16,11.29,38383.61
2025-04-01 21:30:00,11.29,11.34,11.2,11.27,26021.85
2025-04-01 21:45:00,11.26,11.3,11.22,11.28,11173.9
2025-04-01 22:00:00,11.28,11.33,11.16,11.27,27096.63
2025-04-01 22:15:00,11.28,11.33,11.17,11.2,12848.57
2025-04-01 22:30:00,11.2,11.34,11.19,11.28,15407.09
2025-04-01 22:45:00,11.28,11.68,11.12,11.49,122073.78
2025-04-01 23:00:00,11.49,11.51,11.39,11.4,20810.71
2025-04-01 23:15:00,11.4,11.48,11.32,11.37,17098.45
2025-04-01 23:30:00,11.37,11.41,11.21,11.39,21453.81
2025-04-01 23:45:00,11.39,11.46,11.18,11.35,72171.8
2025-04-02 00:00:00,11.36,11.36,11.18,11.19,26711.74
2025-04-02 00:15:00,11.18,11.3,10.93,11.17,51291.06
2025-04-02 00:30:00,11.17,11.25,11.15,11.15,16311.65
2025-04-02 00:45:00,11.16,11.27,11.14,11.22,14666.94
2025-04-02 01:00:00,11.22,11.23,11.01,11.08,31252.3
2025-04-02 01:15:00,11.08,11.26,11.03,11.2,45970.35
2025-04-02 01:30:00,11.2,11.75,11.11,11.65,79470.42
2025-04-02 01:45:00,11.65,11.74,11.31,11.36,52742.25
2025-04-02 02:00:00,11.36,11.39,11.14,11.29,45253.67
2025-04-02 02:15:00,11.29,11.56,11.23,11.5,36822.96
2025-04-02 02:30:00,11.49,11.73,11.39,11.54,29035.68
2025-04-02 02:45:00,11.54,11.86,11.5,11.69,78915.04
2025-04-02 03:00:00,11.69,11.88,11.52,11.58,70588.53
2025-04-02 03:15:00,11.58,11.68,11.49,11.52,29429.72
2025-04-02 03:30:00,11.52,11.8,11.45,11.65,35598.73
2025-04-02 03:45:00,11.65,11.8,11.61,11.79,23570.33
2025-04-02 04:00:00,11.79,12.2,11.67,11.98,195981.46
2025-04-02 04:15:00,11.97,12.06,11.84,11.86,47284.23
2025-04-02 04:30:00,11.86,12.01,11.84,11.96,34776.05
2025-04-02 04:45:00,11.96,11.99,11.76,11.78,41467.06
2025-04-02 05:00:00,11.79,11.93,11.52,11.55,74036.1
2025-04-02 05:15:00,11.56,11.6,11.05,11.21,149834.35
2025-04-02 05:30:00,11.21,11.23,10.92,11.16,62282.95
2025-04-02 05:45:00,11.16,11.25,11.05,11.19,35871.2
