time,open,high,low,close,volume
2025-03-31 08:00:00,12.31,12.64,11.64,12.17,136641.76
2025-03-31 09:00:00,12.17,15.61,12.07,14.55,1848327.51
2025-03-31 10:00:00,14.55,14.8,13.61,13.91,1134165.9
2025-03-31 11:00:00,13.92,14.66,13.0,14.33,1395991.72
2025-03-31 12:00:00,14.33,14.5,13.25,13.41,1044806.18
2025-03-31 13:00:00,13.41,13.72,12.29,12.68,894548.75
2025-03-31 14:00:00,12.66,12.93,12.32,12.43,399180.22
2025-03-31 15:00:00,12.44,14.0,12.21,13.64,756312.15
2025-03-31 16:00:00,13.64,13.7,12.56,12.94,610471.62
2025-03-31 17:00:00,12.94,13.8,12.73,13.54,457952.72
2025-03-31 18:00:00,13.54,13.7,12.96,13.17,420861.83
2025-03-31 19:00:00,13.17,13.39,12.68,13.11,340712.16
2025-03-31 20:00:00,13.1,13.27,12.86,13.04,193663.98
2025-03-31 21:00:00,13.04,13.1,12.61,12.8,242604.31
2025-03-31 22:00:00,12.81,13.27,12.75,12.93,220998.83
2025-03-31 23:00:00,12.94,13.15,12.81,13.05,110120.44
2025-04-01 00:00:00,13.05,15.37,13.03,14.89,1557333.16
2025-04-01 01:00:00,14.91,15.1,13.87,13.98,1186046.73
2025-04-01 02:00:00,13.97,14.06,12.17,12.96,1336970.64
2025-04-01 03:00:00,12.96,13.34,12.58,12.67,455425.25
2025-04-01 04:00:00,12.66,13.19,12.45,12.89,334235.49
2025-04-01 05:00:00,12.88,13.23,12.59,12.79,315524.62
2025-04-01 06:00:00,12.79,13.07,12.7,12.78,219059.64
2025-04-01 07:00:00,12.78,12.87,12.0,12.71,522272.15
2025-04-01 08:00:00,12.7,12.75,12.25,12.42,254103.08
2025-04-01 09:00:00,12.43,12.63,12.24,12.33,234525.91
2025-04-01 10:00:00,12.34,12.37,11.23,11.54,622601.2
2025-04-01 11:00:00,11.54,12.0,11.31,11.76,431019.32
2025-04-01 12:00:00,11.76,12.55,11.52,11.74,709482.54
2025-04-01 13:00:00,11.75,11.83,11.57,11.74,213948.13
2025-04-01 14:00:00,11.73,12.0,11.5,11.83,256537.39
2025-04-01 15:00:00,11.82,12.3,11.76,12.0,274482.18
2025-04-01 16:00:00,11.99,12.26,11.91,11.98,210136.5
2025-04-01 17:00:00,11.98,12.14,10.58,11.21,474880.85
2025-04-01 18:00:00,11.21,11.86,11.2,11.46,484832.2
2025-04-01 19:00:00,11.47,12.22,11.27,11.82,347604.01
2025-04-01 20:00:00,11.81,11.92,11.1,11.19,304573.48
2025-04-01 21:00:00,11.19,11.48,11.16,11.28,180713.89
2025-04-01 22:00:00,11.28,11.68,11.12,11.49,177426.07
2025-04-01 23:00:00,11.49,11.51,11.18,11.35,131534.77
2025-04-02 00:00:00,11.36,11.36,10.93,11.22,108981.39
2025-04-02 01:00:00,11.22,11.75,11.01,11.36,209435.32
2025-04-02 02:00:00,11.36,11.86,11.14,11.69,190027.35
2025-04-02 03:00:00,11.69,11.88,11.45,11.79,159187.31
2025-04-02 04:00:00,11.79,12.2,11.67,11.78,319508.8
2025-04-02 05:00:00,11.79,11.93,10.92,11.19,322024.6
2025-04-02 06:00:00,11.2,11.48,11.18,11.34,175099.94
2025-04-02 07:00:00,11.33,11.56,11.28,11.38,101881.7
2025-04-02 08:00:00,11.37,11.53,11.21,11.37,87215.08
2025-04-02 09:00:00,11.38,11.71,11.38,11.54,104257.56
2025-04-02 10:00:00,11.54,11.67,11.17,11.31,141043.44
2025-04-02 11:00:00,11.32,11.43,11.18,11.3,97385.96
2025-04-02 12:00:00,11.3,11.77,11.23,11.53,148744.13
2025-04-02 13:00:00,11.54,11.57,11.27,11.41,98057.97
2025-04-02 14:00:00,11.4,11.53,10.86,11.03,199545.03
2025-04-02 15:00:00,11.03,11.26,10.93,11.03,160623.3
2025-04-02 16:00:00,11.04,11.47,10.91,11.38,173092.33
2025-04-02 17:00:00,11.38,11.73,11.04,11.15,172470.38
2025-04-02 18:00:00,11.16,11.34,11.11,11.18,65745.78
2025-04-02 19:00:00,11.19,11.46,11.18,11.43,80688.37
2025-04-02 20:00:00,11.43,11.75,11.28,11.58,159729.98
2025-04-02 21:00:00,11.58,12.06,11.5,12.04,183621.84
2025-04-02 22:00:00,12.04,12.13,10.77,11.14,297742.21
2025-04-02 23:00:00,11.14,11.14,10.65,10.84,140395.72
2025-04-03 00:00:00,10.85,11.24,10.73,11.14,105139.66
2025-04-03 01:00:00,11.14,11.24,11.03,11.17,45860.57
2025-04-03 02:00:00,11.17,11.26,11.01,11.16,45579.05
2025-04-03 03:00:00,11.17,11.25,11.07,11.11,26351.21
2025-04-03 04:00:00,11.11,11.16,10.98,11.07,56867.66
2025-04-03 05:00:00,11.07,11.32,10.82,11.02,113217.8
2025-04-03 06:00:00,11.03,11.11,10.82,10.98,99031.0
2025-04-03 07:00:00,10.98,11.03,10.6,10.69,120313.63
2025-04-03 08:00:00,10.69,10.92,10.07,10.21,188417.49
2025-04-03 09:00:00,10.21,10.32,9.86,10.15,133369.85
2025-04-03 10:00:00,10.16,10.71,10.14,10.27,192629.55
2025-04-03 11:00:00,10.28,10.98,10.1,10.36,300443.82
2025-04-03 12:00:00,10.36,10.43,10.01,10.03,89561.04
2025-04-03 13:00:00,10.04,10.31,9.97,10.22,73809.06
2025-04-03 14:00:00,10.21,10.23,9.93,9.99,78477.92
2025-04-03 15:00:00,9.99,10.13,9.88,9.96,75842.86
2025-04-03 16:00:00,9.96,10.12,9.77,10.07,124520.83
2025-04-03 17:00:00,10.07,10.17,9.96,10.04,64590.1
2025-04-03 18:00:00,10.04,10.29,10.02,10.16,95260.98
2025-04-03 19:00:00,10.16,10.6,10.15,10.39,161502.35
2025-04-03 20:00:00,10.39,10.61,10.29,10.53,90082.2
2025-04-03 21:00:00,10.52,10.56,10.36,10.46,48609.83
2025-04-03 22:00:00,10.46,10.48,10.29,10.4,37893.83
2025-04-03 23:00:00,10.4,10.51,10.3,10.35,36138.58
2025-04-04 00:00:00,10.35,10.45,10.11,10.17,53899.89
2025-04-04 01:00:00,10.18,10.27,10.01,10.09,67352.72
2025-04-04 02:00:00,10.1,10.21,10.06,10.08,50476.9
2025-04-04 03:00:00,10.08,10.17,9.93,10.1,58999.6
2025-04-04 04:00:00,10.1,10.21,9.97,10.02,48849.73
2025-04-04 05:00:00,10.02,10.2,10.0,10.17,41415.8
2025-04-04 06:00:00,10.18,10.3,10.09,10.1,39667.25
2025-04-04 07:00:00,10.1,10.31,10.09,10.25,41516.59
2025-04-04 08:00:00,10.24,10.3,10.08,10.12,57686.69
2025-04-04 09:00:00,10.12,10.13,9.95,10.03,56186.55
2025-04-04 10:00:00,10.04,10.07,9.2,9.38,285729.0
2025-04-04 11:00:00,9.37,9.54,9.36,9.38,144150.39
2025-04-04 12:00:00,9.38,9.56,9.29,9.54,95770.38
2025-04-04 13:00:00,9.55,9.66,9.44,9.65,85178.09
2025-04-04 14:00:00,9.64,9.7,9.49,9.52,79669.96
2025-04-04 15:00:00,9.51,9.89,9.51,9.76,123099.17
2025-04-04 16:00:00,9.77,9.8,9.57,9.63,60259.16
2025-04-04 17:00:00,9.63,9.89,9.52,9.88,71451.89
2025-04-04 18:00:00,9.88,9.92,9.67,9.69,65873.51
2025-04-04 19:00:00,9.69,9.88,9.67,9.79,60302.7
2025-04-04 20:00:00,9.79,9.89,9.74,9.81,50661.07
2025-04-04 21:00:00,9.81,9.84,9.68,9.73,39945.66
2025-04-04 22:00:00,9.73,9.74,9.61,9.66,40701.47
2025-04-04 23:00:00,9.66,9.68,9.32,9.41,105973.95
2025-04-05 00:00:00,9.41,9.61,9.38,9.59,90970.37
2025-04-05 01:00:00,9.59,9.77,9.55,9.57,65202.03
2025-04-05 02:00:00,9.58,9.6,9.45,9.48,42644.25
2025-04-05 03:00:00,9.47,9.56,9.38,9.39,58397.51
2025-04-05 04:00:00,9.4,9.7,9.36,9.5,138727.89
2025-04-05 05:00:00,9.5,9.89,9.48,9.76,125651.74
2025-04-05 06:00:00,9.75,10.28,9.75,9.94,221566.0
2025-04-05 07:00:00,9.94,10.07,9.87,10.02,104237.86
2025-04-05 08:00:00,10.02,10.1,9.88,9.97,63820.77
2025-04-05 09:00:00,9.97,10.02,9.81,9.9,69694.04
2025-04-05 10:00:00,9.9,11.04,9.9,10.92,371350.84
2025-04-05 11:00:00,10.91,11.75,10.71,11.61,2143754.56
2025-04-05 12:00:00,11.61,11.86,11.2,11.45,1661705.98
2025-04-05 13:00:00,11.45,11.59,10.87,10.96,1053921.6
2025-04-05 14:00:00,10.97,11.05,10.61,10.85,865806.85
2025-04-05 15:00:00,10.86,10.98,10.63,10.68,570057.35
2025-04-05 16:00:00,10.67,10.91,10.65,10.72,367991.95
2025-04-05 17:00:00,10.72,10.75,10.35,10.59,386599.14
2025-04-05 18:00:00,10.6,10.69,10.54,10.58,161398.51
2025-04-05 19:00:00,10.58,10.77,10.53,10.66,246353.75
2025-04-05 20:00:00,10.65,10.65,10.35,10.45,192095.09
2025-04-05 21:00:00,10.44,10.48,10.2,10.37,164770.8
2025-04-05 22:00:00,10.37,10.49,10.33,10.45,81533.55
2025-04-05 23:00:00,10.44,10.56,10.39,10.51,147873.48
2025-04-06 00:00:00,10.51,10.68,10.12,10.47,288183.46
2025-04-06 01:00:00,10.47,10.71,10.1,10.33,451424.13
2025-04-06 02:00:00,10.33,10.43,10.18,10.39,172005.23
2025-04-06 03:00:00,10.38,10.48,10.29,10.33,134971.12
2025-04-06 04:00:00,10.33,10.35,10.11,10.22,146494.7
2025-04-06 05:00:00,10.21,10.23,9.88,10.02,191119.29
2025-04-06 06:00:00,10.02,10.15,10.0,10.02,108875.88
2025-04-06 07:00:00,10.02,10.06,9.88,9.93,144849.7
2025-04-06 08:00:00,9.93,10.11,9.81,9.92,158625.09
2025-04-06 09:00:00,9.91,10.03,9.82,10.01,111121.67
2025-04-06 10:00:00,10.0,10.16,9.87,10.05,162820.14
2025-04-06 11:00:00,10.05,10.13,9.93,10.1,111018.34
2025-04-06 12:00:00,10.1,10.25,9.89,9.93,206836.55
2025-04-06 13:00:00,9.93,10.08,9.86,9.94,164902.01
2025-04-06 14:00:00,9.94,10.47,9.81,10.24,258627.94
2025-04-06 15:00:00,10.24,10.38,10.07,10.2,127277.25
2025-04-06 16:00:00,10.19,10.24,10.03,10.16,123214.99
2025-04-06 17:00:00,10.16,10.24,9.52,9.64,266058.19
2025-04-06 18:00:00,9.63,9.67,9.38,9.54,170006.2
2025-04-06 19:00:00,9.54,9.75,9.51,9.64,94011.51
2025-04-06 20:00:00,9.63,9.72,9.32,9.51,133884.61
2025-04-06 21:00:00,9.5,9.75,9.48,9.69,77540.59
2025-04-06 22:00:00,9.69,9.91,9.67,9.87,89580.29
2025-04-06 23:00:00,9.87,10.01,9.79,9.84,95969.37
2025-04-07 00:00:00,9.83,9.94,9.6,9.73,141680.43
2025-04-07 01:00:00,9.72,9.81,9.13,9.23,198142.02
2025-04-07 02:00:00,9.24,9.3,8.92,8.95,193188.05
2025-04-07 03:00:00,8.94,8.96,8.5,8.52,185838.97
2025-04-07 04:00:00,8.52,8.64,8.42,8.53,142984.17
2025-04-07 05:00:00,8.53,9.05,8.47,8.88,240135.08
2025-04-07 06:00:00,8.87,9.15,8.38,8.47,270994.34
2025-04-07 07:00:00,8.48,8.79,8.46,8.64,184150.2
2025-04-07 08:00:00,8.63,8.78,8.58,8.68,100918.58
2025-04-07 09:00:00,8.67,9.15,8.56,8.87,164975.63
2025-04-07 10:00:00,8.86,9.08,8.86,8.94,117175.97
2025-04-07 11:00:00,8.94,9.06,8.72,8.8,135339.45
2025-04-07 12:00:00,8.8,9.13,8.76,9.0,132030.23
2025-04-07 13:00:00,8.99,9.44,8.97,9.35,168566.59
2025-04-07 14:00:00,9.35,9.8,9.27,9.42,267243.72
2025-04-07 15:00:00,9.42,9.46,9.16,9.3,128650.55
2025-04-07 16:00:00,9.3,9.3,8.99,9.03,126875.47
2025-04-07 17:00:00,9.02,9.26,9.02,9.18,71455.36
2025-04-07 18:00:00,9.19,9.2,9.04,9.11,92267.1
2025-04-07 19:00:00,9.11,9.44,9.09,9.42,111001.07
2025-04-07 20:00:00,9.42,9.42,9.26,9.29,55689.8
2025-04-07 21:00:00,9.28,9.36,9.21,9.33,34804.86
2025-04-07 22:00:00,9.33,9.37,9.24,9.26,46262.62
2025-04-07 23:00:00,9.27,9.27,9.11,9.14,48017.33
2025-04-08 00:00:00,9.15,9.35,9.08,9.27,64973.6
2025-04-08 01:00:00,9.27,9.53,9.25,9.47,53572.38
2025-04-08 02:00:00,9.47,9.64,9.46,9.57,55772.88
2025-04-08 03:00:00,9.57,9.61,9.26,9.42,157046.34
2025-04-08 04:00:00,9.41,9.51,9.39,9.44,48193.64
2025-04-08 05:00:00,9.43,9.46,9.26,9.33,66425.08
2025-04-08 06:00:00,9.33,9.34,9.14,9.21,62096.73
2025-04-08 07:00:00,9.21,9.25,9.07,9.12,69833.02
2025-04-08 08:00:00,9.12,9.12,8.95,9.05,68293.07
2025-04-08 09:00:00,9.04,9.08,8.92,8.96,70736.11
2025-04-08 10:00:00,8.95,8.97,8.85,8.88,60011.62
2025-04-08 11:00:00,8.88,9.07,8.86,9.01,72522.61
2025-04-08 12:00:00,9.01,9.09,8.93,9.06,87898.1
2025-04-08 13:00:00,9.06,9.16,9.04,9.06,78855.64
2025-04-08 14:00:00,9.06,9.09,8.85,8.86,68282.55
2025-04-08 15:00:00,8.87,9.26,8.73,9.21,133818.68
2025-04-08 16:00:00,9.21,9.52,8.94,9.05,227392.67
2025-04-08 17:00:00,9.06,9.1,8.89,9.09,58275.48
2025-04-08 18:00:00,9.09,9.12,8.99,9.0,41219.24
2025-04-08 19:00:00,8.99,9.06,8.83,8.89,43247.59
2025-04-08 20:00:00,8.88,9.06,8.87,9.01,40643.09
2025-04-08 21:00:00,9.01,9.11,8.89,8.99,28132.74
2025-04-08 22:00:00,8.98,8.99,8.84,8.94,26281.71
2025-04-08 23:00:00,8.94,8.96,8.84,8.94,36370.54
2025-04-09 00:00:00,8.93,8.94,8.54,8.62,122697.73
2025-04-09 01:00:00,8.61,8.67,8.28,8.66,138581.83
2025-04-09 02:00:00,8.66,8.75,8.48,8.52,69456.92
2025-04-09 03:00:00,8.52,8.55,8.42,8.46,48079.48
2025-04-09 04:00:00,8.46,8.58,8.37,8.51,100563.36
2025-04-09 05:00:00,8.51,8.78,8.48,8.62,90035.09
2025-04-09 06:00:00,8.63,8.78,8.61,8.69,54430.48
2025-04-09 07:00:00,8.7,8.79,8.66,8.71,55129.49
2025-04-09 08:00:00,8.71,9.3,8.69,9.12,209698.03
2025-04-09 09:00:00,9.12,9.44,9.09,9.25,233122.73
2025-04-09 10:00:00,9.26,9.28,8.99,9.06,200161.98
2025-04-09 11:00:00,9.06,9.08,8.86,9.05,172176.07
2025-04-09 12:00:00,9.04,9.32,8.96,9.27,186687.43
2025-04-09 13:00:00,9.27,9.33,9.07,9.21,193968.9
2025-04-09 14:00:00,9.21,9.31,9.13,9.14,120494.08
2025-04-09 15:00:00,9.15,9.28,9.09,9.12,94503.12
2025-04-09 16:00:00,9.13,9.36,9.11,9.3,113131.04
2025-04-09 17:00:00,9.31,9.67,9.25,9.51,275391.0
2025-04-09 18:00:00,9.51,9.69,9.41,9.57,174508.95
2025-04-09 19:00:00,9.57,9.61,9.31,9.4,106383.09
2025-04-09 20:00:00,9.4,9.43,9.31,9.37,57166.31
2025-04-09 21:00:00,9.37,9.58,9.3,9.51,94572.6
2025-04-09 22:00:00,9.51,9.52,9.38,9.43,53564.52
2025-04-09 23:00:00,9.43,9.51,9.39,9.46,36445.37
2025-04-10 00:00:00,9.46,9.58,9.28,9.42,87748.0
2025-04-10 01:00:00,9.42,9.43,9.24,9.33,34424.95
2025-04-10 02:00:00,9.32,9.33,9.19,9.28,51422.71
2025-04-10 03:00:00,9.28,9.28,9.02,9.08,82140.69
2025-04-10 04:00:00,9.09,9.14,8.89,9.05,79372.05
2025-04-10 05:00:00,9.05,9.11,9.0,9.07,42221.7
2025-04-10 06:00:00,9.06,9.19,9.01,9.07,51086.29
2025-04-10 07:00:00,9.06,9.1,8.92,8.99,46626.7
2025-04-10 08:00:00,8.99,9.11,8.98,9.01,46040.64
2025-04-10 09:00:00,9.01,9.09,8.95,9.05,39391.85
2025-04-10 10:00:00,9.04,9.04,8.9,8.95,52784.97
2025-04-10 11:00:00,8.96,8.98,8.9,8.94,29519.83
2025-04-10 12:00:00,8.94,9.1,8.91,8.94,71498.67
2025-04-10 13:00:00,8.95,8.97,8.78,8.86,116775.35
2025-04-10 14:00:00,8.87,8.98,8.83,8.89,67107.04
2025-04-10 15:00:00,8.9,8.91,8.62,8.65,121304.42
