time,open,high,low,close,volume
2025-05-12 09:00:00,5.596,5.621,5.295,5.356,238961.2
2025-05-12 09:15:00,5.355,5.482,5.25,5.407,213458.2
2025-05-12 09:30:00,5.406,5.439,5.318,5.356,127260.6
2025-05-12 09:45:00,5.355,5.438,5.315,5.379,102491.5
2025-05-12 10:00:00,5.377,5.946,5.372,5.896,560189.1
2025-05-12 10:15:00,5.896,5.91,5.6,5.684,603364.7
2025-05-12 10:30:00,5.683,5.912,5.537,5.626,485821.8
2025-05-12 10:45:00,5.627,5.795,5.614,5.68,289541.4
2025-05-12 11:00:00,5.681,5.732,5.575,5.623,100669.3
2025-05-12 11:15:00,5.624,5.682,5.505,5.598,150188.4
2025-05-12 11:30:00,5.598,5.721,5.591,5.625,119262.2
2025-05-12 11:45:00,5.619,5.908,5.619,5.823,252948.1
2025-05-12 12:00:00,5.815,5.823,5.617,5.63,237976.5
2025-05-12 12:15:00,5.628,5.757,5.571,5.717,147887.7
2025-05-12 12:30:00,5.717,5.818,5.509,5.573,232254.6
2025-05-12 12:45:00,5.568,5.65,5.511,5.606,116933.9
2025-05-12 13:00:00,5.607,5.649,5.404,5.492,243055.2
2025-05-12 13:15:00,5.492,5.647,5.43,5.56,112351.6
2025-05-12 13:30:00,5.56,5.597,5.472,5.532,79052.1
2025-05-12 13:45:00,5.526,5.688,5.522,5.568,77473.0
2025-05-12 14:00:00,5.561,5.59,5.498,5.552,60622.7
2025-05-12 14:15:00,5.555,5.573,5.456,5.5,75975.4
2025-05-12 14:30:00,5.501,5.6,5.489,5.6,88498.5
2025-05-12 14:45:00,5.597,5.68,5.514,5.534,112135.7
2025-05-12 15:00:00,5.533,5.788,5.514,5.697,215714.9
2025-05-12 15:15:00,5.699,5.759,5.577,5.611,126671.3
2025-05-12 15:30:00,5.609,5.735,5.585,5.71,97794.8
2025-05-12 15:45:00,5.711,5.748,5.626,5.708,125387.9
2025-05-12 16:00:00,5.708,5.721,5.514,5.605,169676.7
2025-05-12 16:15:00,5.606,5.69,5.571,5.67,80607.9
2025-05-12 16:30:00,5.671,5.735,5.597,5.616,92760.6
2025-05-12 16:45:00,5.619,5.649,5.573,5.631,40124.3
2025-05-12 17:00:00,5.631,5.636,5.583,5.606,29561.6
2025-05-12 17:15:00,5.605,5.633,5.581,5.629,46212.7
2025-05-12 17:30:00,5.629,5.728,5.621,5.658,81041.1
2025-05-12 17:45:00,5.657,5.695,5.591,5.667,77422.8
2025-05-12 18:00:00,5.669,5.698,5.521,5.526,118101.9
2025-05-12 18:15:00,5.526,5.556,5.342,5.374,171759.2
2025-05-12 18:30:00,5.372,5.47,5.37,5.444,64761.8
2025-05-12 18:45:00,5.445,5.45,5.317,5.425,83936.4
2025-05-12 19:00:00,5.422,5.456,5.368,5.409,37723.6
2025-05-12 19:15:00,5.409,5.481,5.368,5.41,47618.4
2025-05-12 19:30:00,5.409,5.419,5.326,5.326,33078.9
2025-05-12 19:45:00,5.326,5.396,5.326,5.377,23927.1
2025-05-12 20:00:00,5.377,5.4,5.355,5.395,23893.0
2025-05-12 20:15:00,5.394,5.407,5.221,5.306,82519.6
2025-05-12 20:30:00,5.305,5.323,5.253,5.316,40559.9
2025-05-12 20:45:00,5.316,5.387,5.316,5.344,44277.6
2025-05-12 21:00:00,5.344,5.39,5.339,5.387,22852.1
2025-05-12 21:15:00,5.383,5.453,5.378,5.425,36994.9
2025-05-12 21:30:00,5.428,5.496,5.419,5.49,20814.1
2025-05-12 21:45:00,5.489,5.492,5.432,5.434,23539.8
2025-05-12 22:00:00,5.434,5.46,5.328,5.45,43849.9
