time,open,high,low,close,volume
2025-09-08 13:00:00,0.551,1.2,0.496,1.0852,82547236.0
2025-09-08 13:15:00,1.0852,1.3198,1.05,1.259,56014718.0
2025-09-08 13:30:00,1.2586,1.7477,1.2406,1.6313,83246515.0
2025-09-08 13:45:00,1.6312,1.7232,1.455,1.4805,57598535.0
2025-09-08 14:00:00,1.4802,1.5593,1.3152,1.4163,53206843.0
2025-09-08 14:15:00,1.416,1.4328,1.3156,1.3774,31380225.0
2025-09-08 14:30:00,1.3773,1.5455,1.36,1.483,38601119.0
2025-09-08 14:45:00,1.483,1.54,1.4621,1.5112,23801445.0
2025-09-08 15:00:00,1.5111,1.5493,1.3567,1.4265,31637770.0
2025-09-08 15:15:00,1.4266,1.51,1.3984,1.4703,21123697.0
2025-09-08 15:30:00,1.4702,1.4934,1.4138,1.4535,16419442.0
2025-09-08 15:45:00,1.4536,1.4751,1.4084,1.4261,17597095.0
2025-09-08 16:00:00,1.4262,1.5224,1.3711,1.4993,28668070.0
2025-09-08 16:15:00,1.4995,1.5918,1.4573,1.5192,21971639.0
2025-09-08 16:30:00,1.5192,1.5696,1.4671,1.5229,17886463.0
2025-09-08 16:45:00,1.5229,1.545,1.4863,1.5278,11653061.0
2025-09-08 17:00:00,1.5277,1.538,1.4002,1.4371,16596532.0
2025-09-08 17:15:00,1.4371,1.4755,1.4227,1.4564,10434573.0
2025-09-08 17:30:00,1.4562,1.517,1.4415,1.4915,10548276.0
2025-09-08 17:45:00,1.4916,1.4916,1.441,1.4458,8347016.0
2025-09-08 18:00:00,1.4455,1.5092,1.4411,1.4957,9429092.0
2025-09-08 18:15:00,1.4957,1.5366,1.4821,1.4901,8750153.0
2025-09-08 18:30:00,1.4901,1.5043,1.45,1.4789,8096054.0
2025-09-08 18:45:00,1.479,1.4907,1.4165,1.4397,11875372.0
2025-09-08 19:00:00,1.4398,1.4999,1.406,1.4823,10517697.0
2025-09-08 19:15:00,1.4824,1.494,1.455,1.4918,5404008.0
2025-09-08 19:30:00,1.4915,1.8089,1.4891,1.7903,32866267.0
2025-09-08 19:45:00,1.7902,1.8915,1.679,1.7286,33672409.0
2025-09-08 20:00:00,1.7286,1.7971,1.583,1.6105,18977254.0
2025-09-08 20:15:00,1.6105,1.6565,1.5261,1.6138,15189534.0
2025-09-08 20:30:00,1.6139,1.6866,1.5408,1.5908,10492527.0
2025-09-08 20:45:00,1.5908,1.61,1.5543,1.5698,5847939.0
2025-09-08 21:00:00,1.5698,1.6362,1.5355,1.6185,8428008.0
2025-09-08 21:15:00,1.6184,1.6383,1.5668,1.6143,5818986.0
2025-09-08 21:30:00,1.6144,1.622,1.5755,1.5952,2995079.0
2025-09-08 21:45:00,1.5952,1.6084,1.5721,1.5957,2967649.0
2025-09-08 22:00:00,1.5956,1.5957,1.41,1.5008,13508420.0
2025-09-08 22:15:00,1.5009,1.5322,1.3925,1.4715,12783441.0
2025-09-08 22:30:00,1.4713,1.49,1.4359,1.4782,4987246.0
2025-09-08 22:45:00,1.478,1.4897,1.4376,1.4395,5564947.0
2025-09-08 23:00:00,1.4395,1.4596,1.35,1.4284,15435190.0
2025-09-08 23:15:00,1.4287,1.4389,1.3809,1.4098,5341637.0
2025-09-08 23:30:00,1.4098,1.4735,1.38,1.4305,7743878.0
2025-09-08 23:45:00,1.4305,1.4594,1.4005,1.429,4911061.0
2025-09-09 00:00:00,1.429,1.4479,1.3911,1.4358,6027702.0
2025-09-09 00:15:00,1.4358,1.45,1.3925,1.3987,5339199.0
2025-09-09 00:30:00,1.3989,1.4224,1.3475,1.4163,8017146.0
2025-09-09 00:45:00,1.4164,1.4583,1.4001,1.4322,6122377.0
2025-09-09 01:00:00,1.4321,1.4355,1.4027,1.4138,4601405.0
2025-09-09 01:15:00,1.4138,1.4487,1.4027,1.4427,3661517.0
2025-09-09 01:30:00,1.4426,1.4546,1.402,1.4206,5403015.0
2025-09-09 01:45:00,1.4206,1.573,1.4165,1.5069,10769907.0
2025-09-09 02:00:00,1.5069,1.54,1.4464,1.4612,8659522.0
2025-09-09 02:15:00,1.4615,1.5052,1.4456,1.4654,6004029.0
2025-09-09 02:30:00,1.4653,1.4671,1.4075,1.4419,5749905.0
2025-09-09 02:45:00,1.4419,1.4448,1.324,1.3792,13309023.0
2025-09-09 03:00:00,1.3793,1.409,1.3168,1.3303,9846539.0
2025-09-09 03:15:00,1.3304,1.364,1.22,1.25,16816436.0
2025-09-09 03:30:00,1.2499,1.2618,1.1888,1.2158,14388816.0
2025-09-09 03:45:00,1.2159,1.3298,1.182,1.2698,18808436.0
2025-09-09 04:00:00,1.2699,1.3108,1.2328,1.2744,10560099.0
2025-09-09 04:15:00,1.2741,1.2871,1.2463,1.2555,6655654.0
2025-09-09 04:30:00,1.2556,1.2922,1.2506,1.2682,5523762.0
2025-09-09 04:45:00,1.2683,1.275,1.2201,1.2257,7511012.0
2025-09-09 05:00:00,1.2257,1.3,1.15,1.1941,26557063.0
2025-09-09 05:15:00,1.1942,1.2159,1.1603,1.1732,8617800.0
2025-09-09 05:30:00,1.1733,1.23,1.1694,1.2037,9848291.0
2025-09-09 05:45:00,1.2037,1.2051,1.1578,1.1731,7020751.0
2025-09-09 06:00:00,1.1733,1.174,1.106,1.1274,13692323.0
2025-09-09 06:15:00,1.1276,1.1553,1.1228,1.1406,7123078.0
2025-09-09 06:30:00,1.1407,1.2024,1.1407,1.1846,10119718.0
2025-09-09 06:45:00,1.1846,1.1938,1.1679,1.1906,5279387.0
2025-09-09 07:00:00,1.1906,1.1918,1.149,1.1808,6853822.0
2025-09-09 07:15:00,1.1807,1.2438,1.1655,1.228,8110818.0
2025-09-09 07:30:00,1.2279,1.3303,1.2077,1.3129,17895479.0
2025-09-09 07:45:00,1.3132,1.3859,1.277,1.3635,25108897.0
2025-09-09 08:00:00,1.3636,1.3783,1.2875,1.3153,14490862.0
2025-09-09 08:15:00,1.3151,1.3518,1.292,1.3195,9626486.0
2025-09-09 08:30:00,1.3195,1.325,1.2956,1.3054,5806604.0
2025-09-09 08:45:00,1.3054,1.3325,1.2144,1.2574,15969174.0
2025-09-09 09:00:00,1.2574,1.2865,1.2331,1.2739,9018198.0
2025-09-09 09:15:00,1.2739,1.3175,1.2697,1.2879,7831723.0
2025-09-09 09:30:00,1.2881,1.3193,1.265,1.3097,6954587.0
2025-09-09 09:45:00,1.3098,1.32,1.2903,1.2976,5558437.0
2025-09-09 10:00:00,1.2977,1.2984,1.2666,1.2796,8148066.0
2025-09-09 10:15:00,1.2796,1.2973,1.2277,1.2516,10023622.0
2025-09-09 10:30:00,1.2515,1.2635,1.2263,1.2364,6637076.0
2025-09-09 10:45:00,1.2364,1.2377,1.2057,1.2204,8659284.0
2025-09-09 11:00:00,1.2202,1.229,1.2101,1.2272,5554372.0
2025-09-09 11:15:00,1.2272,1.2537,1.1723,1.1785,12745822.0
2025-09-09 11:30:00,1.1785,1.21,1.1759,1.1981,7320841.0
2025-09-09 11:45:00,1.198,1.2084,1.18,1.1829,5326427.0
2025-09-09 12:00:00,1.183,1.2079,1.1485,1.1946,11923909.0
2025-09-09 12:15:00,1.1945,1.2016,1.1715,1.1881,5557082.0
2025-09-09 12:30:00,1.188,1.1887,1.14,1.1662,9256642.0
2025-09-09 12:45:00,1.1662,1.1778,1.125,1.1283,7228136.0
2025-09-09 13:00:00,1.1284,1.1703,1.1215,1.1422,9780364.0
2025-09-09 13:15:00,1.1424,1.1429,1.058,1.1005,18033370.0
2025-09-09 13:30:00,1.1007,1.1063,1.0685,1.0998,7024591.0
2025-09-09 13:45:00,1.0999,1.1398,1.0952,1.1215,8064383.0
2025-09-09 14:00:00,1.1214,1.1338,1.08,1.1277,7431185.0
2025-09-09 14:15:00,1.1276,1.1755,1.1143,1.1214,10794792.0
2025-09-09 14:30:00,1.1214,1.135,1.0941,1.1247,8172171.0
2025-09-09 14:45:00,1.1248,1.148,1.1077,1.1179,6675003.0
2025-09-09 15:00:00,1.1179,1.1191,1.0924,1.0985,6339409.0
2025-09-09 15:15:00,1.0984,1.1043,1.0742,1.096,5519156.0
2025-09-09 15:30:00,1.0961,1.0964,1.0682,1.0732,4587980.0
2025-09-09 15:45:00,1.0732,1.1037,1.0726,1.1009,5103138.0
2025-09-09 16:00:00,1.1009,1.1048,1.036,1.0624,10766736.0
2025-09-09 16:15:00,1.0623,1.0887,1.0504,1.0714,5286321.0
2025-09-09 16:30:00,1.0714,1.0933,1.0678,1.0864,3865886.0
2025-09-09 16:45:00,1.0865,1.089,1.0687,1.0771,3152075.0
2025-09-09 17:00:00,1.0771,1.098,1.0737,1.0932,4404551.0
2025-09-09 17:15:00,1.093,1.096,1.0679,1.0882,3191736.0
2025-09-09 17:30:00,1.0881,1.0995,1.0817,1.096,2712981.0
2025-09-09 17:45:00,1.0958,1.1292,1.0872,1.1141,5392662.0
2025-09-09 18:00:00,1.1142,1.1233,1.0622,1.0705,6568631.0
2025-09-09 18:15:00,1.0707,1.08,1.043,1.0508,4674834.0
2025-09-09 18:30:00,1.0507,1.075,1.045,1.0654,4188297.0
2025-09-09 18:45:00,1.0652,1.076,1.062,1.0621,2505979.0
2025-09-09 19:00:00,1.0622,1.0668,1.04,1.0627,3159220.0
2025-09-09 19:15:00,1.0629,1.0847,1.0369,1.0814,3580323.0
2025-09-09 19:30:00,1.0814,1.0956,1.0707,1.0872,2843924.0
2025-09-09 19:45:00,1.0872,1.0897,1.0479,1.0531,3899736.0
2025-09-09 20:00:00,1.0533,1.0758,1.044,1.0735,4030127.0
2025-09-09 20:15:00,1.0735,1.079,1.0606,1.0689,2914577.0
2025-09-09 20:30:00,1.0691,1.0881,1.0673,1.0779,3215162.0
2025-09-09 20:45:00,1.0779,1.0877,1.072,1.0823,1742781.0
2025-09-09 21:00:00,1.0823,1.1074,1.0776,1.0954,3063414.0
2025-09-09 21:15:00,1.0956,1.0989,1.0727,1.0816,3237832.0
2025-09-09 21:30:00,1.0817,1.1,1.0777,1.0892,2627467.0
2025-09-09 21:45:00,1.0892,1.1275,1.0862,1.1016,2398152.0
2025-09-09 22:00:00,1.1017,1.1248,1.0989,1.1142,3088777.0
2025-09-09 22:15:00,1.1143,1.166,1.1136,1.1631,6768423.0
2025-09-09 22:30:00,1.163,1.164,1.12,1.1244,4522243.0
2025-09-09 22:45:00,1.1245,1.1422,1.1044,1.1239,3411430.0
2025-09-09 23:00:00,1.1241,1.1438,1.105,1.111,3007573.0
2025-09-09 23:15:00,1.1109,1.1218,1.08,1.0986,4177970.0
2025-09-09 23:30:00,1.0982,1.1163,1.0859,1.1116,2396036.0
2025-09-09 23:45:00,1.1115,1.1266,1.1071,1.1144,1959833.0
2025-09-10 00:00:00,1.114,1.121,1.0645,1.0775,5031791.0
2025-09-10 00:15:00,1.0776,1.0879,1.0629,1.0722,3043664.0
2025-09-10 00:30:00,1.0722,1.0874,1.0583,1.0839,3100611.0
2025-09-10 00:45:00,1.0838,1.1226,1.0804,1.103,3904649.0
2025-09-10 01:00:00,1.103,1.1053,1.0676,1.0783,3475492.0
2025-09-10 01:15:00,1.0784,1.1046,1.072,1.1029,3315574.0
2025-09-10 01:30:00,1.1028,1.1275,1.098,1.1265,3074076.0
2025-09-10 01:45:00,1.1263,1.1423,1.1087,1.1368,4450542.0
2025-09-10 02:00:00,1.1366,1.1583,1.1258,1.1336,3895420.0
2025-09-10 02:15:00,1.1338,1.1475,1.113,1.1259,3726985.0
2025-09-10 02:30:00,1.1259,1.14,1.1204,1.1226,2569673.0
2025-09-10 02:45:00,1.1226,1.1308,1.1105,1.1177,2212545.0
2025-09-10 03:00:00,1.1178,1.2543,1.1144,1.2286,25778609.0
2025-09-10 03:15:00,1.2288,1.2426,1.1636,1.1772,10253913.0
2025-09-10 03:30:00,1.1772,1.2068,1.1749,1.1956,4911564.0
2025-09-10 03:45:00,1.1955,1.219,1.1732,1.1941,5129223.0
2025-09-10 04:00:00,1.194,1.218,1.1819,1.2126,5055101.0
2025-09-10 04:15:00,1.2126,1.55,1.2027,1.3542,37594646.0
2025-09-10 04:30:00,1.3539,1.3777,1.302,1.359,20516822.0
2025-09-10 04:45:00,1.3589,1.406,1.3485,1.3851,13275038.0
2025-09-10 05:00:00,1.385,1.3953,1.3056,1.328,14795843.0
2025-09-10 05:15:00,1.3281,1.3405,1.259,1.2896,13016226.0
2025-09-10 05:30:00,1.2895,1.32,1.2699,1.3123,8940112.0
2025-09-10 05:45:00,1.3124,1.33,1.2905,1.3036,6124751.0
2025-09-10 06:00:00,1.3035,1.3036,1.2288,1.2874,10156127.0
2025-09-10 06:15:00,1.2874,1.295,1.2559,1.2832,5477018.0
2025-09-10 06:30:00,1.283,1.307,1.2674,1.2731,6091265.0
2025-09-10 06:45:00,1.2732,1.3047,1.2732,1.3031,4698069.0
2025-09-10 07:00:00,1.303,1.3087,1.285,1.2989,6228477.0
2025-09-10 07:15:00,1.299,1.3174,1.29,1.2959,5867308.0
2025-09-10 07:30:00,1.296,1.3122,1.249,1.2741,11173493.0
2025-09-10 07:45:00,1.2741,1.3128,1.2601,1.3046,9255974.0
2025-09-10 08:00:00,1.3048,1.325,1.2147,1.276,38529127.0
2025-09-10 08:15:00,1.2761,1.3133,1.245,1.2977,18844155.0
2025-09-10 08:30:00,1.2978,1.3067,1.27,1.2798,8191528.0
2025-09-10 08:45:00,1.2801,1.2908,1.2708,1.282,3989784.0
2025-09-10 09:00:00,1.2821,1.2845,1.2464,1.2474,5290708.0
2025-09-10 09:15:00,1.2474,1.2609,1.2277,1.2414,5373681.0
2025-09-10 09:30:00,1.2417,1.245,1.2216,1.2367,5578285.0
2025-09-10 09:45:00,1.2368,1.2465,1.2261,1.2291,4171674.0
2025-09-10 10:00:00,1.229,1.2317,1.2031,1.2113,6288786.0
2025-09-10 10:15:00,1.2112,1.2142,1.1935,1.2102,5304671.0
2025-09-10 10:30:00,1.2103,1.2241,1.2045,1.2047,4321679.0
2025-09-10 10:45:00,1.2047,1.2103,1.195,1.1958,3841531.0
2025-09-10 11:00:00,1.1958,1.2037,1.1828,1.1973,6851556.0
