time,open,high,low,close,volume
2024-10-23 07:15:00,0.3283,0.3305,0.328,0.329,1956956.3
2024-10-23 07:30:00,0.3287,0.3293,0.325,0.3252,2035135.3
2024-10-23 07:45:00,0.3253,0.3269,0.3242,0.3243,1517302.8
2024-10-23 08:00:00,0.3243,0.3273,0.3231,0.3265,1655984.1
2024-10-23 08:15:00,0.3265,0.3267,0.3214,0.3222,1489255.5
2024-10-23 08:30:00,0.3221,0.3235,0.3213,0.3224,799123.4
2024-10-23 08:45:00,0.3225,0.3228,0.319,0.3198,1816749.2
2024-10-23 09:00:00,0.3199,0.321,0.3184,0.319,1537107.0
2024-10-23 09:15:00,0.319,0.3205,0.3167,0.3168,2071051.2
2024-10-23 09:30:00,0.3169,0.3177,0.3165,0.3169,1214595.6
2024-10-23 09:45:00,0.3168,0.3178,0.3137,0.3147,1598408.9
2024-10-23 10:00:00,0.3146,0.3159,0.3139,0.3142,718502.2
2024-10-23 10:15:00,0.3143,0.3175,0.3141,0.3171,1037790.5
2024-10-23 10:30:00,0.3171,0.3174,0.3151,0.3154,579197.5
2024-10-23 10:45:00,0.3154,0.3157,0.3131,0.3136,804261.1
2024-10-23 11:00:00,0.3136,0.3141,0.3124,0.3132,1151942.4
2024-10-23 11:15:00,0.3131,0.3131,0.311,0.3118,926520.7
2024-10-23 11:30:00,0.3118,0.3122,0.3076,0.3078,1362768.5
2024-10-23 11:45:00,0.3078,0.3091,0.3068,0.3077,985696.3
2024-10-23 12:00:00,0.3078,0.3093,0.3034,0.305,2450373.9
2024-10-23 12:15:00,0.3048,0.3059,0.3036,0.3046,1164805.6
2024-10-23 12:30:00,0.3046,0.3076,0.3035,0.307,1313862.6
2024-10-23 12:45:00,0.307,0.3078,0.3048,0.3049,730741.0
2024-10-23 13:00:00,0.3048,0.3071,0.3045,0.307,676281.3
2024-10-23 13:15:00,0.3069,0.3096,0.306,0.3087,746216.0
2024-10-23 13:30:00,0.3086,0.3092,0.307,0.3081,626090.1
2024-10-23 13:45:00,0.3081,0.3097,0.3062,0.3063,850972.8
2024-10-23 14:00:00,0.3064,0.3065,0.3033,0.3042,925789.7
2024-10-23 14:15:00,0.3042,0.3063,0.3038,0.3056,857103.0
2024-10-23 14:30:00,0.3056,0.306,0.3047,0.3051,518243.7
2024-10-23 14:45:00,0.3052,0.3057,0.3022,0.3027,894113.6
2024-10-23 15:00:00,0.3026,0.3035,0.3,0.3004,1166146.8
2024-10-23 15:15:00,0.3003,0.3015,0.295,0.2957,2856383.0
2024-10-23 15:30:00,0.2957,0.2977,0.2947,0.2969,1787836.3
2024-10-23 15:45:00,0.2969,0.2986,0.2968,0.2978,923835.7
2024-10-23 16:00:00,0.2979,0.2996,0.2972,0.2979,1757596.8
2024-10-23 16:15:00,0.2978,0.2981,0.2953,0.2967,977432.4
2024-10-23 16:30:00,0.2968,0.2996,0.2963,0.2974,842328.8
2024-10-23 16:45:00,0.2974,0.2976,0.2937,0.2946,1354347.8
2024-10-23 17:00:00,0.2945,0.2982,0.2941,0.2981,694660.8
2024-10-23 17:15:00,0.2979,0.2989,0.2974,0.2985,865629.5
2024-10-23 17:30:00,0.2984,0.2984,0.296,0.2967,1028613.1
2024-10-23 17:45:00,0.2966,0.2971,0.2941,0.295,768776.3
2024-10-23 18:00:00,0.2949,0.2951,0.2906,0.2938,2262588.2
2024-10-23 18:15:00,0.2937,0.2951,0.2918,0.2942,1043043.5
2024-10-23 18:30:00,0.2943,0.2954,0.2935,0.2952,583627.4
2024-10-23 18:45:00,0.2953,0.2972,0.2951,0.2968,881210.8
2024-10-23 19:00:00,0.2967,0.298,0.296,0.2965,575217.7
2024-10-23 19:15:00,0.2964,0.2993,0.2959,0.2989,711398.7
2024-10-23 19:30:00,0.2988,0.3006,0.2978,0.3003,1073685.0
2024-10-23 19:45:00,0.3003,0.3013,0.2997,0.3005,982290.4
2024-10-23 20:00:00,0.3005,0.3019,0.2994,0.3013,449761.9
2024-10-23 20:15:00,0.3013,0.3043,0.3012,0.3032,911912.2
2024-10-23 20:30:00,0.3033,0.3043,0.3025,0.3037,355335.0
2024-10-23 20:45:00,0.3037,0.307,0.3027,0.3065,1122948.9
2024-10-23 21:00:00,0.3066,0.308,0.3049,0.3062,1101184.7
2024-10-23 21:15:00,0.3063,0.3068,0.3056,0.3061,288652.8
2024-10-23 21:30:00,0.3061,0.3061,0.3046,0.3047,330063.4
2024-10-23 21:45:00,0.3046,0.3047,0.3025,0.3038,558840.6
2024-10-23 22:00:00,0.3038,0.3046,0.3036,0.3044,191273.5
2024-10-23 22:15:00,0.3043,0.3043,0.302,0.3027,353895.9
2024-10-23 22:30:00,0.3027,0.3036,0.3017,0.3035,580608.9
2024-10-23 22:45:00,0.3035,0.3035,0.3011,0.3011,295297.5
2024-10-23 23:00:00,0.3013,0.3023,0.3005,0.3021,465643.9
2024-10-23 23:15:00,0.3021,0.3028,0.3018,0.3022,279609.2
2024-10-23 23:30:00,0.3021,0.3029,0.3016,0.3024,266037.4
2024-10-23 23:45:00,0.3024,0.303,0.3014,0.3015,230167.5
2024-10-24 00:00:00,0.3015,0.302,0.2998,0.3004,647607.2
2024-10-24 00:15:00,0.3003,0.3005,0.298,0.2988,747146.8
2024-10-24 00:30:00,0.2988,0.2998,0.2979,0.2994,632628.2
2024-10-24 00:45:00,0.2995,0.3055,0.2995,0.3053,1049606.9
2024-10-24 01:00:00,0.3053,0.3057,0.3037,0.3051,814495.3
2024-10-24 01:15:00,0.3051,0.307,0.3043,0.3047,890144.8
2024-10-24 01:30:00,0.3047,0.305,0.3027,0.3032,490561.8
2024-10-24 01:45:00,0.3033,0.3045,0.3032,0.304,397383.3
2024-10-24 02:00:00,0.3041,0.3049,0.302,0.3031,311900.1
2024-10-24 02:15:00,0.3032,0.3048,0.303,0.3044,288891.6
2024-10-24 02:30:00,0.3045,0.3055,0.3036,0.3039,418109.6
2024-10-24 02:45:00,0.3041,0.3073,0.3036,0.3067,677868.0
2024-10-24 03:00:00,0.3067,0.3069,0.3052,0.3059,483012.1
2024-10-24 03:15:00,0.3058,0.3066,0.3048,0.3053,270069.7
2024-10-24 03:30:00,0.3054,0.3056,0.3033,0.3042,452990.2
2024-10-24 03:45:00,0.3042,0.3042,0.3024,0.3024,227171.5
2024-10-24 04:00:00,0.3024,0.3036,0.3018,0.3027,365461.1
2024-10-24 04:15:00,0.3028,0.3035,0.3017,0.3031,418085.7
2024-10-24 04:30:00,0.303,0.3035,0.3025,0.3031,247817.5
