time,open,high,low,close,volume
2024-10-23 08:00:00,7.773,7.79,7.666,7.692,898427.0
2024-10-23 09:00:00,7.693,7.755,7.65,7.733,768624.0
2024-10-23 10:00:00,7.734,7.773,7.691,7.705,501992.0
2024-10-23 11:00:00,7.705,7.731,7.676,7.685,381925.0
2024-10-23 12:00:00,7.685,7.747,7.673,7.732,556869.0
2024-10-23 13:00:00,7.732,7.809,7.726,7.763,865702.0
2024-10-23 14:00:00,7.764,7.771,7.675,7.711,1471633.0
2024-10-23 15:00:00,7.71,7.758,7.652,7.686,2267928.0
2024-10-23 16:00:00,7.687,7.708,7.559,7.574,1873336.0
2024-10-23 17:00:00,7.573,7.606,7.533,7.575,1646547.0
2024-10-23 18:00:00,7.575,7.581,7.487,7.573,1920829.0
2024-10-23 19:00:00,7.573,7.71,7.571,7.704,653240.0
2024-10-23 20:00:00,7.704,7.777,7.68,7.74,506731.0
2024-10-23 21:00:00,7.741,7.757,7.69,7.72,256211.0
2024-10-23 22:00:00,7.72,7.839,7.717,7.801,413451.0
2024-10-23 23:00:00,7.802,7.885,7.788,7.854,384715.0
2024-10-24 00:00:00,7.854,8.005,7.832,8.003,761378.0
2024-10-24 01:00:00,8.003,8.09,7.978,8.062,918778.0
2024-10-24 02:00:00,8.062,8.145,8.059,8.12,791051.0
2024-10-24 03:00:00,8.121,8.13,8.035,8.036,485496.0
2024-10-24 04:00:00,8.037,8.106,8.023,8.065,317166.0
2024-10-24 05:00:00,8.064,8.087,8.031,8.033,193010.0
2024-10-24 06:00:00,8.033,8.073,7.981,7.993,474615.0
2024-10-24 07:00:00,7.992,8.06,7.989,8.023,433088.0
2024-10-24 08:00:00,8.023,8.099,7.991,7.991,687509.0
2024-10-24 09:00:00,7.992,8.133,7.973,8.058,967969.0
2024-10-24 10:00:00,8.057,8.138,8.042,8.091,636654.0
2024-10-24 11:00:00,8.09,8.095,8.056,8.083,297494.0
2024-10-24 12:00:00,8.083,8.146,8.077,8.136,448375.0
2024-10-24 13:00:00,8.136,8.21,8.127,8.153,797021.0
2024-10-24 14:00:00,8.153,8.177,8.041,8.067,1055275.0
2024-10-24 15:00:00,8.066,8.088,7.995,8.003,563494.0
2024-10-24 16:00:00,8.004,8.029,7.943,7.949,403156.0
2024-10-24 17:00:00,7.949,7.985,7.92,7.961,379598.0
2024-10-24 18:00:00,7.962,8.009,7.957,7.998,229461.0
2024-10-24 19:00:00,7.997,8.087,7.986,8.039,296936.0
2024-10-24 20:00:00,8.04,8.042,7.986,8.002,206996.0
2024-10-24 21:00:00,8.003,8.071,7.981,8.042,330504.0
2024-10-24 22:00:00,8.042,8.068,7.99,7.992,241056.0
2024-10-24 23:00:00,7.992,8.045,7.975,8.041,193966.0
2024-10-25 00:00:00,8.041,8.119,8.028,8.114,468315.0
2024-10-25 01:00:00,8.114,8.196,8.073,8.151,860519.0
2024-10-25 02:00:00,8.152,8.169,8.054,8.064,469509.0
2024-10-25 03:00:00,8.065,8.167,8.058,8.074,505867.0
2024-10-25 04:00:00,8.075,8.08,7.953,8.031,624889.0
2024-10-25 05:00:00,8.032,8.062,7.976,7.987,453896.0
2024-10-25 06:00:00,7.987,8.031,7.963,7.982,760633.0
2024-10-25 07:00:00,7.982,7.994,7.857,7.873,831201.0
2024-10-25 08:00:00,7.873,7.916,7.752,7.869,1276859.0
2024-10-25 09:00:00,7.868,7.917,7.85,7.883,570471.0
2024-10-25 10:00:00,7.882,8.018,7.83,7.977,1064185.0
2024-10-25 11:00:00,7.977,8.048,7.945,8.045,421038.0
2024-10-25 12:00:00,8.045,8.086,7.99,8.004,983670.0
