time,open,high,low,close,volume
2024-12-18 13:00:00,0.7784,0.8833,0.7784,0.8192,54915129.0
2024-12-18 14:00:00,0.8196,0.935,0.8046,0.9135,102101364.0
2024-12-18 15:00:00,0.9134,1.1066,0.8905,1.0471,180637158.0
2024-12-18 16:00:00,1.0471,1.0935,1.0163,1.0816,128482923.0
2024-12-18 17:00:00,1.0817,1.18,1.066,1.1287,177527808.0
2024-12-18 18:00:00,1.1287,1.163,1.0723,1.113,86554533.0
2024-12-18 19:00:00,1.1134,1.17,1.0872,1.0928,90161689.0
2024-12-18 20:00:00,1.0923,1.1288,1.0333,1.0387,101379770.0
2024-12-18 21:00:00,1.0386,1.1251,1.0309,1.0715,57185708.0
2024-12-18 22:00:00,1.0712,1.106,1.0444,1.0885,35303978.0
2024-12-18 23:00:00,1.0885,1.0937,0.9125,0.9481,68911951.0
2024-12-19 00:00:00,0.9481,1.0479,0.9391,1.0067,60466565.0
2024-12-19 01:00:00,1.007,1.0615,0.9742,1.0115,48385698.0
2024-12-19 02:00:00,1.0116,1.0233,0.9501,0.9912,51226448.0
2024-12-19 03:00:00,0.991,1.051,0.9721,1.0227,38101195.0
2024-12-19 04:00:00,1.0222,1.1913,1.0215,1.1673,80135523.0
2024-12-19 05:00:00,1.1671,1.2207,1.1334,1.19,87257838.0
2024-12-19 06:00:00,1.1901,1.215,1.1352,1.1681,60590945.0
2024-12-19 07:00:00,1.1684,1.1728,1.1171,1.1361,53331987.0
2024-12-19 08:00:00,1.1362,1.1985,1.1226,1.19,59780980.0
2024-12-19 09:00:00,1.1898,1.279,1.1783,1.2615,108464775.0
2024-12-19 10:00:00,1.2614,1.2905,1.22,1.2353,90570828.0
2024-12-19 11:00:00,1.2353,1.264,1.21,1.2498,61161423.0
2024-12-19 12:00:00,1.2498,1.2944,1.2418,1.2633,85857768.0
2024-12-19 13:00:00,1.2634,1.2798,1.2142,1.2201,62194512.0
2024-12-19 14:00:00,1.2202,1.228,1.1562,1.1588,99046153.0
2024-12-19 15:00:00,1.1588,1.2414,1.151,1.209,90315449.0
2024-12-19 16:00:00,1.2089,1.2469,1.1614,1.2382,64555353.0
2024-12-19 17:00:00,1.2382,1.2652,1.2036,1.2279,71267965.0
2024-12-19 18:00:00,1.2279,1.2481,1.1809,1.2429,58007117.0
2024-12-19 19:00:00,1.243,1.2933,1.2076,1.231,67857888.0
2024-12-19 20:00:00,1.231,1.2884,1.1968,1.2805,67196873.0
2024-12-19 21:00:00,1.2807,1.389,1.268,1.357,112418461.0
2024-12-19 22:00:00,1.3571,1.4816,1.3476,1.4237,87667449.0
2024-12-19 23:00:00,1.4238,1.4568,1.4021,1.4396,48218284.0
2024-12-20 00:00:00,1.4398,1.4479,1.3,1.3342,83432238.0
2024-12-20 01:00:00,1.3342,1.4019,1.3318,1.3672,37518560.0
2024-12-20 02:00:00,1.3672,1.4547,1.361,1.4436,47783005.0
2024-12-20 03:00:00,1.4439,1.485,1.4086,1.4237,56052505.0
2024-12-20 04:00:00,1.4241,1.6388,1.4055,1.521,159245041.0
2024-12-20 05:00:00,1.521,1.616,1.4933,1.5564,92027607.0
2024-12-20 06:00:00,1.5567,1.65,1.467,1.5017,116460126.0
2024-12-20 07:00:00,1.5018,1.5129,1.4432,1.4791,69620371.0
2024-12-20 08:00:00,1.4785,1.4845,1.2708,1.305,138654848.0
2024-12-20 09:00:00,1.3051,1.3499,1.156,1.1977,171066370.0
2024-12-20 10:00:00,1.1976,1.2644,1.1011,1.2379,174340099.0
2024-12-20 11:00:00,1.2377,1.3168,1.163,1.2916,126282847.0
2024-12-20 12:00:00,1.2916,1.4146,1.2875,1.346,139562705.0
2024-12-20 13:00:00,1.3456,1.4099,1.3023,1.3594,88161950.0
2024-12-20 14:00:00,1.3594,1.4999,1.3367,1.4978,95317412.0
2024-12-20 15:00:00,1.4978,1.5373,1.4436,1.4629,73591239.0
2024-12-20 16:00:00,1.4632,1.4949,1.3591,1.3934,78043581.0
2024-12-20 17:00:00,1.3934,1.45,1.3515,1.4388,55950216.0
2024-12-20 18:00:00,1.4388,1.47,1.3869,1.4072,39186399.0
2024-12-20 19:00:00,1.4068,1.4574,1.3875,1.4019,30521457.0
2024-12-20 20:00:00,1.4018,1.4136,1.3555,1.3928,26972485.0
2024-12-20 21:00:00,1.393,1.4105,1.345,1.3733,32787909.0
2024-12-20 22:00:00,1.3734,1.3782,1.3106,1.3428,26199026.0
2024-12-20 23:00:00,1.3429,1.3976,1.3262,1.366,26905234.0
2024-12-21 00:00:00,1.366,1.4478,1.35,1.409,35210362.0
2024-12-21 01:00:00,1.409,1.4233,1.3039,1.3062,30958332.0
2024-12-21 02:00:00,1.3062,1.3084,1.2145,1.246,54352740.0
2024-12-21 03:00:00,1.246,1.2983,1.219,1.2863,32796029.0
2024-12-21 04:00:00,1.2864,1.395,1.2633,1.3573,35226551.0
2024-12-21 05:00:00,1.3573,1.4041,1.328,1.33,31035487.0
2024-12-21 06:00:00,1.3299,1.3491,1.3015,1.3159,23732929.0
2024-12-21 07:00:00,1.3163,1.3486,1.2835,1.3103,26410947.0
2024-12-21 08:00:00,1.3103,1.3689,1.2918,1.3489,33605196.0
2024-12-21 09:00:00,1.3484,1.355,1.2454,1.2761,36636825.0
2024-12-21 10:00:00,1.2763,1.3053,1.261,1.3024,22704032.0
2024-12-21 11:00:00,1.3023,1.3062,1.2242,1.2596,31603130.0
2024-12-21 12:00:00,1.2594,1.2774,1.2136,1.2636,33260117.0
2024-12-21 13:00:00,1.2638,1.318,1.24,1.2767,35398867.0
2024-12-21 14:00:00,1.2767,1.2958,1.215,1.2384,28019226.0
2024-12-21 15:00:00,1.2383,1.2396,1.142,1.1598,59311273.0
2024-12-21 16:00:00,1.1599,1.1732,1.1177,1.1519,48450131.0
