time,open,high,low,close,volume
2024-10-23 08:00:00,157.34,157.39,156.69,157.01,1228.085
2024-10-23 08:30:00,157.0,157.11,155.76,155.93,1839.704
2024-10-23 09:00:00,156.03,156.57,156.03,156.43,1592.399
2024-10-23 09:30:00,156.44,156.62,155.88,156.33,1310.998
2024-10-23 10:00:00,156.36,156.49,155.89,156.34,654.108
2024-10-23 10:30:00,156.38,156.39,155.55,155.88,1189.378
2024-10-23 11:00:00,155.82,157.93,155.82,156.06,4611.369
2024-10-23 11:30:00,156.09,156.74,154.62,155.16,5092.469
2024-10-23 12:00:00,155.2,155.5,154.53,155.22,1588.296
2024-10-23 12:30:00,155.29,156.22,155.0,156.22,945.036
2024-10-23 13:00:00,156.2,156.61,156.08,156.47,979.754
2024-10-23 13:30:00,156.47,156.96,156.12,156.4,1327.123
2024-10-23 14:00:00,156.39,156.65,156.17,156.6,772.828
2024-10-23 14:30:00,156.62,156.83,156.02,156.39,731.922
2024-10-23 15:00:00,156.4,156.49,155.78,155.91,1511.299
2024-10-23 15:30:00,155.93,156.42,155.69,156.35,796.747
2024-10-23 16:00:00,156.33,156.49,155.79,155.86,831.474
2024-10-23 16:30:00,155.89,156.28,155.84,155.98,531.498
2024-10-23 17:00:00,155.95,156.1,155.57,155.79,671.668
2024-10-23 17:30:00,155.79,156.1,155.53,155.53,776.749
2024-10-23 18:00:00,155.55,155.95,155.12,155.64,1440.011
2024-10-23 18:30:00,155.65,156.37,155.57,156.04,853.915
2024-10-23 19:00:00,156.07,156.82,156.07,156.64,989.501
2024-10-23 19:30:00,156.58,156.84,156.21,156.58,1218.703
2024-10-23 20:00:00,156.59,156.68,155.84,156.09,978.492
2024-10-23 20:30:00,156.1,156.3,155.74,155.97,1113.839
2024-10-23 21:00:00,156.03,156.57,155.92,156.23,1171.406
2024-10-23 21:30:00,156.27,156.67,155.41,155.59,1266.615
2024-10-23 22:00:00,155.63,155.97,155.37,155.6,833.692
2024-10-23 22:30:00,155.62,156.51,155.5,156.11,942.627
2024-10-23 23:00:00,156.13,157.27,156.06,156.92,1249.725
2024-10-23 23:30:00,156.95,157.04,156.64,156.92,794.475
2024-10-24 00:00:00,156.88,157.22,156.62,156.94,1055.646
2024-10-24 00:30:00,156.93,157.32,156.77,157.22,1169.907
2024-10-24 01:00:00,157.18,157.39,156.68,157.11,980.808
2024-10-24 01:30:00,157.17,157.17,156.59,156.67,436.119
2024-10-24 02:00:00,156.7,156.94,156.13,156.88,1431.288
2024-10-24 02:30:00,156.88,159.03,156.37,158.69,3774.047
2024-10-24 03:00:00,158.71,158.99,158.18,158.51,1739.324
2024-10-24 03:30:00,158.5,158.63,157.81,158.0,1001.806
2024-10-24 04:00:00,157.98,158.24,157.55,157.72,914.184
2024-10-24 04:30:00,157.72,157.97,157.27,157.97,629.957
2024-10-24 05:00:00,157.93,158.05,157.69,158.04,278.416
2024-10-24 05:30:00,158.03,158.04,157.9,158.01,156.86
2024-10-24 06:00:00,158.02,158.04,157.8,157.94,286.798
2024-10-24 06:30:00,157.95,158.05,157.43,157.45,386.47
2024-10-24 07:00:00,157.44,157.47,156.01,156.34,2699.312
2024-10-24 07:30:00,156.36,156.73,155.67,155.74,918.751
2024-10-24 08:00:00,155.78,156.46,155.65,156.43,1019.325
2024-10-24 08:30:00,156.44,157.06,156.29,156.92,1769.364
2024-10-24 09:00:00,156.91,156.98,156.44,156.77,1089.915
2024-10-24 09:30:00,156.72,157.53,156.69,156.98,1698.778
2024-10-24 10:00:00,157.02,157.56,156.95,157.44,744.639
2024-10-24 10:30:00,157.43,157.61,156.58,156.58,1229.872
2024-10-24 11:00:00,156.59,156.82,156.29,156.39,1327.136
2024-10-24 11:30:00,156.39,157.15,156.34,156.93,1300.758
2024-10-24 12:00:00,156.9,157.18,156.4,157.12,1144.757
2024-10-24 12:30:00,157.13,157.61,156.89,157.4,876.433
2024-10-24 13:00:00,157.4,157.4,156.9,157.32,1106.043
2024-10-24 13:30:00,157.32,157.48,156.64,156.8,1583.689
2024-10-24 14:00:00,156.82,156.95,155.65,155.97,2275.124
2024-10-24 14:30:00,155.93,156.48,155.76,156.0,1101.474
2024-10-24 15:00:00,156.04,156.14,154.86,155.02,1753.008
2024-10-24 15:30:00,155.03,155.62,154.82,155.08,1069.823
2024-10-24 16:00:00,155.11,155.32,154.63,155.24,789.329
2024-10-24 16:30:00,155.21,155.45,155.08,155.1,616.378
2024-10-24 17:00:00,155.11,155.22,154.71,154.76,1072.382
2024-10-24 17:30:00,154.75,155.82,154.67,155.63,897.415
2024-10-24 18:00:00,155.65,156.29,155.63,156.26,1035.293
2024-10-24 18:30:00,156.28,156.28,155.68,155.79,1316.793
2024-10-24 19:00:00,155.82,156.19,155.02,155.89,1397.922
2024-10-24 19:30:00,155.91,157.88,155.69,156.06,4795.698
2024-10-24 20:00:00,156.09,156.33,156.01,156.28,713.429
2024-10-24 20:30:00,156.28,156.51,155.96,156.12,1140.038
