time,open,high,low,close,volume
2024-10-23 08:00:00,38.14,38.43,38.0,38.31,9745.905
2024-10-23 08:15:00,38.31,38.31,37.99,38.12,5696.463
2024-10-23 08:30:00,38.11,38.28,38.03,38.24,6506.325
2024-10-23 08:45:00,38.24,38.29,37.8,37.84,7285.06
2024-10-23 09:00:00,37.83,38.18,37.83,37.98,15122.45
2024-10-23 09:15:00,37.98,38.16,37.81,37.94,8034.496
2024-10-23 09:30:00,37.95,38.08,37.8,37.88,7155.118
2024-10-23 09:45:00,37.89,37.95,37.85,37.92,1882.198
2024-10-23 10:00:00,37.91,37.98,37.71,37.78,6325.41
2024-10-23 10:15:00,37.78,37.95,37.7,37.91,3595.757
2024-10-23 10:30:00,37.9,37.95,37.65,37.7,3301.354
2024-10-23 10:45:00,37.69,37.83,37.66,37.83,2633.889
2024-10-23 11:00:00,37.83,37.89,37.7,37.78,5096.71
2024-10-23 11:15:00,37.78,37.87,37.74,37.77,2069.822
2024-10-23 11:30:00,37.76,37.86,37.52,37.53,6889.645
2024-10-23 11:45:00,37.53,37.59,37.42,37.51,7778.204
2024-10-23 12:00:00,37.52,37.57,37.44,37.57,4814.999
2024-10-23 12:15:00,37.57,37.8,37.49,37.6,5412.29
2024-10-23 12:30:00,37.6,37.73,37.5,37.64,7131.486
2024-10-23 12:45:00,37.65,37.96,37.65,37.85,9147.848
2024-10-23 13:00:00,37.84,37.97,37.71,37.97,6895.133
2024-10-23 13:15:00,37.97,37.99,37.81,37.82,6150.594
2024-10-23 13:30:00,37.83,37.84,37.5,37.68,6201.264
2024-10-23 13:45:00,37.68,37.92,37.68,37.88,3093.587
2024-10-23 14:00:00,37.87,37.97,37.69,37.73,5055.052
2024-10-23 14:15:00,37.72,37.74,37.57,37.62,3563.92
2024-10-23 14:30:00,37.62,37.73,37.5,37.68,5228.116
2024-10-23 14:45:00,37.68,37.85,37.66,37.71,7567.093
2024-10-23 15:00:00,37.72,37.83,37.54,37.56,4063.16
2024-10-23 15:15:00,37.56,37.64,37.28,37.34,11865.775
2024-10-23 15:30:00,37.36,37.56,37.26,37.5,6591.928
2024-10-23 15:45:00,37.49,37.73,37.48,37.68,5829.572
2024-10-23 16:00:00,37.69,37.92,37.58,37.82,9091.964
2024-10-23 16:15:00,37.81,37.91,37.57,37.69,8956.797
2024-10-23 16:30:00,37.7,37.72,37.57,37.63,3536.792
2024-10-23 16:45:00,37.62,37.64,37.2,37.31,9452.316
2024-10-23 17:00:00,37.3,37.49,37.3,37.44,5853.443
2024-10-23 17:15:00,37.44,37.59,37.4,37.55,3514.257
2024-10-23 17:30:00,37.56,37.56,37.28,37.41,2984.573
2024-10-23 17:45:00,37.41,37.53,37.29,37.35,2907.328
2024-10-23 18:00:00,37.36,37.85,37.1,37.82,28315.014
2024-10-23 18:15:00,37.82,37.99,37.54,37.72,15212.559
2024-10-23 18:30:00,37.72,37.95,37.71,37.9,5757.199
2024-10-23 18:45:00,37.91,37.94,37.73,37.88,4003.008
2024-10-23 19:00:00,37.88,37.93,37.69,37.76,2918.298
2024-10-23 19:15:00,37.75,37.97,37.75,37.94,3198.016
2024-10-23 19:30:00,37.95,37.98,37.51,37.69,16379.696
2024-10-23 19:45:00,37.69,37.82,37.65,37.81,3538.901
2024-10-23 20:00:00,37.81,37.98,37.5,37.51,19518.68
2024-10-23 20:15:00,37.52,37.73,37.51,37.61,7215.289
2024-10-23 20:30:00,37.62,37.67,37.5,37.58,6491.686
2024-10-23 20:45:00,37.59,37.74,37.54,37.66,2380.845
2024-10-23 21:00:00,37.66,37.76,37.59,37.72,3368.951
2024-10-23 21:15:00,37.72,37.96,37.71,37.85,8673.571
2024-10-23 21:30:00,37.85,37.89,37.6,37.61,5215.067
2024-10-23 21:45:00,37.61,37.61,37.52,37.56,3256.083
2024-10-23 22:00:00,37.55,37.63,37.52,37.53,2071.324
2024-10-23 22:15:00,37.52,37.83,37.52,37.8,6289.99
2024-10-23 22:30:00,37.8,37.84,37.71,37.79,2824.462
2024-10-23 22:45:00,37.78,37.88,37.75,37.8,2917.357
2024-10-23 23:00:00,37.82,37.91,37.78,37.85,1914.431
2024-10-23 23:15:00,37.85,37.93,37.79,37.83,2265.659
2024-10-23 23:30:00,37.83,37.83,37.58,37.61,6830.642
2024-10-23 23:45:00,37.61,37.92,37.61,37.87,3416.859
2024-10-24 00:00:00,37.88,38.38,37.78,38.23,15821.578
2024-10-24 00:15:00,38.23,38.35,38.05,38.06,6974.686
2024-10-24 00:30:00,38.06,38.26,38.05,38.17,3854.863
2024-10-24 00:45:00,38.18,38.46,38.17,38.38,8105.081
2024-10-24 01:00:00,38.38,38.62,38.34,38.57,9485.452
2024-10-24 01:15:00,38.57,38.75,38.31,38.38,7627.801
2024-10-24 01:30:00,38.39,38.43,38.22,38.26,4471.088
2024-10-24 01:45:00,38.26,38.31,38.17,38.19,2517.811
2024-10-24 02:00:00,38.2,38.34,38.14,38.14,2816.669
2024-10-24 02:15:00,38.15,38.19,37.68,37.76,14071.244
2024-10-24 02:30:00,37.76,37.96,37.76,37.84,17016.957
2024-10-24 02:45:00,37.85,37.87,37.01,37.16,30665.434
2024-10-24 03:00:00,37.15,37.49,37.13,37.34,9062.811
2024-10-24 03:15:00,37.33,37.46,37.29,37.33,4883.279
2024-10-24 03:30:00,37.34,38.01,37.25,37.92,10478.564
2024-10-24 03:45:00,37.91,37.91,37.62,37.62,5566.85
2024-10-24 04:00:00,37.62,37.87,37.54,37.83,5107.13
2024-10-24 04:15:00,37.84,37.89,37.68,37.83,1751.514
2024-10-24 04:30:00,37.83,38.0,37.79,37.95,3864.113
2024-10-24 04:45:00,37.95,38.02,37.78,37.79,3281.236
2024-10-24 05:00:00,37.79,37.94,37.75,37.82,5427.681
2024-10-24 05:15:00,37.81,37.88,37.52,37.55,2792.938
2024-10-24 05:30:00,37.55,37.57,37.42,37.47,5041.625
2024-10-24 05:45:00,37.48,37.54,37.45,37.52,1363.394
2024-10-24 06:00:00,37.51,37.63,37.51,37.58,2947.538
2024-10-24 06:15:00,37.59,37.6,37.42,37.55,2250.472
2024-10-24 06:30:00,37.54,37.63,37.36,37.36,2226.419
2024-10-24 06:45:00,37.35,37.37,37.14,37.18,5084.828
2024-10-24 07:00:00,37.16,37.26,36.99,37.07,6355.304
2024-10-24 07:15:00,37.06,37.19,36.88,37.0,9788.339
2024-10-24 07:30:00,37.01,37.44,37.01,37.27,9264.14
2024-10-24 07:45:00,37.27,37.33,37.18,37.19,2744.454
2024-10-24 08:00:00,37.19,37.4,37.1,37.32,3593.933
2024-10-24 08:15:00,37.32,37.32,37.09,37.12,2359.536
2024-10-24 08:30:00,37.12,37.23,36.9,36.95,8170.563
2024-10-24 08:45:00,36.96,36.99,36.7,36.85,9799.6
2024-10-24 09:00:00,36.85,37.08,36.68,36.93,11259.559
2024-10-24 09:15:00,36.93,36.99,36.71,36.79,5325.214
2024-10-24 09:30:00,36.79,37.0,36.69,36.71,7371.873
2024-10-24 09:45:00,36.7,36.98,36.63,36.94,3346.66
2024-10-24 10:00:00,36.95,37.26,36.9,37.19,4143.843
2024-10-24 10:15:00,37.18,37.26,37.15,37.18,2441.506
2024-10-24 10:30:00,37.17,37.25,37.01,37.02,2070.408
2024-10-24 10:45:00,37.02,37.12,36.9,36.93,3176.151
2024-10-24 11:00:00,36.93,36.93,36.69,36.78,3719.254
2024-10-24 11:15:00,36.78,36.82,36.52,36.63,7845.034
2024-10-24 11:30:00,36.63,36.73,36.61,36.69,4337.559
2024-10-24 11:45:00,36.7,36.74,36.61,36.65,2787.893
2024-10-24 12:00:00,36.65,36.8,36.61,36.69,4111.375
2024-10-24 12:15:00,36.7,36.98,36.67,36.91,4818.194
2024-10-24 12:30:00,36.91,37.05,36.83,36.92,4433.047
2024-10-24 12:45:00,36.94,36.96,36.71,36.74,3864.362
2024-10-24 13:00:00,36.74,36.91,36.67,36.89,2650.93
2024-10-24 13:15:00,36.89,37.04,36.85,36.9,4645.145
2024-10-24 13:30:00,36.88,37.1,36.82,37.04,2872.428
2024-10-24 13:45:00,37.05,37.06,36.84,36.84,5800.347
2024-10-24 14:00:00,36.83,36.88,36.41,36.61,12802.652
2024-10-24 14:15:00,36.62,36.62,36.2,36.26,13377.249
2024-10-24 14:30:00,36.27,36.43,36.15,36.2,8616.725
2024-10-24 14:45:00,36.2,36.2,35.89,36.13,15109.177
2024-10-24 15:00:00,36.11,36.12,35.86,36.06,7165.273
2024-10-24 15:15:00,36.07,36.11,35.93,36.05,5100.657
2024-10-24 15:30:00,36.05,36.81,36.0,36.71,11817.864
2024-10-24 15:45:00,36.71,36.8,36.24,36.3,17766.675
2024-10-24 16:00:00,36.3,36.48,36.29,36.39,3551.285
2024-10-24 16:15:00,36.39,36.62,36.37,36.55,2900.515
2024-10-24 16:30:00,36.54,36.58,36.32,36.35,3390.005
2024-10-24 16:45:00,36.36,36.4,36.27,36.31,1672.341
2024-10-24 17:00:00,36.3,36.55,36.29,36.51,3285.383
2024-10-24 17:15:00,36.51,36.56,36.42,36.5,1828.848
2024-10-24 17:30:00,36.5,36.78,36.45,36.71,4896.727
2024-10-24 17:45:00,36.71,36.93,36.69,36.83,5364.715
2024-10-24 18:00:00,36.82,36.87,36.74,36.78,3429.665
2024-10-24 18:15:00,36.78,36.89,36.75,36.85,2697.8
2024-10-24 18:30:00,36.85,37.29,36.84,37.22,8564.777
2024-10-24 18:45:00,37.21,37.21,37.02,37.12,3869.289
2024-10-24 19:00:00,37.11,37.15,36.99,37.08,2701.239
2024-10-24 19:15:00,37.09,37.3,37.07,37.07,6047.575
2024-10-24 19:30:00,37.08,37.13,37.02,37.04,3605.795
2024-10-24 19:45:00,37.04,37.17,37.02,37.15,1985.35
2024-10-24 20:00:00,37.15,37.33,37.14,37.2,3219.402
2024-10-24 20:15:00,37.2,37.23,36.95,36.97,4337.772
2024-10-24 20:30:00,36.98,36.99,36.6,36.72,8413.821
2024-10-24 20:45:00,36.72,36.77,36.66,36.67,1688.567
2024-10-24 21:00:00,36.68,36.78,36.68,36.77,2125.095
2024-10-24 21:15:00,36.78,36.87,36.74,36.75,2709.231
2024-10-24 21:30:00,36.76,36.88,36.72,36.76,2334.286
2024-10-24 21:45:00,36.76,37.04,36.72,37.03,3620.312
2024-10-24 22:00:00,37.02,37.04,36.72,36.76,3310.262
2024-10-24 22:15:00,36.75,36.82,36.67,36.73,1238.423
2024-10-24 22:30:00,36.72,36.72,36.59,36.6,2048.355
2024-10-24 22:45:00,36.6,36.69,36.57,36.66,1550.819
2024-10-24 23:00:00,36.65,36.75,36.62,36.75,1964.954
2024-10-24 23:15:00,36.76,36.86,36.76,36.83,1677.207
2024-10-24 23:30:00,36.82,37.11,36.76,37.02,5506.367
2024-10-24 23:45:00,37.03,37.23,36.97,37.17,4877.182
2024-10-25 00:00:00,37.17,37.64,37.15,37.55,8769.517
2024-10-25 00:15:00,37.55,37.61,37.45,37.52,4137.112
2024-10-25 00:30:00,37.53,37.94,37.42,37.82,9616.519
2024-10-25 00:45:00,37.82,37.9,37.74,37.82,3267.415
2024-10-25 01:00:00,37.83,37.87,37.62,37.73,4671.686
2024-10-25 01:15:00,37.73,37.82,37.56,37.76,3151.873
2024-10-25 01:30:00,37.77,37.79,37.65,37.68,5387.186
2024-10-25 01:45:00,37.67,37.74,37.51,37.74,3588.04
2024-10-25 02:00:00,37.73,37.87,37.61,37.63,3494.268
2024-10-25 02:15:00,37.63,37.69,37.46,37.46,3332.357
2024-10-25 02:30:00,37.47,37.7,37.46,37.69,2961.518
2024-10-25 02:45:00,37.69,37.71,37.55,37.58,1243.057
2024-10-25 03:00:00,37.59,37.71,37.57,37.64,1918.153
2024-10-25 03:15:00,37.64,37.67,37.44,37.51,2821.815
2024-10-25 03:30:00,37.5,37.65,37.31,37.37,5962.848
2024-10-25 03:45:00,37.37,37.39,37.14,37.21,4548.923
2024-10-25 04:00:00,37.2,37.28,37.05,37.06,2892.289
2024-10-25 04:15:00,37.05,37.05,36.69,36.73,6263.491
2024-10-25 04:30:00,36.74,36.81,36.6,36.77,5238.951
2024-10-25 04:45:00,36.74,36.82,36.59,36.67,4653.369
2024-10-25 05:00:00,36.66,36.71,36.52,36.63,3619.634
2024-10-25 05:15:00,36.63,36.69,36.58,36.68,1871.055
2024-10-25 05:30:00,36.68,37.03,36.67,37.0,4771.851
2024-10-25 05:45:00,37.0,37.0,36.77,36.89,2688.116
2024-10-25 06:00:00,36.9,36.9,36.75,36.9,2779.859
2024-10-25 06:15:00,36.89,36.9,36.78,36.81,1319.411
2024-10-25 06:30:00,36.81,36.88,36.77,36.79,1000.605
2024-10-25 06:45:00,36.78,36.85,36.71,36.78,1509.596
2024-10-25 07:00:00,36.77,36.86,36.58,36.61,2716.181
2024-10-25 07:15:00,36.62,36.66,36.45,36.54,3204.395
2024-10-25 07:30:00,36.51,36.67,36.47,36.64,2716.983
2024-10-25 07:45:00,36.64,36.76,36.57,36.68,2797.947
2024-10-25 08:00:00,36.68,36.7,36.29,36.3,4913.912
2024-10-25 08:15:00,36.31,36.32,35.82,36.25,16912.029
2024-10-25 08:30:00,36.26,36.46,36.23,36.45,4338.429
2024-10-25 08:45:00,36.46,36.52,36.39,36.47,2727.261
2024-10-25 09:00:00,36.48,36.57,36.42,36.52,3098.627
2024-10-25 09:15:00,36.52,36.74,36.51,36.73,3036.302
2024-10-25 09:30:00,36.72,36.82,36.64,36.7,3953.84
2024-10-25 09:45:00,36.69,36.79,36.62,36.75,1840.77
2024-10-25 10:00:00,36.76,36.77,36.56,36.62,1419.752
2024-10-25 10:15:00,36.62,36.7,36.53,36.66,1256.017
2024-10-25 10:30:00,36.67,36.81,36.63,36.71,2776.29
2024-10-25 10:45:00,36.7,36.77,36.66,36.7,1226.045
2024-10-25 11:00:00,36.7,36.73,36.62,36.68,1600.324
2024-10-25 11:15:00,36.68,36.74,36.58,36.59,2826.335
2024-10-25 11:30:00,36.59,36.61,36.18,36.38,8350.83
2024-10-25 11:45:00,36.38,36.41,36.25,36.27,2734.567
2024-10-25 12:00:00,36.27,36.4,36.23,36.29,4862.781
2024-10-25 12:15:00,36.29,36.32,36.11,36.23,3596.275
2024-10-25 12:30:00,36.24,36.37,36.15,36.3,2917.74
2024-10-25 12:45:00,36.3,36.35,36.22,36.25,1329.955
2024-10-25 13:00:00,36.24,36.35,36.2,36.33,1985.689
2024-10-25 13:15:00,36.33,36.43,36.31,36.33,2304.518
2024-10-25 13:30:00,36.33,36.36,36.0,36.07,7817.478
2024-10-25 13:45:00,36.06,36.27,36.01,36.19,5952.004
2024-10-25 14:00:00,36.2,36.21,35.96,36.05,3465.168
2024-10-25 14:15:00,36.05,36.32,35.99,36.3,5683.194
2024-10-25 14:30:00,36.29,36.72,36.29,36.42,7677.652
2024-10-25 14:45:00,36.42,36.5,36.36,36.36,3397.598
2024-10-25 15:00:00,36.37,36.64,36.34,36.48,4208.951
2024-10-25 15:15:00,36.48,37.19,36.47,36.72,16937.763
2024-10-25 15:30:00,36.72,36.88,36.64,36.7,4780.684
2024-10-25 15:45:00,36.68,36.83,36.54,36.77,5950.962
2024-10-25 16:00:00,36.78,36.79,36.37,36.65,7812.037
2024-10-25 16:15:00,36.64,36.64,36.43,36.44,2533.577
2024-10-25 16:30:00,36.43,36.63,36.3,36.59,4910.458
2024-10-25 16:45:00,36.6,36.73,36.5,36.51,1344.441
2024-10-25 17:00:00,36.51,36.91,36.5,36.76,5200.16
2024-10-25 17:15:00,36.75,36.76,36.41,36.43,3124.833
2024-10-25 17:30:00,36.42,36.46,36.14,36.29,4984.072
2024-10-25 17:45:00,36.29,36.31,35.83,35.92,6337.196
2024-10-25 18:00:00,35.9,36.41,35.68,36.38,13944.981
2024-10-25 18:15:00,36.4,36.96,36.14,36.59,33359.856
2024-10-25 18:30:00,36.59,36.59,36.32,36.35,4558.122
2024-10-25 18:45:00,36.34,36.4,36.16,36.19,4546.243
2024-10-25 19:00:00,36.19,36.35,36.04,36.16,4952.432
2024-10-25 19:15:00,36.15,36.21,35.98,36.04,2817.103
2024-10-25 19:30:00,36.03,36.15,35.97,36.09,3476.787
2024-10-25 19:45:00,36.09,36.22,36.05,36.15,2247.204
2024-10-25 20:00:00,36.17,36.42,36.14,36.32,2702.714
2024-10-25 20:15:00,36.31,36.34,36.13,36.25,2133.855
2024-10-25 20:30:00,36.24,36.41,36.1,36.1,2958.288
2024-10-25 20:45:00,36.1,36.21,35.98,36.12,4145.776
2024-10-25 21:00:00,36.14,36.19,36.01,36.05,1687.837
2024-10-25 21:15:00,36.06,36.1,35.98,36.09,1540.916
2024-10-25 21:30:00,36.09,36.17,36.04,36.13,1253.098
2024-10-25 21:45:00,36.13,36.25,36.13,36.24,927.056
2024-10-25 22:00:00,36.23,36.27,36.14,36.16,1737.221
2024-10-25 22:15:00,36.17,36.26,36.07,36.1,2899.009
2024-10-25 22:30:00,36.1,36.15,36.07,36.09,938.729
2024-10-25 22:45:00,36.1,36.12,35.78,35.8,3300.72
2024-10-25 23:00:00,35.78,35.84,34.72,34.77,33268.128
2024-10-25 23:15:00,34.78,35.57,34.08,35.12,38244.86
2024-10-25 23:30:00,35.11,35.76,35.03,35.63,22331.849
2024-10-25 23:45:00,35.63,36.05,35.59,35.98,11074.7
2024-10-26 00:00:00,35.98,36.46,35.9,36.26,21324.725
2024-10-26 00:15:00,36.25,36.67,36.17,36.54,11038.878
2024-10-26 00:30:00,36.52,36.62,36.23,36.42,6819.624
2024-10-26 00:45:00,36.41,36.54,36.24,36.29,5618.001
2024-10-26 01:00:00,36.29,36.35,35.95,35.97,7376.549
2024-10-26 01:15:00,35.97,36.27,35.96,36.05,6428.826
2024-10-26 01:30:00,36.05,36.06,35.41,35.73,13369.72
2024-10-26 01:45:00,35.73,36.02,35.72,35.85,4371.535
2024-10-26 02:00:00,35.87,35.91,35.7,35.83,5119.457
2024-10-26 02:15:00,35.83,35.99,35.76,35.96,2931.544
2024-10-26 02:30:00,35.97,36.2,35.87,36.2,4000.972
2024-10-26 02:45:00,36.2,36.25,36.0,36.05,4264.035
2024-10-26 03:00:00,36.04,36.04,35.87,35.96,2702.378
2024-10-26 03:15:00,35.96,36.15,35.94,36.04,2942.6
2024-10-26 03:30:00,36.05,36.05,35.9,35.92,3491.623
2024-10-26 03:45:00,35.91,36.0,35.88,35.96,1746.143
2024-10-26 04:00:00,35.96,36.07,35.88,35.95,2127.151
2024-10-26 04:15:00,35.96,36.02,35.89,35.96,2573.992
2024-10-26 04:30:00,35.98,36.09,35.94,36.09,2650.523
2024-10-26 04:45:00,36.09,36.16,36.01,36.12,2494.267
2024-10-26 05:00:00,36.13,36.26,36.03,36.11,3659.581
2024-10-26 05:15:00,36.1,36.3,36.1,36.27,2058.796
2024-10-26 05:30:00,36.27,36.32,36.16,36.21,2128.412
2024-10-26 05:45:00,36.21,36.22,36.03,36.04,1469.076
2024-10-26 06:00:00,36.04,36.08,35.9,35.98,1997.167
2024-10-26 06:15:00,35.98,36.09,35.97,36.09,1452.698
2024-10-26 06:30:00,36.08,36.11,35.97,35.99,1280.689
2024-10-26 06:45:00,35.99,35.99,35.86,35.87,2417.321
2024-10-26 07:00:00,35.88,35.92,35.8,35.83,2738.921
2024-10-26 07:15:00,35.83,35.88,35.78,35.81,2614.855
2024-10-26 07:30:00,35.82,36.29,35.8,36.15,8225.715
2024-10-26 07:45:00,36.15,36.17,36.08,36.1,1113.482
2024-10-26 08:00:00,36.11,36.22,36.07,36.13,2822.694
2024-10-26 08:15:00,36.13,36.13,35.95,36.03,1792.287
2024-10-26 08:30:00,36.04,36.07,35.91,35.93,1476.165
2024-10-26 08:45:00,35.93,35.97,35.87,35.94,2425.242
2024-10-26 09:00:00,35.95,36.04,35.89,35.98,1695.33
2024-10-26 09:15:00,35.99,36.05,35.91,35.96,935.368
2024-10-26 09:30:00,35.96,36.04,35.93,35.94,1290.866
2024-10-26 09:45:00,35.95,36.15,35.89,36.01,6270.567
2024-10-26 10:00:00,36.0,36.05,35.92,35.98,2174.981
2024-10-26 10:15:00,35.97,36.02,35.91,35.92,1903.191
2024-10-26 10:30:00,35.93,36.07,35.91,35.99,2766.124
2024-10-26 10:45:00,35.98,36.1,35.92,36.02,756.184
2024-10-26 11:00:00,36.03,36.07,35.93,35.97,1258.408
2024-10-26 11:15:00,35.97,36.01,35.92,35.93,1386.92
2024-10-26 11:30:00,35.94,36.06,35.93,36.05,1418.491
2024-10-26 11:45:00,36.05,36.07,35.99,36.07,746.539
2024-10-26 12:00:00,36.08,36.1,35.9,35.95,1908.008
2024-10-26 12:15:00,35.95,35.97,35.83,35.87,2188.01
2024-10-26 12:30:00,35.86,35.91,35.81,35.84,870.578
2024-10-26 12:45:00,35.83,35.88,35.82,35.86,570.926
2024-10-26 13:00:00,35.86,36.02,35.84,35.96,2251.02
2024-10-26 13:15:00,35.96,35.97,35.79,35.9,2803.14
2024-10-26 13:30:00,35.9,36.0,35.88,35.93,1623.529
2024-10-26 13:45:00,35.92,35.92,35.78,35.88,2936.141
2024-10-26 14:00:00,35.87,36.0,35.87,35.96,1978.504
2024-10-26 14:15:00,35.97,35.99,35.75,35.77,4661.368
2024-10-26 14:30:00,35.77,35.78,35.41,35.42,10525.118
2024-10-26 14:45:00,35.41,35.44,34.8,34.93,21086.556
2024-10-26 15:00:00,34.93,35.01,34.72,34.89,10618.564
2024-10-26 15:15:00,34.89,35.22,34.79,35.13,10310.51
2024-10-26 15:30:00,35.12,35.23,34.97,35.23,4259.459
2024-10-26 15:45:00,35.22,35.22,34.94,34.99,2333.846
2024-10-26 16:00:00,34.99,35.19,34.94,35.14,2391.755
2024-10-26 16:15:00,35.14,35.18,35.03,35.16,2515.413
2024-10-26 16:30:00,35.17,35.25,35.1,35.11,2490.475
2024-10-26 16:45:00,35.11,35.21,34.92,34.93,3810.167
2024-10-26 17:00:00,34.93,35.2,34.93,35.09,4147.383
2024-10-26 17:15:00,35.08,35.15,35.04,35.11,556.669
2024-10-26 17:30:00,35.1,35.26,35.06,35.23,2262.552
2024-10-26 17:45:00,35.22,35.23,35.11,35.16,1892.743
