time,open,high,low,close,volume
2024-10-23 08:00:00,38.14,38.43,37.8,37.84,29233.753
2024-10-23 09:00:00,37.83,38.18,37.8,37.92,32194.262
2024-10-23 10:00:00,37.91,37.98,37.65,37.83,15856.41
2024-10-23 11:00:00,37.83,37.89,37.42,37.51,21834.381
2024-10-23 12:00:00,37.52,37.96,37.44,37.85,26506.623
2024-10-23 13:00:00,37.84,37.99,37.5,37.88,22340.578
2024-10-23 14:00:00,37.87,37.97,37.5,37.71,21414.181
2024-10-23 15:00:00,37.72,37.83,37.26,37.68,28350.435
2024-10-23 16:00:00,37.69,37.92,37.2,37.31,31037.869
2024-10-23 17:00:00,37.3,37.59,37.28,37.35,15259.601
2024-10-23 18:00:00,37.36,37.99,37.1,37.88,53287.78
2024-10-23 19:00:00,37.88,37.98,37.51,37.81,26034.911
2024-10-23 20:00:00,37.81,37.98,37.5,37.66,35606.5
2024-10-23 21:00:00,37.66,37.96,37.52,37.56,20513.672
2024-10-23 22:00:00,37.55,37.88,37.52,37.8,14103.133
2024-10-23 23:00:00,37.82,37.93,37.58,37.87,14427.591
2024-10-24 00:00:00,37.88,38.46,37.78,38.38,34756.208
2024-10-24 01:00:00,38.38,38.75,38.17,38.19,24102.152
2024-10-24 02:00:00,38.2,38.34,37.01,37.16,64570.304
2024-10-24 03:00:00,37.15,38.01,37.13,37.62,29991.504
2024-10-24 04:00:00,37.62,38.02,37.54,37.79,14003.993
2024-10-24 05:00:00,37.79,37.94,37.42,37.52,14625.638
2024-10-24 06:00:00,37.51,37.63,37.14,37.18,12509.257
2024-10-24 07:00:00,37.16,37.44,36.88,37.19,28152.237
2024-10-24 08:00:00,37.19,37.4,36.7,36.85,23923.632
2024-10-24 09:00:00,36.85,37.08,36.63,36.94,27303.306
2024-10-24 10:00:00,36.95,37.26,36.9,36.93,11831.908
2024-10-24 11:00:00,36.93,36.93,36.52,36.65,18689.74
2024-10-24 12:00:00,36.65,37.05,36.61,36.74,17226.978
2024-10-24 13:00:00,36.74,37.1,36.67,36.84,15968.85
2024-10-24 14:00:00,36.83,36.88,35.89,36.13,49905.803
2024-10-24 15:00:00,36.11,36.81,35.86,36.3,41850.469
2024-10-24 16:00:00,36.3,36.62,36.27,36.31,11514.146
2024-10-24 17:00:00,36.3,36.93,36.29,36.83,15375.673
2024-10-24 18:00:00,36.82,37.29,36.74,37.12,18561.531
2024-10-24 19:00:00,37.11,37.3,36.99,37.15,14339.959
2024-10-24 20:00:00,37.15,37.33,36.6,36.67,17659.562
2024-10-24 21:00:00,36.68,37.04,36.68,37.03,10788.924
2024-10-24 22:00:00,37.02,37.04,36.57,36.66,8147.859
2024-10-24 23:00:00,36.65,37.23,36.62,37.17,14025.71
2024-10-25 00:00:00,37.17,37.94,37.15,37.82,25790.563
2024-10-25 01:00:00,37.83,37.87,37.51,37.74,16798.785
2024-10-25 02:00:00,37.73,37.87,37.46,37.58,11031.2
2024-10-25 03:00:00,37.59,37.71,37.14,37.21,15251.739
2024-10-25 04:00:00,37.2,37.28,36.59,36.67,19048.1
2024-10-25 05:00:00,36.66,37.03,36.52,36.89,12950.656
2024-10-25 06:00:00,36.9,36.9,36.71,36.78,6609.471
2024-10-25 07:00:00,36.77,36.86,36.45,36.68,11435.506
2024-10-25 08:00:00,36.68,36.7,35.82,36.47,28891.631
2024-10-25 09:00:00,36.48,36.82,36.42,36.75,11929.539
2024-10-25 10:00:00,36.76,36.81,36.53,36.7,6678.104
2024-10-25 11:00:00,36.7,36.74,36.18,36.27,15512.056
2024-10-25 12:00:00,36.27,36.4,36.11,36.25,12706.751
2024-10-25 13:00:00,36.24,36.43,36.0,36.19,18059.689
2024-10-25 14:00:00,36.2,36.72,35.96,36.36,20223.612
